Latitude,Longitude,ConveyorBeltVelo,Alpha,Beta,P_2.5,P_50,P_97.5
-23.735,-174.976,110.930,4.940,4.940,0.211,0.500,0.789
-23.657,-174.929,112.520,4.940,4.940,0.211,0.500,0.789
-23.578,-174.881,114.110,4.940,4.940,0.211,0.500,0.789
-23.499,-174.833,115.630,4.940,4.940,0.211,0.500,0.789
-23.421,-174.785,117.230,4.940,4.940,0.211,0.500,0.789
-23.342,-174.737,118.810,4.940,4.940,0.211,0.500,0.789
-23.264,-174.689,120.400,4.940,4.940,0.211,0.500,0.789
-23.184,-174.643,122.290,4.940,4.940,0.211,0.500,0.789
-23.104,-174.598,123.880,4.940,4.940,0.211,0.500,0.789
-23.024,-174.554,125.470,4.940,4.940,0.211,0.500,0.789
-22.944,-174.510,127.070,4.940,4.940,0.211,0.500,0.789
-22.864,-174.465,128.570,4.940,4.940,0.211,0.500,0.789
-22.784,-174.419,130.160,4.940,4.940,0.211,0.500,0.789
-22.704,-174.373,131.750,4.940,4.940,0.211,0.500,0.789
-22.625,-174.327,133.340,4.940,4.940,0.211,0.500,0.789
-22.545,-174.282,134.980,4.940,4.940,0.211,0.500,0.789
-22.465,-174.237,136.570,4.940,4.940,0.211,0.500,0.789
-22.385,-174.192,138.160,4.940,4.940,0.211,0.500,0.789
-22.305,-174.147,139.750,4.940,4.940,0.211,0.500,0.789
-22.223,-174.106,141.480,4.940,4.940,0.211,0.500,0.789
-22.142,-174.065,143.070,4.940,4.940,0.211,0.500,0.789
-22.060,-174.024,144.660,4.940,4.940,0.211,0.500,0.789
-21.978,-173.983,146.260,4.940,4.940,0.211,0.500,0.789
-21.895,-173.945,146.700,4.940,4.940,0.211,0.500,0.789
-21.809,-173.916,148.300,4.940,4.940,0.211,0.500,0.789
-21.723,-173.886,149.900,4.940,4.940,0.211,0.500,0.789
-21.638,-173.856,151.500,4.940,4.940,0.211,0.500,0.789
-21.552,-173.827,153.110,4.940,4.940,0.211,0.500,0.789
-21.467,-173.794,155.500,4.940,4.940,0.211,0.500,0.789
-21.383,-173.759,157.110,4.940,4.940,0.211,0.500,0.789
-21.299,-173.724,158.700,4.940,4.940,0.211,0.500,0.789
-21.215,-173.689,160.390,4.940,4.940,0.211,0.500,0.789
-21.131,-173.653,161.990,4.940,4.940,0.211,0.500,0.789
-21.047,-173.617,163.580,4.940,4.940,0.211,0.500,0.789
-20.963,-173.581,165.180,4.940,4.940,0.211,0.500,0.789
-20.880,-173.545,166.910,4.940,4.940,0.211,0.500,0.789
-20.798,-173.505,168.500,4.940,4.940,0.211,0.500,0.789
-20.715,-173.465,170.090,4.940,4.940,0.211,0.500,0.789
-20.633,-173.426,171.680,4.940,4.940,0.211,0.500,0.789
-20.551,-173.386,173.260,4.940,4.940,0.211,0.500,0.789
-20.469,-173.346,174.850,4.940,4.940,0.211,0.500,0.789
-20.387,-173.306,176.440,4.940,4.940,0.211,0.500,0.789
-20.304,-173.267,178.020,4.940,4.940,0.211,0.500,0.789
-20.222,-173.227,179.610,4.940,4.940,0.211,0.500,0.789
-20.138,-173.192,180.780,4.940,4.940,0.211,0.500,0.789
-20.053,-173.160,182.370,4.940,4.940,0.211,0.500,0.789
-19.969,-173.127,183.970,4.940,4.940,0.211,0.500,0.789
-19.884,-173.094,185.560,4.940,4.940,0.211,0.500,0.789
-19.799,-173.061,187.150,4.940,4.940,0.211,0.500,0.789
-19.712,-173.036,186.320,4.940,4.940,0.211,0.500,0.789
-19.624,-173.013,187.910,4.940,4.940,0.211,0.500,0.789
-19.537,-172.990,189.520,4.940,4.940,0.211,0.500,0.789
-19.449,-172.967,190.670,4.940,4.940,0.211,0.500,0.789
-19.361,-172.945,192.270,4.940,4.940,0.211,0.500,0.789
-19.273,-172.924,193.860,4.940,4.940,0.211,0.500,0.789
-19.185,-172.902,195.460,4.940,4.940,0.211,0.500,0.789
-19.097,-172.880,197.060,4.940,4.940,0.211,0.500,0.789
-19.010,-172.856,200.060,4.940,4.940,0.211,0.500,0.789
-18.923,-172.830,201.660,4.940,4.940,0.211,0.500,0.789
-18.836,-172.804,203.240,4.940,4.940,0.211,0.500,0.789
-18.749,-172.778,204.840,4.940,4.940,0.211,0.500,0.789
-18.662,-172.752,206.420,4.940,4.940,0.211,0.500,0.789
-18.576,-172.726,208.020,3.855,2.903,0.217,0.578,0.885
-18.489,-172.700,209.600,3.855,2.903,0.217,0.578,0.885
-18.402,-172.672,211.660,3.855,2.903,0.217,0.578,0.885
-18.316,-172.644,213.260,3.855,2.903,0.217,0.578,0.885
-18.230,-172.616,214.840,3.855,2.903,0.217,0.578,0.885
-18.143,-172.589,214.210,3.855,2.903,0.217,0.578,0.885
-18.055,-172.568,215.790,3.855,2.903,0.217,0.578,0.885
-17.967,-172.547,217.390,3.855,2.903,0.217,0.578,0.885
-17.881,-172.520,221.740,3.855,2.903,0.217,0.578,0.885
-17.795,-172.489,223.320,3.855,2.903,0.217,0.578,0.885
-17.710,-172.457,224.900,3.855,2.903,0.217,0.578,0.885
-17.623,-172.436,221.310,3.855,2.903,0.217,0.578,0.885
-17.533,-172.420,222.950,3.855,2.903,0.217,0.578,0.885
-17.444,-172.404,224.490,3.855,2.903,0.217,0.578,0.885
-17.355,-172.389,226.120,3.855,2.903,0.217,0.578,0.885
-17.266,-172.373,225.240,3.855,2.903,0.217,0.578,0.885
-17.176,-172.362,226.820,3.855,2.903,0.217,0.578,0.885
-17.087,-172.351,228.410,3.855,2.903,0.217,0.578,0.885
-16.997,-172.339,229.980,3.855,2.903,0.217,0.578,0.885
-16.907,-172.330,229.830,3.855,2.903,0.217,0.578,0.885
-16.817,-172.321,231.410,3.855,2.903,0.217,0.578,0.885
-16.727,-172.312,232.980,3.855,2.903,0.217,0.578,0.885
-16.637,-172.310,228.320,3.855,2.903,0.217,0.578,0.885
-16.546,-172.309,229.890,3.855,2.903,0.217,0.578,0.885
-16.456,-172.308,231.460,3.855,2.903,0.217,0.578,0.885
-16.366,-172.307,233.030,3.855,2.903,0.217,0.578,0.885
-16.275,-172.306,235.700,3.855,2.903,0.217,0.578,0.885
-16.184,-172.303,237.270,3.855,2.903,0.217,0.578,0.885
