lon,lat,velocity_trench_normal,coupling_low,coupling_pref,coupling_high,slip_def_low,slip_def_pref,slip_def_high
-173.3859991,-20.55095055,173.26,0.25,0.5,0.75,43.32,86.63,129.95
-173.3462009,-20.46881036,174.85,0.25,0.5,0.75,43.71,87.42,131.14
-173.3064587,-20.38665206,176.44,0.25,0.5,0.75,44.11,88.22,132.33
-173.2667168,-20.30449948,178.02,0.25,0.5,0.75,44.51,89.01,133.52
-173.2269066,-20.22238233,179.61,0.25,0.5,0.75,44.9,89.8,134.7
-173.1924267,-20.13819914,180.78,0.25,0.5,0.75,45.2,90.39,135.59
-173.1595109,-20.05341345,182.37,0.25,0.5,0.75,45.59,91.19,136.78
-173.1266076,-19.96862695,183.97,0.25,0.5,0.75,45.99,91.99,137.98
-173.0936772,-19.88385339,185.56,0.25,0.5,0.75,46.39,92.78,139.17
-173.0607815,-19.7990713,187.15,0.25,0.5,0.75,46.79,93.58,140.36
-173.0355206,-19.7120782,186.32,0.25,0.5,0.75,46.58,93.16,139.74
-173.012646,-19.62439605,187.91,0.25,0.5,0.75,46.98,93.95,140.93
-172.9897508,-19.5367197,189.52,0.25,0.5,0.75,47.38,94.76,142.14
-172.9670445,-19.44900102,190.67,0.25,0.5,0.75,47.67,95.34,143.01
-172.9453946,-19.36104225,192.27,0.25,0.5,0.75,48.07,96.14,144.2
-172.9237427,-19.27308463,193.86,0.25,0.5,0.75,48.47,96.93,145.4
-172.9020905,-19.1851278,195.46,0.25,0.5,0.75,48.86,97.73,146.59
-172.8804388,-19.09717157,197.06,0.25,0.5,0.75,49.26,98.53,147.79
-172.8557217,-19.00997201,200.06,0.25,0.5,0.75,50.02,100.03,150.05
-172.8297268,-18.92308831,201.66,0.25,0.5,0.75,50.41,100.83,151.24
-172.803712,-18.83621167,203.24,0.25,0.5,0.75,50.81,101.62,152.43
-172.7777116,-18.74933278,204.84,0.25,0.5,0.75,51.21,102.42,153.63
-172.751707,-18.66245667,206.42,0.25,0.5,0.75,51.61,103.21,154.82
-172.7257011,-18.57558258,208.02,0.35,0.6,0.85,72.81,124.81,176.82
-172.6997065,-18.48870708,209.6,0.35,0.6,0.85,73.36,125.76,178.16
-172.6719114,-18.40234375,211.66,0.35,0.6,0.85,74.08,127,179.91
-172.6440178,-18.31601013,213.26,0.35,0.6,0.85,74.64,127.95,181.27
-172.616098,-18.22968639,214.84,0.35,0.6,0.85,75.19,128.9,182.61
-172.5889242,-18.14317359,214.21,0.35,0.6,0.85,74.97,128.53,182.08
-172.5682053,-18.0550185,215.79,0.35,0.6,0.85,75.53,129.48,183.43
-172.5474849,-17.96686436,217.39,0.35,0.6,0.85,76.09,130.43,184.78
-172.5199543,-17.88058728,221.74,0.35,0.6,0.85,77.61,133.05,188.48
-172.4885826,-17.79536944,223.32,0.35,0.6,0.85,78.16,133.99,189.83
-172.4572015,-17.71015782,224.9,0.35,0.6,0.85,78.71,134.94,191.16
-172.4355022,-17.62255298,221.31,0.35,0.6,0.85,77.46,132.79,188.12
-172.4199197,-17.53343292,222.95,0.35,0.6,0.85,78.03,133.77,189.51
-172.4043209,-17.44431537,224.49,0.35,0.6,0.85,78.57,134.69,190.82
-172.3887628,-17.35519115,226.12,0.35,0.6,0.85,79.14,135.67,192.2
-172.3733719,-17.266045,225.24,0.35,0.6,0.85,78.83,135.14,191.46
-172.3620084,-17.17633741,226.82,0.35,0.6,0.85,79.39,136.09,192.79
-172.3506509,-17.0866286,228.41,0.35,0.6,0.85,79.94,137.04,194.15
-172.3392914,-16.9969195,229.98,0.35,0.6,0.85,80.49,137.99,195.48
-172.32956,-16.90704105,229.83,0.35,0.6,0.85,80.44,137.9,195.35
-172.3208179,-16.81705952,231.41,0.35,0.6,0.85,80.99,138.85,196.7
-172.3120754,-16.72707733,232.98,0.35,0.6,0.85,81.54,139.79,198.03
-172.3101742,-16.63675325,228.32,0.35,0.6,0.85,79.91,136.99,194.07
-172.3092327,-16.54638056,229.89,0.35,0.6,0.85,80.46,137.93,195.4
-172.3082913,-16.45600709,231.46,0.35,0.6,0.85,81.01,138.88,196.74
-172.3073498,-16.36563283,233.03,0.35,0.6,0.85,81.56,139.82,198.08
-172.3056338,-16.27527024,235.7,0.35,0.6,0.85,82.49,141.42,200.34
-172.3034397,-16.18399653,237.27,0.35,0.6,0.85,83.04,142.36,201.68
-172.3013111,-16.09363976,238.83,0.35,0.6,0.85,83.59,143.3,203.01
-172.3037844,-16.00329209,228.94,0.35,0.6,0.85,80.13,137.36,194.6
-172.3128092,-15.91333225,230.49,0.35,0.6,0.85,80.67,138.29,195.92
-172.3218349,-15.82337244,232.04,0.35,0.6,0.85,81.22,139.23,197.24
-172.3308995,-15.733417,229.35,0.35,0.6,0.85,80.27,137.61,194.95
-172.3433916,-15.64384722,229.09,0.35,0.6,0.85,80.18,137.45,194.73
-172.3574641,-15.55451557,206.75,0.35,0.6,0.85,72.36,124.05,175.74
-172.3867483,-15.4687097,194.41,0.35,0.6,0.85,68.04,116.64,165.25
-172.4233801,-15.38562718,156.52,0.35,0.6,0.85,54.78,93.91,133.04
-172.4763431,-15.31127974,153.04,0.35,0.6,0.85,53.56,91.82,130.08
-172.5311043,-15.23818923,139.18,0.35,0.6,0.85,48.71,83.51,118.31
-172.5908807,-15.16891482,135.64,0.35,0.6,0.85,47.47,81.39,115.3
-172.6521612,-15.10091044,125.98,0.35,0.6,0.85,44.09,75.59,107.08
-172.7167342,-15.03586872,115.45,0.35,0.6,0.85,40.41,69.27,98.13
-172.7847176,-14.9742354,97.38,0.35,0.6,0.85,34.08,58.43,82.78
-172.8575312,-14.91809038,77.14,0.35,0.6,0.85,27,46.29,65.57
-172.9348038,-14.86790126,71.45,0.35,0.6,0.85,25.01,42.87,60.73
-173.0134353,-14.81978392,67.64,0.35,0.6,0.85,23.67,40.58,57.49
-173.093087,-14.77332576,55.78,0.35,0.6,0.85,19.52,33.47,47.41
-173.1749213,-14.73063816,58.23,0.35,0.6,0.85,20.38,34.94,49.5
-173.2566483,-14.68780443,45.9,0.35,0.6,0.85,16.07,27.54,39.02
-173.3405132,-14.64912458,34.76,0.35,0.6,0.85,12.17,20.85,29.54
-173.4221,-14.6161,35.22,0.35,0.6,0.85,12.33,21.13,29.94
