Latitude,Longitude,ConveyorBeltVelo,Alpha,Beta,P_2.5,P_50,P_97.5
-23.735,-174.976,110.930,7.601,10.902,0.204,0.408,0.635
-23.657,-174.929,112.520,7.601,10.902,0.204,0.408,0.635
-23.578,-174.881,114.110,7.601,10.902,0.204,0.408,0.635
-23.499,-174.833,115.630,7.601,10.902,0.204,0.408,0.635
-23.421,-174.785,117.230,7.601,10.902,0.204,0.408,0.635
-23.342,-174.737,118.810,7.601,10.902,0.204,0.408,0.635
-23.264,-174.689,120.400,7.601,10.902,0.204,0.408,0.635
-23.184,-174.643,122.290,7.601,10.902,0.204,0.408,0.635
-23.104,-174.598,123.880,7.601,10.902,0.204,0.408,0.635
-23.024,-174.554,125.470,7.601,10.902,0.204,0.408,0.635
-22.944,-174.510,127.070,7.601,10.902,0.204,0.408,0.635
-22.864,-174.465,128.570,7.601,10.902,0.204,0.408,0.635
-22.784,-174.419,130.160,7.601,10.902,0.204,0.408,0.635
-22.704,-174.373,131.750,7.601,10.902,0.204,0.408,0.635
-22.625,-174.327,133.340,7.601,10.902,0.204,0.408,0.635
-22.545,-174.282,134.980,7.601,10.902,0.204,0.408,0.635
-22.465,-174.237,136.570,7.601,10.902,0.204,0.408,0.635
-22.385,-174.192,138.160,7.601,10.902,0.204,0.408,0.635
-22.305,-174.147,139.750,7.601,10.902,0.204,0.408,0.635
-22.223,-174.106,141.480,7.601,10.902,0.204,0.408,0.635
-22.142,-174.065,143.070,7.601,10.902,0.204,0.408,0.635
-22.060,-174.024,144.660,7.601,10.902,0.204,0.408,0.635
-21.978,-173.983,146.260,7.601,10.902,0.204,0.408,0.635
-21.895,-173.945,146.700,7.601,10.902,0.204,0.408,0.635
-21.809,-173.916,148.300,7.601,10.902,0.204,0.408,0.635
-21.723,-173.886,149.900,7.601,10.902,0.204,0.408,0.635
-21.638,-173.856,151.500,7.601,10.902,0.204,0.408,0.635
-21.552,-173.827,153.110,7.601,10.902,0.204,0.408,0.635
