%GEOUNIT	LATITUDE	LONGITUDE
5440796	39.825	27.225
5440797	39.875	27.225
5440798	39.925	27.225
5440799	39.975	27.225
5440800	40.025	27.225
5440801	40.075	27.225
5440802	40.125	27.225
5440803	40.175	27.225
5440804	40.225	27.225
5440805	40.275	27.225
5440806	40.325	27.225
5440807	40.375	27.225
5440808	40.425	27.225
5440813	40.675	27.225
5440814	40.725	27.225
5440815	40.775	27.225
5440816	40.825	27.225
5440817	40.875	27.225
5440818	40.925	27.225
5440819	40.975	27.225
5440820	41.025	27.225
5440821	41.075	27.225
5440822	41.125	27.225
5440823	41.175	27.225
5440824	41.225	27.225
5440825	41.275	27.225
5440826	41.325	27.225
5440827	41.375	27.225
5440828	41.425	27.225
5440829	41.475	27.225
5440830	41.525	27.225
5440831	41.575	27.225
5450796	39.825	27.275
5450797	39.875	27.275
5450798	39.925	27.275
5450799	39.975	27.275
5450800	40.025	27.275
5450801	40.075	27.275
5450802	40.125	27.275
5450803	40.175	27.275
5450804	40.225	27.275
5450805	40.275	27.275
5450806	40.325	27.275
5450807	40.375	27.275
5450808	40.425	27.275
5450809	40.475	27.275
5450813	40.675	27.275
5450814	40.725	27.275
5450815	40.775	27.275
5450816	40.825	27.275
5450817	40.875	27.275
5450818	40.925	27.275
5450819	40.975	27.275
5450820	41.025	27.275
5450821	41.075	27.275
5450822	41.125	27.275
5450823	41.175	27.275
5450824	41.225	27.275
5450825	41.275	27.275
5450826	41.325	27.275
5450827	41.375	27.275
5450828	41.425	27.275
5450829	41.475	27.275
5450830	41.525	27.275
5450831	41.575	27.275
5460796	39.825	27.325
5460797	39.875	27.325
5460798	39.925	27.325
5460799	39.975	27.325
5460800	40.025	27.325
5460801	40.075	27.325
5460802	40.125	27.325
5460803	40.175	27.325
5460804	40.225	27.325
5460805	40.275	27.325
5460806	40.325	27.325
5460807	40.375	27.325
5460808	40.425	27.325
5460814	40.725	27.325
5460815	40.775	27.325
5460816	40.825	27.325
5460817	40.875	27.325
5460818	40.925	27.325
5460819	40.975	27.325
5460820	41.025	27.325
5460821	41.075	27.325
5460822	41.125	27.325
5460823	41.175	27.325
5460824	41.225	27.325
5460825	41.275	27.325
5460826	41.325	27.325
5460827	41.375	27.325
5460828	41.425	27.325
5460829	41.475	27.325
5460830	41.525	27.325
5460831	41.575	27.325
5470796	39.825	27.375
5470797	39.875	27.375
5470798	39.925	27.375
5470799	39.975	27.375
5470800	40.025	27.375
5470801	40.075	27.375
5470802	40.125	27.375
5470803	40.175	27.375
5470804	40.225	27.375
5470805	40.275	27.375
5470806	40.325	27.375
5470807	40.375	27.375
5470815	40.775	27.375
5470816	40.825	27.375
5470817	40.875	27.375
5470818	40.925	27.375
5470819	40.975	27.375
5470820	41.025	27.375
5470821	41.075	27.375
5470822	41.125	27.375
5470823	41.175	27.375
5470824	41.225	27.375
5470825	41.275	27.375
5470826	41.325	27.375
5470827	41.375	27.375
5470828	41.425	27.375
5470829	41.475	27.375
5470830	41.525	27.375
5470831	41.575	27.375
5480796	39.825	27.425
5480797	39.875	27.425
5480798	39.925	27.425
5480799	39.975	27.425
5480800	40.025	27.425
5480801	40.075	27.425
5480802	40.125	27.425
5480803	40.175	27.425
5480804	40.225	27.425
5480805	40.275	27.425
5480806	40.325	27.425
5480816	40.825	27.425
5480817	40.875	27.425
5480818	40.925	27.425
5480819	40.975	27.425
5480820	41.025	27.425
5480821	41.075	27.425
5480822	41.125	27.425
5480823	41.175	27.425
5480824	41.225	27.425
5480825	41.275	27.425
5480826	41.325	27.425
5480827	41.375	27.425
5480828	41.425	27.425
5480829	41.475	27.425
5480830	41.525	27.425
5480831	41.575	27.425
5490796	39.825	27.475
5490797	39.875	27.475
5490798	39.925	27.475
5490799	39.975	27.475
5490800	40.025	27.475
5490801	40.075	27.475
5490802	40.125	27.475
5490803	40.175	27.475
5490804	40.225	27.475
5490805	40.275	27.475
5490806	40.325	27.475
5490809	40.475	27.475
5490810	40.525	27.475
5490817	40.875	27.475
5490818	40.925	27.475
5490819	40.975	27.475
5490820	41.025	27.475
5490821	41.075	27.475
5490822	41.125	27.475
5490823	41.175	27.475
5490824	41.225	27.475
5490825	41.275	27.475
5490826	41.325	27.475
5490827	41.375	27.475
5490828	41.425	27.475
5490829	41.475	27.475
5490830	41.525	27.475
5490831	41.575	27.475
5500796	39.825	27.525
5500797	39.875	27.525
5500798	39.925	27.525
5500799	39.975	27.525
5500800	40.025	27.525
5500801	40.075	27.525
5500802	40.125	27.525
5500803	40.175	27.525
5500804	40.225	27.525
5500805	40.275	27.525
5500806	40.325	27.525
5500809	40.475	27.525
5500810	40.525	27.525
5500811	40.575	27.525
5500812	40.625	27.525
5500819	40.975	27.525
5500820	41.025	27.525
5500821	41.075	27.525
5500822	41.125	27.525
5500823	41.175	27.525
5500824	41.225	27.525
5500825	41.275	27.525
5500826	41.325	27.525
5500827	41.375	27.525
5500828	41.425	27.525
5500829	41.475	27.525
5500830	41.525	27.525
5500831	41.575	27.525
5510796	39.825	27.575
5510797	39.875	27.575
5510798	39.925	27.575
5510799	39.975	27.575
5510800	40.025	27.575
5510801	40.075	27.575
5510802	40.125	27.575
5510803	40.175	27.575
5510804	40.225	27.575
5510805	40.275	27.575
5510806	40.325	27.575
5510809	40.475	27.575
5510811	40.575	27.575
5510812	40.625	27.575
5510813	40.675	27.575
5510819	40.975	27.575
5510820	41.025	27.575
5510821	41.075	27.575
5510822	41.125	27.575
5510823	41.175	27.575
5510824	41.225	27.575
5510825	41.275	27.575
5510826	41.325	27.575
5510827	41.375	27.575
5510828	41.425	27.575
5510829	41.475	27.575
5510830	41.525	27.575
5510831	41.575	27.575
5520796	39.825	27.625
5520797	39.875	27.625
5520798	39.925	27.625
5520799	39.975	27.625
5520800	40.025	27.625
5520801	40.075	27.625
5520802	40.125	27.625
5520803	40.175	27.625
5520804	40.225	27.625
5520805	40.275	27.625
5520806	40.325	27.625
5520809	40.475	27.625
5520810	40.525	27.625
5520811	40.575	27.625
5520812	40.625	27.625
5520813	40.675	27.625
5520819	40.975	27.625
5520820	41.025	27.625
5520821	41.075	27.625
5520822	41.125	27.625
5520823	41.175	27.625
5520824	41.225	27.625
5520825	41.275	27.625
5520826	41.325	27.625
5520827	41.375	27.625
5520828	41.425	27.625
5520829	41.475	27.625
5520830	41.525	27.625
5520831	41.575	27.625
5530796	39.825	27.675
5530797	39.875	27.675
5530798	39.925	27.675
5530799	39.975	27.675
5530800	40.025	27.675
5530801	40.075	27.675
5530802	40.125	27.675
5530803	40.175	27.675
5530804	40.225	27.675
5530805	40.275	27.675
5530806	40.325	27.675
5530809	40.475	27.675
5530810	40.525	27.675
5530811	40.575	27.675
5530812	40.625	27.675
5530813	40.675	27.675
5530819	40.975	27.675
5530820	41.025	27.675
5530821	41.075	27.675
5530822	41.125	27.675
5530823	41.175	27.675
5530824	41.225	27.675
5530825	41.275	27.675
5530826	41.325	27.675
5530827	41.375	27.675
5530828	41.425	27.675
5530829	41.475	27.675
5530830	41.525	27.675
5530831	41.575	27.675
5540796	39.825	27.725
5540797	39.875	27.725
5540798	39.925	27.725
5540799	39.975	27.725
5540800	40.025	27.725
5540801	40.075	27.725
5540802	40.125	27.725
5540803	40.175	27.725
5540804	40.225	27.725
5540805	40.275	27.725
5540806	40.325	27.725
5540808	40.425	27.725
5540809	40.475	27.725
5540810	40.525	27.725
5540812	40.625	27.725
5540820	41.025	27.725
5540821	41.075	27.725
5540822	41.125	27.725
5540823	41.175	27.725
5540824	41.225	27.725
5540825	41.275	27.725
5540826	41.325	27.725
5540827	41.375	27.725
5540828	41.425	27.725
5540829	41.475	27.725
5540830	41.525	27.725
5540831	41.575	27.725
5550796	39.825	27.775
5550797	39.875	27.775
5550798	39.925	27.775
5550799	39.975	27.775
5550800	40.025	27.775
5550801	40.075	27.775
5550802	40.125	27.775
5550803	40.175	27.775
5550804	40.225	27.775
5550805	40.275	27.775
5550806	40.325	27.775
5550807	40.375	27.775
5550808	40.425	27.775
5550809	40.475	27.775
5550810	40.525	27.775
5550820	41.025	27.775
5550821	41.075	27.775
5550822	41.125	27.775
5550823	41.175	27.775
