segment Fiji
-20.643 -178.708
-20.642 -178.705
-20.649 -178.695
-20.651 -178.697
-20.651 -178.7
-20.649 -178.704
-20.643 -178.708
segment Fiji
-20.661 -178.735
-20.646 -178.731
-20.644 -178.728
-20.645 -178.724
-20.65 -178.724
-20.659 -178.727
-20.663 -178.725
-20.667 -178.718
-20.667 -178.711
-20.673 -178.707
-20.675 -178.709
-20.676 -178.712
-20.673 -178.724
-20.668 -178.732
-20.661 -178.735
segment Fiji
-20.665 -178.694
-20.663 -178.699
-20.66 -178.701
-20.657 -178.701
-20.657 -178.692
-20.659 -178.69
-20.665 -178.694
segment Fiji
-15.563 -175.625
-15.565 -175.618
-15.57 -175.611
-15.582 -175.6
-15.59 -175.598
-15.601 -175.601
-15.608 -175.599
-15.615 -175.6
-15.63 -175.614
-15.633 -175.62
-15.637 -175.63
-15.635 -175.636
-15.636 -175.654
-15.634 -175.657
-15.623 -175.662
-15.619 -175.671
-15.609 -175.677
-15.605 -175.682
-15.601 -175.682
-15.594 -175.68
-15.59 -175.675
-15.58 -175.668
-15.574 -175.661
-15.57 -175.642
-15.564 -175.635
-15.563 -175.625
segment Fiji
-16.082 -179.176
-16.08 -179.178
-16.078 -179.177
-16.075 -179.168
-16.077 -179.166
-16.079 -179.168
-16.082 -179.176
segment Fiji
-16.099 -179.155
-16.091 -179.156
-16.084 -179.16
-16.082 -179.159
-16.088 -179.149
-16.091 -179.147
-16.096 -179.15
-16.099 -179.155
segment Fiji
-16.508 -179.687
-16.506 -179.693
-16.499 -179.695
-16.501 -179.686
-16.503 -179.684
-16.507 -179.685
-16.508 -179.687
segment Fiji
-16.731 -179.744
-16.734 -179.74
-16.735 -179.737
-16.729 -179.735
-16.728 -179.732
-16.73 -179.731
-16.735 -179.733
-16.738 -179.741
-16.735 -179.744
-16.731 -179.744
segment Fiji
-16.788 -179.69
-16.787 -179.691
-16.781 -179.694
-16.775 -179.693
-16.77 -179.688
-16.762 -179.685
-16.749 -179.695
-16.746 -179.696
-16.742 -179.692
-16.743 -179.686
-16.739 -179.678
-16.738 -179.667
-16.742 -179.662
-16.75 -179.658
-16.754 -179.659
-16.757 -179.665
-16.764 -179.669
-16.777 -179.671
-16.78 -179.673
-16.788 -179.69
segment Fiji
-16.806 -179.774
-16.806 -179.778
-16.801 -179.781
-16.792 -179.794
-16.79 -179.795
-16.788 -179.792
-16.782 -179.791
-16.78 -179.788
-16.772 -179.783
-16.769 -179.774
-16.765 -179.77
-16.763 -179.771
-16.764 -179.781
-16.761 -179.788
-16.757 -179.791
-16.755 -179.791
-16.754 -179.787
-16.75 -179.787
-16.744 -179.782
-16.749 -179.779
-16.748 -179.775
-16.749 -179.771
-16.749 -179.77
-16.747 -179.768
-16.746 -179.762
-16.74 -179.762
-16.738 -179.757
-16.741 -179.756
-16.747 -179.759
-16.75 -179.757
-16.749 -179.75
-16.752 -179.748
-16.754 -179.743
-16.758 -179.742
-16.76 -179.731
-16.756 -179.729
-16.754 -179.724
-16.755 -179.719
-16.751 -179.71
-16.744 -179.707
-16.749 -179.705
-16.752 -179.701
-16.764 -179.706
-16.769 -179.705
-16.772 -179.706
-16.778 -179.709
-16.782 -179.708
-16.786 -179.709
-16.785 -179.711
-16.786 -179.714
-16.772 -179.729
-16.775 -179.738
-16.78 -179.741
-16.781 -179.746
-16.783 -179.749
-16.796 -179.741
-16.799 -179.742
-16.801 -179.759
-16.795 -179.765
-16.793 -179.771
-16.796 -179.774
-16.806 -179.774
segment Fiji
-17.032 -179.268
-17.032 -179.276
-17.023 -179.291
-17.011 -179.292
-17.009 -179.289
-17.004 -179.288
-17.002 -179.286
-17.007 -179.274
-17.007 -179.267
-17.009 -179.264
-17.01 -179.256
-17.014 -179.253
-17.019 -179.256
-17.022 -179.261
-17.029 -179.263
-17.032 -179.268
segment Fiji
-17.162 -179.005
-17.176 -178.996
-17.183 -178.997
-17.183 -178.994
-17.181 -178.99
-17.177 -178.991
-17.176 -178.988
-17.18 -178.986
-17.182 -178.98
-17.181 -178.968
-17.183 -178.965
-17.189 -178.964
-17.191 -178.96
-17.196 -178.96
-17.197 -178.958
-17.195 -178.956
-17.19 -178.957
-17.187 -178.954
-17.188 -178.952
-17.193 -178.949
-17.202 -178.949
-17.204 -178.946
-17.203 -178.944
-17.198 -178.946
-17.194 -178.945
-17.191 -178.945
-17.189 -178.941
-17.2 -178.936
-17.204 -178.928
-17.208 -178.925
-17.212 -178.924
-17.212 -178.917
-17.218 -178.917
-17.223 -178.919
-17.23 -178.925
-17.242 -178.931
-17.246 -178.93
-17.248 -178.932
-17.248 -178.938
-17.258 -178.943
-17.252 -178.952
-17.252 -178.956
-17.262 -178.965
-17.267 -178.97
-17.282 -178.973
-17.289 -178.98
-17.308 -178.985
-17.317 -178.987
-17.322 -178.986
-17.324 -178.988
-17.315 -178.991
-17.311 -178.996
-17.303 -178.998
-17.296 -178.995
-17.284 -178.997
-17.275 -178.997
-17.27 -178.993
-17.267 -178.99
-17.267 -178.984
-17.264 -178.983
-17.256 -178.983
-17.242 -178.972
-17.241 -178.967
-17.236 -178.962
-17.224 -178.969
-17.223 -178.967
-17.222 -178.963
-17.21 -178.962
-17.206 -178.963
-17.202 -178.969
-17.195 -178.972
-17.191 -178.979
-17.191 -178.982
-17.193 -178.984
-17.191 -178.993
-17.195 -178.995
-17.196 -178.995
-17.192 -179.006
-17.183 -179.008
-17.177 -179.008
-17.179 -179.012
-17.17 -179.017
-17.168 -179.027
-17.165 -179.03
-17.159 -179.027
-17.163 -179.018
-17.161 -179.012
-17.162 -179.005
segment Fiji
-17.172 -179.039
-17.168 -179.042
-17.163 -179.039
-17.163 -179.035
-17.164 -179.033
-17.168 -179.034
-17.171 -179.037
-17.172 -179.039
segment Fiji
-17.195 -178.905
-17.19 -178.907
-17.186 -178.905
-17.172 -178.89
-17.176 -178.885
-17.19 -178.891
-17.193 -178.897
-17.195 -178.905
segment Fiji
-17.185 -179.019
-17.181 -179.028
-17.178 -179.025
-17.18 -179.019
-17.183 -179.016
-17.185 -179.019
segment Fiji
-17.267 -179.514
-17.265 -179.519
-17.261 -179.523
-17.257 -179.535
-17.254 -179.537
-17.252 -179.535
-17.249 -179.53
-17.248 -179.522
-17.245 -179.519
-17.245 -179.516
-17.246 -179.51
-17.246 -179.497
-17.249 -179.495
-17.252 -179.496
-17.254 -179.499
-17.261 -179.502
-17.266 -179.508
-17.267 -179.514
segment Fiji
-17.287 -179.148
-17.284 -179.154
-17.273 -179.157
-17.266 -179.162
-17.256 -179.164
-17.251 -179.163
-17.247 -179.157
-17.246 -179.152
-17.249 -179.148
-17.25 -179.141
-17.255 -179.129
-17.258 -179.126
-17.264 -179.129
-17.274 -179.125
-17.28 -179.131
-17.284 -179.136
-17.283 -179.144
-17.287 -179.148
segment Fiji
-17.261 -179.47
-17.26 -179.474
-17.251 -179.483
-17.248 -179.483
-17.251 -179.475
-17.253 -179.472
-17.259 -179.47
-17.261 -179.47
segment Fiji
-17.29 -178.785
-17.289 -178.789
-17.282 -178.793
-17.275 -178.787
-17.271 -178.785
-17.271 -178.774
-17.279 -178.773
-17.285 -178.775
-17.289 -178.778
-17.29 -178.785
segment Fiji
-17.328 -178.98
-17.343 -178.973
-17.345 -178.974
-17.344 -178.976
-17.337 -178.982
-17.334 -178.983
-17.328 -178.98
segment Fiji
-17.354 -178.957
-17.35 -178.964
-17.345 -178.968
-17.343 -178.967
-17.342 -178.963
-17.345 -178.953
-17.342 -178.95
-17.339 -178.935
-17.342 -178.931
-17.345 -178.943
-17.354 -178.954
-17.354 -178.957
segment Fiji
-17.371 -178.867
-17.38 -178.875
-17.383 -178.884
-17.38 -178.886
-17.379 -178.889
-17.374 -178.889
-17.372 -178.885
-17.367 -178.881
-17.355 -178.877
-17.351 -178.873
-17.347 -178.865
-17.35 -178.864
-17.371 -178.867
segment Fiji
-17.436 -179.526
-17.436 -179.531
-17.428 -179.533
-17.42 -179.529
-17.417 -179.521
-17.42 -179.515
-17.434 -179.513
-17.435 -179.514
-17.431 -179.517
-17.434 -179.519
-17.436 -179.526
segment Fiji
-17.423 -179.159
-17.425 -179.148
-17.428 -179.144
-17.431 -179.145
-17.436 -179.143
-17.44 -179.144
-17.442 -179.143
-17.438 -179.134
-17.439 -179.13
-17.442 -179.129
-17.459 -179.129
-17.465 -179.132
-17.476 -179.144
-17.477 -179.147
-17.473 -179.161
-17.468 -179.168
-17.466 -179.174
-17.459 -179.176
-17.453 -179.178
-17.436 -179.176
-17.429 -179.172
-17.425 -179.167
-17.423 -179.159
segment Fiji
-17.531 -178.713
-17.531 -178.716
-17.527 -178.719
-17.523 -178.719
-17.519 -178.716
