segment Niue
-18.956 -169.88
-18.956 -169.873
-18.954 -169.865
-18.951 -169.851
-18.951 -169.837
-18.954 -169.824
-18.959 -169.809
-18.964 -169.806
-18.98 -169.804
-18.997 -169.8
-19.006 -169.797
-19.01 -169.796
-19.016 -169.797
-19.026 -169.791
-19.043 -169.784
-19.052 -169.779
-19.061 -169.775
-19.072 -169.781
-19.08 -169.785
-19.091 -169.793
-19.106 -169.81
-19.121 -169.825
-19.133 -169.838
-19.138 -169.841
-19.143 -169.843
-19.144 -169.846
-19.145 -169.859
-19.15 -169.873
-19.152 -169.879
-19.151 -169.885
-19.144 -169.89
-19.141 -169.896
-19.138 -169.902
-19.138 -169.911
-19.138 -169.916
-19.136 -169.921
-19.132 -169.923
-19.129 -169.92
-19.124 -169.917
-19.117 -169.916
-19.111 -169.916
-19.105 -169.918
-19.1 -169.923
-19.09 -169.934
-19.083 -169.941
-19.079 -169.948
-19.071 -169.951
-19.065 -169.947
-19.061 -169.942
-19.057 -169.935
-19.052 -169.928
-19.047 -169.923
-19.038 -169.921
-19.033 -169.922
-19.024 -169.924
-19.016 -169.923
-19.008 -169.923
-19.004 -169.922
-18.999 -169.919
-18.996 -169.916
-18.993 -169.911
-18.984 -169.905
-18.979 -169.902
-18.972 -169.898
-18.968 -169.894
-18.963 -169.89
-18.958 -169.884
-18.956 -169.88
