segment Tonga
-21.094 -175.029
-21.097 -175.033
-21.097 -175.036
-21.094 -175.038
-21.092 -175.038
-21.092 -175.035
-21.092 -175.032
-21.094 -175.029
segment Tonga
-21.117 -174.985
-21.115 -174.981
-21.117 -174.978
-21.121 -174.976
-21.124 -174.978
-21.123 -174.981
-21.12 -174.983
-21.117 -174.985
segment Tonga
-21.286 -174.915
-21.294 -174.916
-21.301 -174.916
-21.313 -174.912
-21.324 -174.909
-21.336 -174.906
-21.365 -174.907
-21.406 -174.905
-21.422 -174.904
-21.44 -174.905
-21.448 -174.906
-21.454 -174.911
-21.455 -174.912
-21.454 -174.917
-21.452 -174.92
-21.449 -174.923
-21.443 -174.925
-21.438 -174.929
-21.43 -174.935
-21.425 -174.942
-21.424 -174.95
-21.422 -174.956
-21.419 -174.958
-21.415 -174.96
-21.411 -174.961
-21.41 -174.966
-21.404 -174.969
-21.395 -174.972
-21.386 -174.972
-21.377 -174.972
-21.367 -174.972
-21.358 -174.971
-21.349 -174.969
-21.34 -174.964
-21.336 -174.959
-21.331 -174.95
-21.325 -174.947
-21.318 -174.944
-21.312 -174.942
-21.303 -174.94
-21.298 -174.935
-21.295 -174.933
-21.287 -174.931
-21.285 -174.929
-21.282 -174.927
-21.281 -174.924
-21.281 -174.919
-21.282 -174.916
-21.286 -174.915
segment Tonga
-21.458 -174.96
-21.46 -174.958
-21.461 -174.955
-21.463 -174.956
-21.464 -174.959
-21.465 -174.963
-21.463 -174.963
-21.459 -174.963
-21.458 -174.96
