segment Vanuatu
-15.494 168.173
-15.51 168.177
-15.518 168.181
-15.522 168.185
-15.524 168.202
-15.526 168.205
-15.53 168.206
-15.536 168.203
-15.549 168.202
-15.581 168.202
-15.589 168.2
-15.6 168.19
-15.612 168.189
-15.624 168.196
-15.626 168.196
-15.633 168.196
-15.651 168.201
-15.677 168.215
-15.688 168.209
-15.693 168.21
-15.703 168.217
-15.722 168.218
-15.745 168.224
-15.763 168.235
-15.778 168.239
-15.816 168.243
-15.829 168.247
-15.837 168.252
-15.847 168.263
-15.851 168.265
-15.86 168.264
-15.877 168.262
-15.896 168.266
-15.907 168.264
-15.912 168.265
-15.918 168.272
-15.922 168.272
-15.925 168.268
-15.924 168.262
-15.926 168.259
-15.93 168.258
-15.963 168.268
-15.968 168.263
-15.969 168.263
-15.973 168.256
-15.979 168.249
-15.989 168.244
-15.997 168.236
-16 168.243
-16.003 168.241
-16.011 168.227
-16.01 168.225
-16.005 168.222
-16.003 168.212
-16.008 168.212
-16.013 168.209
-16 168.198
segment Vanuatu
-15.723 167.248
-15.72 167.246
-15.711 167.25
-15.711 167.252
-15.717 167.253
-15.722 167.251
-15.723 167.248
segment Vanuatu
-16 167.379
-16.004 167.381
-16.013 167.386
-16.017 167.391
-16.018 167.396
-16.015 167.4
-16.013 167.402
-16.018 167.405
-16.024 167.4
-16.027 167.401
-16.038 167.404
-16.05 167.395
-16.063 167.388
-16.067 167.384
-16.069 167.4
-16.073 167.405
-16.074 167.414
-16.077 167.415
-16.08 167.413
-16.084 167.404
-16.088 167.401
-16.092 167.404
-16.098 167.416
-16.105 167.423
-16.111 167.43
-16.12 167.446
-16.128 167.455
-16.145 167.467
-16.143 167.472
-16.148 167.479
-16.146 167.482
-16.143 167.478
-16.134 167.474
-16.118 167.472
-16.108 167.468
-16.105 167.469
-16.108 167.473
-16.11 167.476
-16.112 167.478
-16.136 167.487
-16.137 167.492
-16.132 167.494
-16.13 167.496
-16.134 167.5
-16.143 167.499
-16.147 167.497
-16.15 167.494
-16.151 167.489
-16.155 167.487
-16.16 167.489
-16.166 167.496
-16.165 167.499
-16.162 167.507
-16.162 167.51
-16.174 167.515
-16.181 167.526
-16.182 167.529
-16.179 167.533
-16.17 167.533
-16.167 167.54
-16.168 167.543
-16.17 167.546
-16.175 167.546
-16.191 167.546
-16.193 167.546
-16.197 167.548
-16.201 167.553
-16.203 167.563
-16.207 167.566
-16.209 167.568
-16.215 167.568
-16.218 167.57
-16.221 167.576
-16.221 167.579
-16.222 167.591
-16.227 167.599
-16.235 167.607
-16.237 167.611
-16.256 167.62
-16.271 167.639
-16.276 167.643
-16.276 167.658
-16.271 167.663
-16.271 167.669
-16.272 167.677
-16.272 167.687
-16.274 167.688
-16.279 167.683
-16.286 167.679
-16.289 167.676
-16.289 167.67
-16.293 167.67
-16.3 167.675
-16.304 167.686
-16.314 167.694
-16.313 167.706
-16.315 167.709
-16.321 167.714
-16.33 167.717
-16.331 167.724
-16.334 167.73
-16.336 167.735
-16.344 167.741
-16.347 167.744
-16.348 167.749
-16.347 167.755
-16.339 167.759
-16.338 167.762
-16.341 167.765
-16.347 167.769
-16.355 167.773
-16.362 167.774
-16.375 167.775
-16.403 167.785
-16.409 167.779
-16.415 167.777
-16.417 167.773
-16.419 167.774
-16.418 167.785
-16.42 167.788
-16.422 167.789
-16.428 167.787
-16.431 167.782
-16.432 167.776
-16.445 167.771
-16.445 167.765
-16.452 167.77
-16.46 167.766
-16.465 167.767
-16.473 167.77
-16.469 167.773
-16.475 167.776
-16.478 167.774
-16.484 167.769
-16.49 167.768
-16.483 167.777
-16.479 167.78
-16.461 167.777
-16.448 167.782
-16.444 167.781
-16.438 167.785
-16.435 167.794
-16.433 167.796
-16.426 167.802
-16.425 167.802
-16.425 167.805
-16.437 167.817
-16.439 167.818
-16.453 167.825
-16.457 167.83
-16.475 167.83
-16.477 167.829
-16.478 167.825
-16.48 167.822
-16.472 167.813
-16.472 167.808
-16.476 167.805
