segment Mariana
14.867 145.576
14.865 145.581
14.862 145.584
14.859 145.584
14.844 145.567
14.843 145.554
14.84 145.55
14.84 145.545
14.843 145.542
14.849 145.541
14.855 145.544
14.861 145.559
14.864 145.571
14.867 145.576
segment Mariana
14.196 145.238
14.2 145.243
14.202 145.252
14.197 145.265
14.194 145.285
14.19 145.294
14.184 145.295
14.178 145.292
14.176 145.292
14.163 145.291
14.153 145.284
14.152 145.278
14.153 145.263
14.148 145.245
14.136 145.237
14.128 145.237
14.126 145.234
14.125 145.228
14.115 145.222
14.113 145.218
14.114 145.214
14.112 145.203
14.112 145.2
14.113 145.195
14.108 145.182
14.107 145.175
14.11 145.172
14.122 145.173
14.127 145.172
14.136 145.157
14.136 145.152
14.133 145.147
14.117 145.134
14.114 145.127
14.12 145.127
14.125 145.129
14.131 145.136
14.136 145.141
14.149 145.148
14.17 145.164
14.172 145.173
14.171 145.184
14.177 145.205
14.185 145.222
14.194 145.232
14.196 145.238
segment Mariana
19.697 145.39
19.703 145.392
19.708 145.392
19.714 145.396
19.717 145.399
19.718 145.403
19.717 145.408
19.712 145.414
19.708 145.417
19.703 145.418
19.698 145.416
19.694 145.414
19.692 145.41
19.692 145.405
19.693 145.398
19.695 145.395
19.697 145.393
19.697 145.39
segment Mariana
18.805 145.649
18.801 145.669
18.797 145.67
18.795 145.671
18.791 145.678
18.789 145.683
18.785 145.686
18.781 145.688
18.778 145.689
18.77 145.689
18.765 145.69
18.759 145.69
18.755 145.691
18.754 145.689
18.75 145.687
18.746 145.687
18.741 145.687
18.737 145.685
18.736 145.683
18.735 145.679
18.734 145.677
18.734 145.673
18.73 145.671
18.726 145.669
18.724 145.667
18.723 145.663
18.724 145.659
18.727 145.651
18.733 145.645
18.742 145.641
18.748 145.638
18.751 145.636
18.769 145.633
18.785 145.636
18.792 145.639
18.797 145.644
18.798 145.647
18.802 145.649
18.805 145.649
segment Mariana
18.101 145.795
18.107 145.79
18.108 145.786
18.108 145.779
18.104 145.772
18.093 145.763
18.082 145.755
18.072 145.752
18.063 145.747
18.056 145.739
18.051 145.73
18.045 145.72
18.047 145.715
18.047 145.712
18.051 145.713
18.062 145.718
18.07 145.721
18.077 145.723
18.081 145.725
18.082 145.728
18.085 145.732
18.084 145.737
18.086 145.743
18.092 145.75
18.105 145.756
18.113 145.759
18.12 145.761
18.125 145.761
18.13 145.761
18.135 145.76
18.14 145.758
18.146 145.757
18.154 145.76
18.16 145.764
18.164 145.767
18.165 145.773
18.165 145.783
18.163 145.788
18.16 145.797
18.156 145.803
18.151 145.806
18.147 145.81
18.141 145.812
18.135 145.811
18.131 145.809
18.115 145.801
18.111 145.797
18.105 145.797
18.101 145.796
18.101 145.795
segment Mariana
17.618 145.83
17.615 145.835
17.613 145.839
17.61 145.842
