lon,lat,velocity_trench_normal,coupling_low,coupling_pref,coupling_high,slip_def_low,slip_def_pref,slip_def_high
141.0864,10.946,44.9,0.25,0.5,0.75,11.23,22.45,33.68
141.172688,10.974748,44.6,0.25,0.5,0.75,11.14,22.29,33.43
141.259001,11.003488,44.3,0.25,0.5,0.75,11.06,22.13,33.19
141.34534,11.032221,43.9,0.25,0.5,0.75,10.98,21.96,32.94
141.431672,11.061036,43.7,0.25,0.5,0.75,10.92,21.83,32.75
141.518032,11.089836,43.3,0.25,0.5,0.75,10.82,21.65,32.47
141.60443,11.118591,43,0.25,0.5,0.75,10.74,21.48,32.22
141.687929,11.154523,49.3,0.25,0.5,0.75,12.31,24.63,36.94
141.770497,11.192806,48.7,0.25,0.5,0.75,12.18,24.37,36.55
141.853058,11.231151,48.6,0.25,0.5,0.75,12.16,24.32,36.48
141.935987,11.26837,30.2,0.25,0.5,0.75,7.54,15.08,22.62
142.026329,11.28128,29.8,0.25,0.5,0.75,7.46,14.91,22.37
142.116689,11.294179,29.6,0.25,0.5,0.75,7.39,14.79,22.18
142.207056,11.307142,29.2,0.25,0.5,0.75,7.31,14.62,21.93
142.29752,11.319499,27,0.25,0.5,0.75,6.75,13.5,20.25
142.388257,11.329904,26.8,0.25,0.5,0.75,6.69,13.38,20.08
142.478998,11.340395,26.4,0.25,0.5,0.75,6.6,13.19,19.79
142.569765,11.350792,26.1,0.25,0.5,0.75,6.51,13.03,19.54
142.660545,11.361201,25.8,0.25,0.5,0.75,6.44,12.88,19.31
142.751227,11.372505,26.3,0.25,0.5,0.75,6.57,13.14,19.71
142.841906,11.383961,25.9,0.25,0.5,0.75,6.47,12.94,19.42
142.9316,11.400579,33.6,0.25,0.5,0.75,8.39,16.78,25.17
143.020222,11.422839,33.3,0.25,0.5,0.75,8.32,16.63,24.95
143.108621,11.445521,34.2,0.25,0.5,0.75,8.54,17.08,25.61
143.19433,11.46883,27,0.25,0.5,0.75,6.75,13.5,20.25
143.284637,11.483346,26.6,0.25,0.5,0.75,6.65,13.31,19.96
143.374947,11.49792,26.4,0.25,0.5,0.75,6.59,13.18,19.77
143.46527,11.512504,26,0.25,0.5,0.75,6.51,13.02,19.54
143.546554,11.543466,37.9,0.25,0.5,0.75,9.48,18.96,28.44
143.63237,11.574936,37.6,0.25,0.5,0.75,9.41,18.82,28.22
143.718194,11.606434,37.3,0.25,0.5,0.75,9.33,18.66,27.99
143.804032,11.63794,37,0.25,0.5,0.75,9.26,18.51,27.77
143.889876,11.669478,36.7,0.25,0.5,0.75,9.17,18.34,27.51
143.967412,11.71733,48.4,0.25,0.5,0.75,12.09,24.19,36.28
144.044337,11.766432,48,0.25,0.5,0.75,12,24,36.01
144.121284,11.815534,47.7,0.25,0.5,0.75,11.92,23.84,35.77
144.198235,11.864662,47.4,0.25,0.5,0.75,11.84,23.69,35.53
144.281,11.902228,34.2,0.25,0.5,0.75,8.56,17.12,25.68
144.367407,11.932575,34,0.25,0.5,0.75,8.49,16.99,25.48
144.453814,11.962967,33.7,0.25,0.5,0.75,8.42,16.83,25.25
144.540238,11.993352,33.3,0.25,0.5,0.75,8.33,16.65,24.98
144.626413,12.024373,38.2,0.25,0.5,0.75,9.55,19.1,28.65
144.709752,12.062273,37.9,0.25,0.5,0.75,9.47,18.93,28.4
144.793107,12.100172,37.6,0.25,0.5,0.75,9.39,18.78,28.17
144.876479,12.138074,37.2,0.25,0.5,0.75,9.31,18.61,27.92
144.961827,12.171429,33.3,0.25,0.5,0.75,8.31,16.63,24.94
145.047518,12.20402,32.9,0.25,0.5,0.75,8.23,16.46,24.69
145.133214,12.236637,32.6,0.25,0.5,0.75,8.15,16.31,24.46
145.218932,12.269237,32.3,0.25,0.5,0.75,8.07,16.14,24.21
145.298159,12.314859,41.6,0.25,0.5,0.75,10.41,20.81,31.22
145.376807,12.361678,41.3,0.25,0.5,0.75,10.32,20.65,30.97
145.451365,12.413666,52,0.25,0.5,0.75,12.99,25.98,38.96
145.516676,12.477325,51.6,0.25,0.5,0.75,12.9,25.8,38.7
145.582021,12.540969,51.3,0.25,0.5,0.75,12.81,25.63,38.44
145.647402,12.604596,50.9,0.25,0.5,0.75,12.73,25.45,38.18
145.716362,12.663987,42.4,0.25,0.5,0.75,10.6,21.2,31.8
145.792441,12.714919,42,0.25,0.5,0.75,10.51,21.02,31.54
145.868516,12.765883,41.8,0.25,0.5,0.75,10.44,20.88,31.32
145.944598,12.816864,41.4,0.25,0.5,0.75,10.35,20.71,31.06
146.020683,12.867865,41.1,0.25,0.5,0.75,10.28,20.55,30.83
146.096793,12.918856,40.8,0.25,0.5,0.75,10.19,20.38,30.58
146.172929,12.969834,40.4,0.25,0.5,0.75,10.11,20.21,30.32
146.248138,13.022101,42.4,0.25,0.5,0.75,10.6,21.2,31.8
146.321729,13.076602,42.1,0.25,0.5,0.75,10.52,21.05,31.57
146.395297,13.131155,41.8,0.25,0.5,0.75,10.44,20.88,31.32
146.468911,13.185671,41.4,0.25,0.5,0.75,10.35,20.7,31.05
146.542518,13.240221,41.1,0.25,0.5,0.75,10.28,20.55,30.83
146.609328,13.301942,49.3,0.25,0.5,0.75,12.34,24.67,37.01
146.670205,13.369932,49,0.25,0.5,0.75,12.25,24.49,36.74
146.731125,13.4379,48.6,0.25,0.5,0.75,12.16,24.32,36.48
146.792088,13.505846,48.3,0.25,0.5,0.75,12.07,24.14,36.21
146.853022,13.57383,48,0.01,0.25,0.5,0.48,11.99,23.99
146.902706,13.649314,55.3,0.01,0.25,0.5,0.55,13.81,27.63
146.945006,13.729722,54.9,0.01,0.25,0.5,0.55,13.73,27.45
146.987329,13.810126,54.5,0.01,0.25,0.5,0.55,13.64,27.27
147.029679,13.890523,54.2,0.01,0.25,0.5,0.54,13.55,27.09
147.071986,13.970949,53.9,0.01,0.25,0.5,0.54,13.46,26.93
147.114302,14.051376,53.5,0.01,0.25,0.5,0.54,13.38,26.75
147.15664,14.1318,53.1,0.01,0.25,0.5,0.53,13.29,26.57
147.199005,14.212216,52.8,0.01,0.25,0.5,0.53,13.2,26.4
147.229464,14.297567,55.4,0.01,0.25,0.5,0.55,13.86,27.72
147.259241,14.383196,55.1,0.01,0.25,0.5,0.55,13.78,27.56
147.289025,14.468826,54.8,0.01,0.25,0.5,0.55,13.69,27.38
147.318798,14.554462,54.4,0.01,0.25,0.5,0.54,13.6,27.2
147.348579,14.640099,54,0.01,0.25,0.5,0.54,13.51,27.02
147.378359,14.725738,53.7,0.01,0.25,0.5,0.54,13.42,26.85
147.408137,14.811381,53.3,0.01,0.25,0.5,0.53,13.33,26.67
147.437948,14.897016,53,0.01,0.25,0.5,0.53,13.24,26.49
147.46741,14.982765,53,0.01,0.25,0.5,0.53,13.24,26.48
147.495261,15.069027,52.6,0.01,0.25,0.5,0.53,13.15,26.3
147.523126,15.155287,52.2,0.01,0.25,0.5,0.52,13.06,26.12
147.550998,15.241547,51.9,0.01,0.25,0.5,0.52,12.97,25.95
147.578853,15.327815,51.5,0.01,0.25,0.5,0.52,12.88,25.77
147.606752,15.414072,51.2,0.01,0.25,0.5,0.51,12.79,25.59
147.632224,15.500945,52,0.01,0.25,0.5,0.52,13.01,26.02
147.651353,15.589425,51.7,0.01,0.25,0.5,0.52,12.92,25.84
147.670512,15.677899,51.3,0.01,0.25,0.5,0.51,12.82,25.65
147.689735,15.766362,51,0.01,0.25,0.5,0.51,12.74,25.48
147.708218,15.854944,51.3,0.01,0.25,0.5,0.51,12.82,25.65
147.718802,15.94476,50.9,0.01,0.25,0.5,0.51,12.73,25.47
147.729395,16.034575,50.6,0.01,0.25,0.5,0.51,12.64,25.28
147.739987,16.12439,50.2,0.01,0.05,0.1,0.5,2.51,5.02
147.750581,16.214203,49.8,0.01,0.05,0.1,0.5,2.49,4.98
147.761168,16.304018,49.5,0.01,0.05,0.1,0.49,2.47,4.95
147.771759,16.393831,49.1,0.01,0.05,0.1,0.49,2.46,4.91
147.782354,16.483644,48.7,0.01,0.05,0.1,0.49,2.44,4.87
147.790445,16.573672,48.6,0.01,0.05,0.1,0.49,2.43,4.86
147.79658,16.663869,48.2,0.01,0.05,0.1,0.48,2.41,4.82
147.802757,16.754063,47.8,0.01,0.05,0.1,0.48,2.39,4.78
147.808942,16.844255,47.5,0.01,0.05,0.1,0.47,2.37,4.75
147.815074,16.934451,47.1,0.01,0.05,0.1,0.47,2.36,4.71
147.821204,17.024645,46.8,0.01,0.05,0.1,0.47,2.34,4.68
147.827336,17.114839,46.4,0.01,0.05,0.1,0.46,2.32,4.64
147.833466,17.205032,46,0.01,0.05,0.1,0.46,2.3,4.6
147.837636,17.295254,45.7,0.01,0.05,0.1,0.46,2.29,4.57
147.834502,17.385587,45.3,0.01,0.05,0.1,0.45,2.27,4.53
