Latitude,Longitude,ConveyorBeltVelo,Alpha,Beta,P_2.5,P_50,P_97.5
10.946,141.086,44.900,7.601,10.902,0.204,0.408,0.635
10.975,141.173,44.600,7.601,10.902,0.204,0.408,0.635
11.003,141.259,44.300,7.601,10.902,0.204,0.408,0.635
11.032,141.345,43.900,7.601,10.902,0.204,0.408,0.635
11.061,141.432,43.700,7.601,10.902,0.204,0.408,0.635
11.090,141.518,43.300,7.601,10.902,0.204,0.408,0.635
11.119,141.604,43.000,7.601,10.902,0.204,0.408,0.635
11.155,141.688,49.300,7.601,10.902,0.204,0.408,0.635
11.193,141.770,48.700,7.601,10.902,0.204,0.408,0.635
11.231,141.853,48.600,7.601,10.902,0.204,0.408,0.635
11.268,141.936,30.200,7.601,10.902,0.204,0.408,0.635
11.281,142.026,29.800,7.601,10.902,0.204,0.408,0.635
11.294,142.117,29.600,7.601,10.902,0.204,0.408,0.635
11.307,142.207,29.200,7.601,10.902,0.204,0.408,0.635
11.319,142.298,27.000,7.601,10.902,0.204,0.408,0.635
11.330,142.388,26.800,7.601,10.902,0.204,0.408,0.635
11.340,142.479,26.400,7.601,10.902,0.204,0.408,0.635
11.351,142.570,26.100,7.601,10.902,0.204,0.408,0.635
11.361,142.661,25.800,7.601,10.902,0.204,0.408,0.635
11.373,142.751,26.300,7.601,10.902,0.204,0.408,0.635
11.384,142.842,25.900,7.601,10.902,0.204,0.408,0.635
11.401,142.932,33.600,7.601,10.902,0.204,0.408,0.635
11.423,143.020,33.300,7.601,10.902,0.204,0.408,0.635
11.446,143.109,34.200,7.601,10.902,0.204,0.408,0.635
11.469,143.194,27.000,7.601,10.902,0.204,0.408,0.635
11.483,143.285,26.600,7.601,10.902,0.204,0.408,0.635
11.498,143.375,26.400,7.601,10.902,0.204,0.408,0.635
11.513,143.465,26.000,7.601,10.902,0.204,0.408,0.635
11.543,143.547,37.900,7.601,10.902,0.204,0.408,0.635
11.575,143.632,37.600,7.601,10.902,0.204,0.408,0.635
11.606,143.718,37.300,7.601,10.902,0.204,0.408,0.635
