segment Argentina
-50.948 -69.192
-50.95 -69.196
-50.951 -69.2
-50.949 -69.199
-50.945 -69.195
-50.941 -69.19
-50.942 -69.188
-50.947 -69.187
-50.948 -69.192
segment Argentina
-51.591 -69.023
-51.589 -69.033
-51.585 -69.035
-51.582 -69.032
-51.583 -69.026
-51.586 -69.021
-51.59 -69.02
-51.591 -69.023
segment Argentina
-48.134 -66.069
-48.134 -66.077
-48.131 -66.08
-48.127 -66.081
-48.125 -66.076
-48.126 -66.071
-48.131 -66.068
-48.134 -66.069
segment Argentina
-48.259 -66.203
-48.258 -66.21
-48.257 -66.214
-48.252 -66.212
-48.248 -66.204
-48.25 -66.197
-48.252 -66.195
-48.255 -66.197
-48.259 -66.203
segment Argentina
-48.497 -66.184
-48.496 -66.191
-48.491 -66.195
-48.488 -66.192
-48.487 -66.187
-48.487 -66.177
-48.49 -66.17
-48.492 -66.173
-48.494 -66.177
-48.497 -66.184
segment Argentina
-48.738 -67.061
-48.737 -67.066
-48.738 -67.07
-48.736 -67.074
-48.731 -67.07
-48.729 -67.064
-48.73 -67.057
-48.734 -67.054
-48.736 -67.055
-48.738 -67.061
segment Argentina
-48.789 -67.2
-48.787 -67.205
-48.781 -67.202
-48.778 -67.196
-48.777 -67.189
-48.779 -67.188
-48.783 -67.19
-48.788 -67.194
-48.789 -67.2
segment Argentina
-54.654 -64.177
-54.653 -64.179
-54.649 -64.175
-54.645 -64.175
-54.637 -64.177
-54.632 -64.173
-54.627 -64.166
-54.626 -64.154
-54.628 -64.144
-54.633 -64.141
-54.643 -64.129
-54.646 -64.131
-54.649 -64.138
-54.648 -64.149
-54.654 -64.165
-54.654 -64.177
segment Argentina
-54.655 -64.271
-54.66 -64.274
-54.665 -64.278
-54.669 -64.284
-54.669 -64.291
-54.667 -64.291
-54.662 -64.283
-54.66 -64.28
-54.655 -64.271
segment Argentina
-54.694 -64.264
-54.692 -64.266
-54.688 -64.267
-54.68 -64.256
-54.681 -64.253
-54.686 -64.253
-54.693 -64.258
-54.694 -64.264
segment Argentina
-54.842 -64.681
-54.84 -64.686
-54.844 -64.702
-54.845 -64.72
-54.844 -64.73
-54.838 -64.74
-54.837 -64.756
-54.835 -64.758
-54.824 -64.748
-54.813 -64.741
-54.795 -64.72
-54.794 -64.713
-54.794 -64.708
-54.796 -64.692
-54.796 -64.683
-54.794 -64.68
-54.791 -64.679
-54.787 -64.68
-54.78 -64.694
-54.777 -64.687
-54.774 -64.666
-54.774 -64.655
-54.776 -64.64
-54.781 -64.627
-54.798 -64.596
-54.8 -64.581
-54.798 -64.575
-54.79 -64.564
-54.788 -64.554
-54.787 -64.53
-54.788 -64.511
-54.786 -64.502
-54.782 -64.501
-54.773 -64.506
-54.762 -64.519
-54.759 -64.532
-54.754 -64.546
-54.746 -64.552
-54.737 -64.553
-54.725 -64.563
-54.718 -64.57
-54.715 -64.569
-54.713 -64.568
-54.711 -64.559
-54.716 -64.545
-54.721 -64.531
-54.748 -64.502
-54.75 -64.499
-54.749 -64.488
-54.752 -64.469
-54.755 -64.453
-54.758 -64.44
-54.766 -64.429
-54.767 -64.421
-54.766 -64.417
-54.764 -64.414
-54.757 -64.412
-54.754 -64.414
-54.747 -64.424
-54.744 -64.425
-54.741 -64.423
-54.736 -64.405
-54.734 -64.398
-54.737 -64.393
-54.74 -64.392
-54.747 -64.396
-54.757 -64.397
-54.777 -64.389
-54.785 -64.385
-54.797 -64.391
-54.801 -64.388
-54.793 -64.364
-54.79 -64.36
-54.778 -64.357
-54.768 -64.361
-54.751 -64.372
-54.736 -64.373
-54.729 -64.372
-54.718 -64.366
-54.71 -64.369
-54.706 -64.368
-54.704 -64.364
-54.703 -64.359
-54.707 -64.351
-54.72 -64.346
-54.727 -64.34
-54.742 -64.345
-54.746 -64.343
-54.748 -64.339
-54.748 -64.333
-54.745 -64.328
-54.738 -64.324
-54.722 -64.316
-54.718 -64.31
-54.718 -64.306
-54.719 -64.294
-54.728 -64.258
-54.728 -64.252
-54.721 -64.23
-54.723 -64.223
-54.729 -64.215
-54.734 -64.205
-54.745 -64.191
-54.754 -64.167
-54.754 -64.162
-54.753 -64.16
-54.745 -64.157
-54.741 -64.16
-54.734 -64.168
-54.731 -64.167
-54.725 -64.177
-54.721 -64.18
-54.717 -64.178
-54.714 -64.162
-54.713 -64.152
-54.718 -64.145
-54.722 -64.142
-54.729 -64.143
-54.733 -64.138
-54.735 -64.128
-54.732 -64.119
-54.729 -64.113
-54.721 -64.101
-54.718 -64.094
-54.717 -64.09
-54.724 -64.079
-54.73 -64.075
-54.754 -64.067
-54.758 -64.063
-54.758 -64.058
-54.754 -64.052
-54.744 -64.045
-54.736 -64.041
-54.731 -64.031
-54.729 -64.013
-54.726 -63.995
-54.724 -63.973
-54.722 -63.961
-54.719 -63.954
-54.718 -63.941
-54.714 -63.925
-54.712 -63.901
-54.713 -63.89
-54.713 -63.888
-54.719 -63.882
-54.729 -63.879
-54.742 -63.886
-54.747 -63.886
-54.748 -63.884
-54.745 -63.871
-54.74 -63.858
-54.715 -63.821
-54.715 -63.817
-54.721 -63.808
-54.727 -63.807
-54.732 -63.809
-54.734 -63.811
-54.735 -63.814
-54.742 -63.824
-54.755 -63.833
-54.769 -63.847
-54.778 -63.854
-54.786 -63.865
-54.789 -63.872
-54.791 -63.885
-54.792 -63.896
-54.788 -63.905
-54.783 -63.912
-54.783 -63.918
-54.79 -63.925
-54.799 -63.935
-54.804 -63.942
-54.809 -63.96
-54.809 -63.966
-54.809 -63.974
-54.806 -63.975
-54.798 -63.969
-54.795 -63.971
-54.794 -63.979
-54.79 -63.98
-54.78 -63.977
-54.768 -63.976
-54.768 -63.979
-54.768 -63.985
-54.77 -63.99
-54.772 -63.994
-54.774 -63.999
-54.776 -64.009
-54.786 -64.029
-54.792 -64.045
-54.793 -64.051
-54.792 -64.055
-54.791 -64.064
-54.793 -64.074
-54.791 -64.075
-54.783 -64.072
-54.78 -64.073
-54.779 -64.081
-54.782 -64.088
-54.801 -64.105
-54.815 -64.111
-54.819 -64.12
-54.822 -64.139
-54.82 -64.14
-54.812 -64.134
-54.808 -64.137
-54.808 -64.145
-54.81 -64.151
-54.816 -64.173
-54.81 -64.187
-54.811 -64.193
-54.814 -64.199
-54.818 -64.194
-54.828 -64.189
-54.829 -64.19
-54.829 -64.193
-54.821 -64.217
-54.819 -64.227
-54.837 -64.242
-54.843 -64.251
-54.841 -64.258
-54.838 -64.261
-54.833 -64.263
-54.816 -64.261
-54.806 -64.255
-54.789 -64.245
-54.772 -64.256
-54.773 -64.264
-54.784 -64.276
-54.791 -64.287
-54.788 -64.293
-54.779 -64.297
-54.779 -64.298
-54.779 -64.308
-54.802 -64.331
-54.807 -64.34
-54.812 -64.356
-54.823 -64.382
-54.824 -64.393
-54.825 -64.403
-54.839 -64.428
-54.849 -64.447
-54.853 -64.461
-54.857 -64.481
-54.854 -64.494
-54.851 -64.498
-54.848 -64.501
-54.842 -64.497
-54.828 -64.471
-54.822 -64.466
-54.818 -64.47
-54.817 -64.479
-54.817 -64.482
-54.821 -64.493
-54.834 -64.517
-54.837 -64.518
-54.849 -64.514
-54.859 -64.517
-54.869 -64.533
-54.872 -64.543
-54.871 -64.554
-54.872 -64.565
-54.878 -64.573
-54.884 -64.576
-54.888 -64.582
-54.897 -64.589
-54.901 -64.598
-54.903 -64.605
-54.897 -64.614
-54.897 -64.618
-54.9 -64.63
-54.904 -64.637
-54.907 -64.646
-54.909 -64.671
-54.906 -64.68
-54.902 -64.688
-54.898 -64.686
-54.893 -64.666
-54.888 -64.658
-54.882 -64.65
-54.875 -64.646
-54.869 -64.65
-54.862 -64.666
-54.858 -64.678
-54.855 -64.681
-54.847 -64.675
-54.843 -64.677
-54.842 -64.681
segment Argentina
-54.839 -64.35
-54.836 -64.353
-54.834 -64.353
-54.827 -64.344
-54.827 -64.337
-54.83 -64.333
-54.832 -64.334
-54.838 -64.342
-54.839 -64.35
segment Argentina
-54.847 -64.174
-54.847 -64.183
-54.844 -64.19
-54.842 -64.19
-54.839 -64.182
-54.838 -64.172
-54.843 -64.169
-54.844 -64.171
-54.847 -64.174
segment Argentina
-54.875 -64.173
-54.874 -64.177
-54.869 -64.184
-54.867 -64.183
-54.866 -64.172
-54.87 -64.168
-54.873 -64.17
-54.875 -64.173
segment Argentina
-44.783 -65.66
-44.781 -65.665
-44.777 -65.668
-44.773 -65.666
-44.771 -65.66
-44.773 -65.655
-44.774 -65.643
-44.775 -65.64
-44.778 -65.642
-44.782 -65.65
-44.783 -65.66
segment Argentina
-40.26 -62.374
-40.258 -62.379
-40.254 -62.379
-40.239 -62.381
-40.237 -62.377
-40.24 -62.37
-40.244 -62.366
-40.256 -62.367
-40.258 -62.369
-40.26 -62.374
segment Argentina
-40.348 -62.351
-40.337 -62.353
-40.325 -62.352
-40.289 -62.349
-40.287 -62.345
-40.289 -62.343
-40.289 -62.333
-40.298 -62.33
-40.3 -62.324
-40.304 -62.322
-40.31 -62.324
-40.317 -62.322
-40.327 -62.334
-40.334 -62.333
-40.342 -62.336
-40.342 -62.344
-40.348 -62.349
-40.348 -62.351
segment Argentina
-40.437 -62.178
-40.437 -62.187
-40.435 -62.195
-40.433 -62.197
-40.426 -62.198
-40.38 -62.178
-40.379 -62.178
-40.368 -62.171
-40.365 -62.167
-40.365 -62.164
-40.369 -62.159
-40.381 -62.157
-40.381 -62.155
-40.377 -62.151
-40.378 -62.147
-40.379 -62.146
-40.382 -62.146
-40.401 -62.156
-40.404 -62.155
-40.403 -62.15
-40.406 -62.146
-40.41 -62.145
-40.418 -62.146
-40.432 -62.164
-40.437 -62.178
segment Argentina
-40.403 -62.132
-40.401 -62.137
-40.395 -62.139
-40.375 -62.134
-40.375 -62.129
-40.381 -62.127
-40.403 -62.132
segment Argentina
-40.524 -62.216
-40.524 -62.225
-40.522 -62.228
-40.516 -62.231
-40.509 -62.231
-40.473 -62.205
-40.469 -62.205
-40.455 -62.203
-40.449 -62.2
-40.449 -62.195
-40.454 -62.189
-40.456 -62.175
-40.459 -62.169
-40.464 -62.167
-40.471 -62.168
-40.51 -62.194
-40.518 -62.201
-40.524 -62.216
segment Argentina
-42.376 -63.597
-42.372 -63.6
-42.359 -63.599
-42.349 -63.597
-42.344 -63.594
-42.344 -63.591
-42.351 -63.589
-42.368 -63.59
-42.375 -63.592
-42.376 -63.597
segment Argentina
-38.825 -62.27
-38.821 -62.277
-38.812 -62.28
-38.804 -62.281
-38.803 -62.277
-38.805 -62.272
-38.82 -62.261
-38.825 -62.264
-38.825 -62.27
segment Argentina
-38.817 -62.356
-38.814 -62.364
-38.808 -62.368
-38.805 -62.367
-38.814 -62.356
-38.817 -62.356
segment Argentina
-38.826 -62.341
-38.82 -62.342
-38.818 -62.347
-38.812 -62.35
-38.806 -62.348
-38.805 -62.345
-38.81 -62.33
-38.812 -62.322
-38.813 -62.32
-38.819 -62.332
-38.826 -62.337
-38.826 -62.341
segment Argentina
-38.859 -62.245
-38.848 -62.249
-38.843 -62.257
-38.84 -62.27
-38.829 -62.261
-38.828 -62.255
-38.836 -62.244
-38.857 -62.228
-38.856 -62.235
-38.859 -62.239
-38.859 -62.245
segment Argentina
-38.878 -62.324
-38.877 -62.327
-38.875 -62.327
-38.867 -62.319
-38.874 -62.316
