segment Bolivia
-11.068 -65.331
-11.078 -65.326
-11.096 -65.318
-11.105 -65.318
-11.112 -65.322
-11.134 -65.362
-11.14 -65.37
-11.143 -65.373
-11.156 -65.385
-11.158 -65.386
-11.167 -65.391
-11.176 -65.391
-11.197 -65.388
-11.211 -65.383
-11.22 -65.376
-11.23 -65.354
-11.235 -65.35
-11.239 -65.349
-11.243 -65.352
-11.246 -65.358
-11.248 -65.371
-11.248 -65.372
-11.251 -65.379
-11.26 -65.385
-11.269 -65.385
-11.296 -65.375
-11.309 -65.367
-11.322 -65.356
-11.323 -65.355
-11.327 -65.351
-11.328 -65.346
-11.328 -65.321
-11.329 -65.319
-11.333 -65.315
-11.341 -65.31
-11.349 -65.31
-11.353 -65.312
-11.355 -65.331
-11.363 -65.338
-11.392 -65.338
-11.423 -65.33
-11.431 -65.326
-11.5 -65.299
-11.508 -65.293
-11.512 -65.287
-11.514 -65.273
-11.513 -65.253
-11.512 -65.251
-11.511 -65.248
-11.511 -65.243
-11.509 -65.24
-11.511 -65.231
-11.521 -65.218
-11.543 -65.208
-11.554 -65.205
-11.579 -65.211
-11.595 -65.208
-11.603 -65.204
-11.604 -65.201
-11.609 -65.181
-11.616 -65.167
-11.622 -65.161
-11.629 -65.158
-11.634 -65.159
-11.635 -65.166
-11.629 -65.178
-11.631 -65.184
-11.641 -65.185
-11.669 -65.176
-11.672 -65.176
-11.679 -65.176
-11.695 -65.184
-11.705 -65.192
-11.718 -65.201
-11.731 -65.203
-11.745 -65.201
-11.761 -65.185
-11.769 -65.17
-11.771 -65.163
-11.778 -65.145
-11.777 -65.135
-11.774 -65.133
-11.741 -65.133
-11.712 -65.126
-11.704 -65.12
-11.697 -65.111
-11.697 -65.106
-11.701 -65.103
-11.702 -65.102
-11.711 -65.102
-11.73 -65.113
-11.741 -65.112
-11.746 -65.106
-11.746 -65.102
-11.742 -65.062
-11.747 -65.053
-11.757 -65.048
-11.768 -65.046
-11.783 -65.045
-11.808 -65.035
-11.862 -65.032
-11.885 -65.027
-11.891 -65.023
-11.901 -65.017
-11.907 -65.005
-11.914 -65
-11.924 -64.998
-11.935 -64.997
-11.951 -65
-11.964 -65.002
-11.978 -65.001
-11.981 -65
-11.999 -64.993
-12.002 -64.988
-12.004 -64.986
-12.009 -64.971
-12.012 -64.953
-12.006 -64.915
-12.009 -64.908
-12.023 -64.89
-12.025 -64.84
-12.028 -64.827
-12.033 -64.812
-12.035 -64.798
-12.042 -64.787
-12.061 -64.777
-12.067 -64.774
-12.087 -64.766
-12.095 -64.758
-12.104 -64.742
-12.113 -64.734
-12.119 -64.732
-12.156 -64.731
-12.162 -64.725
-12.163 -64.72
-12.163 -64.718
-12.16 -64.71
-12.152 -64.704
-12.109 -64.701
-12.104 -64.698
-12.1 -64.691
