segment Uruguay
-32.944 -58.051
-32.931 -58.05
-32.93 -58.049
-32.932 -58.046
-32.937 -58.046
-32.943 -58.047
-32.944 -58.051
segment Uruguay
-33.043 -58.091
-33.03 -58.094
-33.026 -58.087
-33.032 -58.083
-33.036 -58.084
-33.042 -58.088
-33.043 -58.091
segment Uruguay
-33.059 -58.109
-33.056 -58.111
-33.045 -58.108
-33.041 -58.105
-33.037 -58.099
-33.046 -58.096
-33.051 -58.097
-33.058 -58.106
-33.059 -58.109
segment Uruguay
-33.045 -58.143
-33.039 -58.14
-33.037 -58.139
-33.042 -58.138
-33.046 -58.139
-33.048 -58.143
-33.045 -58.143
segment Uruguay
-33.058 -58.137
-33.057 -58.139
-33.054 -58.14
-33.048 -58.134
-33.048 -58.13
-33.051 -58.129
-33.056 -58.131
-33.058 -58.137
segment Uruguay
-33.072 -58.135
-33.071 -58.139
-33.068 -58.14
-33.065 -58.139
-33.063 -58.132
-33.052 -58.118
-33.051 -58.115
-33.053 -58.114
-33.066 -58.122
-33.072 -58.129
-33.072 -58.135
segment Uruguay
-33.092 -58.156
-33.091 -58.16
-33.082 -58.163
-33.077 -58.162
-33.071 -58.156
-33.07 -58.152
-33.074 -58.151
-33.092 -58.156
segment Uruguay
-33.107 -58.212
-33.106 -58.214
-33.102 -58.211
-33.1 -58.212
-33.097 -58.211
-33.094 -58.204
-33.095 -58.195
-33.093 -58.181
-33.095 -58.179
-33.104 -58.184
-33.107 -58.197
-33.107 -58.212
segment Uruguay
-33.996 -58.366
-33.983 -58.381
-33.967 -58.39
-33.963 -58.388
-33.968 -58.376
-33.976 -58.369
-33.981 -58.366
-33.994 -58.364
-33.996 -58.366
segment Uruguay
-34.192 -58.249
-34.19 -58.256
-34.185 -58.26
-34.183 -58.258
-34.179 -58.257
-34.178 -58.253
-34.179 -58.245
-34.189 -58.239
-34.191 -58.242
-34.192 -58.249
segment Uruguay
-34.494 -57.549
-34.494 -57.554
-34.491 -57.561
-34.488 -57.565
-34.485 -57.565
-34.482 -57.563
-34.483 -57.558
-34.487 -57.552
-34.486 -57.54
-34.488 -57.538
-34.491 -57.539
-34.494 -57.549
segment Uruguay
-34.804 -56.392
-34.799 -56.399
-34.797 -56.398
-34.796 -56.393
-34.793 -56.388
-34.793 -56.382
-34.799 -56.375
-34.802 -56.377
-34.803 -56.383
-34.804 -56.392
segment Uruguay
-34.958 -55.925
-34.956 -55.929
-34.951 -55.931
-34.945 -55.929
-34.939 -55.924
-34.939 -55.921
-34.94 -55.919
-34.946 -55.917
-34.954 -55.919
-34.958 -55.925
segment Uruguay
-30.083 -57
-30.082 -56.994
-30.083 -56.99
-30.096 -56.98
-30.098 -56.961
-30.094 -56.925
-30.094 -56.917
-30.101 -56.912
-30.105 -56.914
-30.108 -56.913
-30.108 -56.907
-30.11 -56.902
-30.11 -56.899
-30.098 -56.893
-30.096 -56.892
-30.088 -56.878
-30.089 -56.871
-30.096 -56.867
-30.096 -56.862
-30.09 -56.853
-30.091 -56.836
-30.094 -56.83
-30.098 -56.827
-30.109 -56.816
-30.11 -56.812
-30.107 -56.807
-30.107 -56.804
-30.113 -56.802
-30.122 -56.803
-30.126 -56.799
-30.127 -56.788
-30.131 -56.781
-30.141 -56.779
-30.156 -56.782
-30.162 -56.781
-30.166 -56.776
-30.167 -56.771
-30.162 -56.759
-30.164 -56.752
-30.179 -56.724
-30.18 -56.723
-30.18 -56.716
-30.177 -56.71
-30.177 -56.706
-30.18 -56.704
-30.187 -56.706
-30.19 -56.705
-30.202 -56.701
-30.206 -56.697
-30.206 -56.692
-30.199 -56.683
