source cong
0.194  0.5      15       6.75     
8.50  -1.5
9.50  -3.5
18.5  -1.0
20.5   2.0
20.0   5.5
16.0   5.5
source cong2
0.601  0.3       15      6.25
10.0   3.0
13.0   3.5
14.5   8.5
12.5   8.5
9.50   4.5
9.00   3.5
source cong3
1.204   0.05      15     5.75
15.0   10.0
17.0   7.5
22.0   10.5
21.0   13.0
source coti
0.444   0.05      15      6.75   
-4.0    7.0
-2.0    8.0
 2.0    6.0
 2.5    4.5
source gui
 0.445   0.07     15      6.75 
-14.5  9.50 
-15.5  10.5 
-11.0  15.0 
-11.0  13.5 
-6.50  12.5 
-7.50  11.0 
-6.20  6.20 
-7.30  6.20
source nam
0.796   0.05      15      6.25       
14.00  -7.00
10.00  -8.00
13.00  -25.00
19.00  -25.60
