source 1
2.237         0.163         0.940        0.068         4.1
33.80   34.31
32.80   34.93
32.42   34.85
32.33   34.84
32.42   34.42
33.58   33.66
source 2
2.392         0.077         0.866        0.020         4.5
34.15   35.34
33.62   35.32
33.00   35.00
32.93   34.84
33.80   34.30
source 3
5.060         0.086         1.226        0.017         5.8
29.49   35.08
28.04   35.15
28.03   34.33
28.19   34.14
29.38   34.32
29.51   34.49
source 4
3.601         0.231         0.870        0.043         5.8
29.50   35.05
28.02   35.16
28.00   34.33
28.17   34.13
29.38   34.29
29.48   34.53
source 5
1.608         0.099         0.870        0.030         4.0
30.29   35.24
29.51   35.05
29.54   34.51
30.24   35.00
30.29   35.07
source 6
0.554         0.038         0.570        0.014         4.0
30.61   35.05
30.31   35.20
30.34   34.23
30.63   34.25
source 7   5
1.786         0.116         0.662        0.022         6.2
31.85   35.66
30.41   35.36
30.39   35.17
30.61   35.05
31.85   35.31
source 8
1.571         0.110         0.627        0.022         6.2
31.85   35.68
31.05   35.51
31.06   35.13
31.86   35.27
source 9
2.093         0.070         0.861        0.020         4.5
31.03   35.52
30.29   35.25
30.32   35.17
30.49   35.10
31.05   35.21
source 10
0.306         0.084         0.434        0.022         4.8
30.39   35.02
30.32   35.10
30.23   34.98
30.29   33.82
30.47   33.84
source 11
0.662         0.064         0.432        0.013         6.0
33.21   35.52
33.22   35.15
33.88   35.44
source 12
1.667         0.074         0.746        0.020         4.7
33.93   35.54
33.67   35.68
34.17   35.88
34.14   36.00
33.82   35.86
33.77   36.10
33.55   36.03
33.19   35.75
33.21   35.51
33.94   35.44
source 13
0.006        0.048         0.393        0.015         4.6
33.67   36.55
33.53   36.58
33.17   35.72
33.40   35.88
33.52   35.98
source 14
4.923         0.000         1.505        0.000         4.7
33.19   35.73
32.86   35.66
32.86   35.78
32.40   35.54
32.41   35.20
32.98   35.55
33.21   35.49
source 15
1.402         0.225         0.771        0.050         5.3
33.00   35.00
32.80   35.19
32.61   35.40
31.84   35.39
32.21   35.16
32.58   35.15
32.94   34.86
source 16
2.939         0.042         0.971        0.009         5.0
32.59   35.61
31.88   35.63
31.84   35.39
32.62   35.37
source 17
4.429         0.046         1.024        0.008         6.2
34.22   36.59
28.07   36.38
28.05   33.71
34.22   32.99
source 18
4.954         0.029         1.079        0.005         6.2
34.23   36.73
28.06   36.43
28.07   33.58
34.19   33.08
source 19
5.297         0.054         1.192        0.010         6.2
29.54   35.09
28.05   35.36
28.07   33.98
29.60   34.23
source 20
2.317         0.058         0.724        0.011         6.2
30.46   34.95
31.14   35.15
31.86   35.19
32.66   35.12
32.62   35.59
31.80   35.64
31.03   35.52
30.35   35.35
29.52   35.15
29.60   34.54
source 21
1.904         0.073         0.634        0.020         6.0
34.22   36.10
33.74   36.74
33.45   36.56
33.17   35.79
33.21   34.95
34.23   35.29
source 22
1.703         0.222         0.603        0.055         4.5
34.23   35.27
33.42   35.17
33.23   35.12
33.00   35.03
32.70   35.24
32.67   35.05
32.85   34.88
32.28   34.79
32.37   34.33
33.68   33.62
source 23
1.795         0.174         0.553        0.044         5.4
29.65   32.95
28.60   33.56
28.15   33.47
28.06   32.92
28.17   32.45
29.67   32.48
