source A1
0.00003400        0.48        5.00
35.69 -0.08 
35.64 -1.00 
35.82 -1.01 
35.91 -0.09 
source A2
0.00002400        0.51        5.80
36.10 0.24
35.87 0.73
35.26 0.22
35.48 -0.29 
36.10 0.24
source A3
0.00008600        0.64        7.30
36.81 1.49
36.52 2.09
35.88 1.50
36.21 0.89
36.81 1.49
source A4
0.00004100        0.45        6.50
37.00 3.00
36.72 3.39
35.94 2.59
36.18 2.12
37.00 3.00
source A5
0.00003800        0.59        6.50
36.52 3.25 
36.55 3.80
36.08 3.90
36.04 3.27
source A6
0.00001400        0.82        6.30
36.88 4.71
37.00 6.74
35.76 5.54
35.64 3.61
source A8
0.00000440        0.39        6.00
35.84 6.00
34.59 7.23
34.10 6.48
35.36 5.27
source A9
0.00000310        0.49        5.50
34.38 1.89
33.74 2.57
32.22 0.61
32.84 -0.05 
source A10
0.00000350        1.24        5.00
34.079 2.212
35.517 4.353
35.375 4.600
33.894 2.407
source M5
0.00000062        0.58        5.10
34.63 -6.40 
34.30 -5.90 
32.82 -6.37 
30.92 -10.00
32.74 -10.00
source M6
0.00000330        0.75        4.70
34.31 -3.00 
33.32 -3.84 
33.32 -6.18 
34.30 -5.90 
34.55 -5.08 
source M7
0.00000040        0.88        5.20
36.00 -1.00 
30.00 -1.00 
30.00 -7.30 
30.57 -7.30 
31.40 -4.47 
33.32 -3.84 
34.31 -3.00 
source M8
0.00000120        0.53        6.00
32.34 -7.30 
30.00 -7.30 
30.00 -10.00
30.92 -10.00
source M9
0.00000240        1.05        5.00
33.34 -3.84 
31.40 -4.47 
30.57 -7.30 
32.34 -7.30 
32.82 -6.37 
33.32 -6.18 
source M10
0.00000004        0.55        4.60
30.00  -3.00 
20.00 -13.50
22.00 -18.00
26.00 -16.00
30.00 -10.00
source P6.1
0.00004200        0.34        8.50
36.50 -9.90 
35.70 -9.90 
35.70 -11.30
36.50 -11.30
source S1
0.00001600        0.89        6.70
39.80 -0.35 
38.77 0.25
38.53 0.03
38.25 -1.37 
37.67 -1.33 
37.80 -1.88 
38.40 -2.32 
39.33 -1.00 
source S2
0.00011000        0.97        7.00
38.53 0.03
37.95 -0.47 
37.67 -1.33 
38.25 -1.37 
source S3
0.00005000        0.97        6.70
37.67 -1.33 
36.62 -2.03 
36.62 -3.48 
37.77 -2.73 
37.90 -2.57 
source S6
0.00018000        0.96        7.00
37.12 -3.30 
36.85 -3.60 
36.78 -3.67 
36.78 -4.30 
37.13 -4.10 
37.43 -3.67 
source S7
0.00001600        0.96        6.40
37.77 -2.73 
36.62 -3.48 
36.42 -4.85 
37.28 -4.83 
source S8
0.00002700        0.83        5.50
37.30 -4.83 
36.42 -4.85 
36.30 -5.27 
36.93 -5.95 
source S10
0.00000680        0.88        6.40
38.27 -2.92 
37.77 -2.73 
37.30 -4.83 
36.73 -6.60 
36.88 -7.38 
37.47 -7.47 
37.87 -6.00 
source S13
0.00001100        0.72        7.00
37.47 -7.47 
36.88 -7.38 
36.83 -9.50 
37.42 -9.50 
source S14
0.00001200        1.11        5.80
39.63 -7.60 
38.75 -7.43 
38.12 -6.93 
37.47 -7.47 
37.42 -9.50 
37.75 -9.50 
37.90 -9.00 
38.20 -8.90 
source S16
0.00001600        1.04        5.50
41.97 -8.25 
40.27 -8.08 
39.50 -8.75 
38.60 -9.40 
38.80 -9.70 
40.00 -9.00 
41.80 -9.00 
source S18
0.00000370        0.87        5.30
43.60 -7.00 
42.17 -7.00 
41.80 -9.00 
43.10 -9.38 
43.83 -7.80 
source S19
0.00000140        0.8        5.30
43.50 -2.43 
42.60 -2.37 
42.30 -3.28 
42.60 -7.00 
43.60 -7.00 
43.50 -4.50 
source S20
0.00000640        1.02        5.80
43.50 -1.07 
43.00 -1.00 
42.45 -0.75 
42.60 -2.37 
43.00 -2.40 
43.50 -2.43 
source S21
0.00004600        0.95        6.70
43.35 0.65
42.50 0.27
43.00 -1.00 
43.62 -1.08 
source S22
0.00002600        1.07        6.40
42.88 3.28
43.35 0.65
42.50 0.27
41.93 1.52
41.90 2.07
41.83 3.27
source S23
0.00001400        1.25        5.50
41.83 3.27
41.18 2.28
40.50 0.42
41.27 0.42
41.63 1.50
41.90 2.07
source S24
0.00000270        0.67        5.80
42.60 -2.37 
40.33 -0.15 
39.77 -1.12 
42.30 -3.28 
source S25
0.00003100        0.71        6.40
42.33 2.78
41.97 3.12
41.97 2.42
42.22 2.13
source T1
0.00003300        0.56        7.00
37.38 9.88
37.13 10.63 
36.88 10.38 
36.75 10.25 
36.75 9.63
37.00 9.50
source T2.1
0.00001600        0.57        6.00
36.88 8.63
36.75 9.63
36.38 9.13
36.38 8.00
source T 2.2
0.00000230        0.57        5.50
37.38 9.38
37.38 9.88
37.00 9.50
36.75 9.63
36.88 8.63
37.00 8.75
source T2.3
0.00000110        0.58        5.50
36.38 8.00
36.38 9.13
36.25 9.00
35.88 8.50
35.88 8.25
source T3.1
0.00001000        0.68        6.00
36.88 10.38 
36.63 10.63 
36.50 10.50 
36.25 10.38 
36.25 9.75
36.75 10.25 
source T3.2
0.00000720        0.69        5.50
35.38 9.50
35.38 9.88
34.63 9.88
34.63 9.50
source T3.3
0.00000710        0.68        6.00
35.75 9.50
35.75 9.88
35.38 9.88
35.38 9.50
source T3.4
0.00000029        0.68        5.00
36.25 10.38 
35.13 10.38 
34.63 10.00 
34.63 9.88
35.75 9.88
35.75 9.50
35.88 9.50
35.88 8.50
36.25 9.00
source T 3.5
0.00000300        0.68        6.00
36.75 9.63
36.75 10.25 
36.25 9.75
36.25 9.00
source T4.1
0.00002700        0.43        6.50
36.00 10.38 
36.13 10.75 
35.63 11.00 
35.50 10.63 
source T4.2
0.00001700        0.43        6.50
36.63 10.63 
36.63 11.00 
36.25 11.00 
36.25 10.38 
36.50 10.50 
source T4.3
0.00000023        0.44        5.50
36.63 10.63 
37.00 11.00 
37.00 11.75 
35.13 11.75 
35.13 10.38 
36.25 10.38 
36.50 10.50 
source T5.1
0.00001700        0.62        6.50
34.63 8.13
34.63 8.63
34.25 9.00
34.00 8.75
source T5.2
0.00000470        0.62        6.00
34.63 8.00
34.63 8.13
34.00 8.75
34.00 8.00
source T5.3
0.00000260        0.62        6.00
35.75 8.75
35.75 9.50
35.38 9.50
35.38 8.75
source T5.4
0.00000038        0.62        5.00
35.88 8.25
35.88 9.50
35.75 9.50
35.75 8.75
35.38 8.75
35.38 9.50
34.63 9.50
34.63 9.75
34.38 9.75
34.25 9.50
33.50 10.13 
33.50 7.50
35.00 7.50
35.00 8.25
source T5.5
0.00000180        0.63        5.50
34.63 8.63
34.63 9.50
