Grid Index,Latitude,Longitude,Depth (km),Strike
0,17.3,-61.8,46.4,140.0
1,17.4,-62.0,49.6,136.2
2,17.4,-61.9,46.6,137.4
3,17.4,-61.8,43.8,138.7
4,17.5,-62.1,49.4,133.4
5,17.5,-62.0,46.6,134.6
6,17.5,-61.9,43.9,135.8
7,17.5,-61.8,41.4,137.1
8,17.6,-62.2,48.9,130.4
9,17.6,-62.1,46.2,131.5
10,17.6,-62.0,43.7,132.6
11,17.6,-61.9,41.4,133.7
12,17.6,-61.8,39.2,134.9
13,17.7,-62.3,48.2,127.5
14,17.7,-62.2,45.6,128.6
15,17.7,-62.1,43.2,129.5
16,17.7,-62.0,41.0,130.3
17,17.7,-61.9,38.9,131.1
18,17.7,-61.8,37.0,132.2
19,17.8,-62.5,49.5,123.7
20,17.8,-62.4,47.1,125.0
21,17.8,-62.3,44.7,126.0
22,17.8,-62.2,42.5,126.7
23,17.8,-62.1,40.3,127.2
24,17.8,-62.0,38.3,127.6
25,17.8,-61.9,36.5,128.0
26,17.8,-61.8,34.8,128.8
27,17.9,-62.6,48.0,121.8
28,17.9,-62.5,45.8,122.9
29,17.9,-62.4,43.6,123.8
30,17.9,-62.3,41.5,124.4
31,17.9,-62.2,39.4,124.7
32,17.9,-62.1,37.5,124.7
33,17.9,-62.0,35.7,124.6
34,17.9,-61.9,34.1,124.6
35,17.9,-61.8,32.6,125.0
36,18.0,-62.8,48.5,119.5
37,18.0,-62.7,46.4,120.4
38,18.0,-62.6,44.3,121.3
39,18.0,-62.5,42.3,122.1
40,18.0,-62.4,40.3,122.7
41,18.0,-62.3,38.3,122.8
42,18.0,-62.2,36.5,122.6
43,18.0,-62.1,34.7,122.1
44,18.0,-62.0,33.2,121.5
45,18.0,-61.9,31.7,121.1
46,18.0,-61.8,30.4,121.2
47,18.1,-63.0,48.7,118.4
48,18.1,-62.9,46.7,118.8
49,18.1,-62.8,44.7,119.4
50,18.1,-62.7,42.8,120.1
51,18.1,-62.6,40.8,120.9
52,18.1,-62.5,38.9,121.4
53,18.1,-62.4,37.1,121.5
54,18.1,-62.3,35.2,121.3
55,18.1,-62.2,33.6,120.6
56,18.1,-62.1,32.0,119.7
57,18.1,-62.0,30.6,118.6
58,18.1,-61.9,29.3,117.8
59,18.1,-61.8,28.1,117.6
60,18.2,-63.2,48.7,117.6
61,18.2,-63.1,46.8,117.8
62,18.2,-63.0,44.9,118.1
63,18.2,-62.9,43.0,118.6
64,18.2,-62.8,41.2,119.2
65,18.2,-62.7,39.3,119.8
66,18.2,-62.6,37.5,120.4
67,18.2,-62.5,35.7,120.6
68,18.2,-62.4,33.9,120.5
69,18.2,-62.3,32.2,119.9
70,18.2,-62.2,30.7,118.8
71,18.2,-62.1,29.3,117.5
72,18.2,-62.0,28.0,116.1
73,18.2,-61.9,26.9,115.0
74,18.2,-61.8,25.8,114.6
75,18.3,-63.4,48.6,116.3
76,18.3,-63.3,46.7,116.5
77,18.3,-63.2,44.8,116.8
78,18.3,-63.1,43.0,117.1
79,18.3,-63.0,41.3,117.6
80,18.3,-62.9,39.5,118.2
81,18.3,-62.8,37.8,118.8
82,18.3,-62.7,36.0,119.4
83,18.3,-62.6,34.3,119.8
84,18.3,-62.5,32.5,119.8
85,18.3,-62.4,30.9,119.5
86,18.3,-62.3,29.3,118.6
87,18.3,-62.2,27.9,117.3
88,18.3,-62.1,26.6,115.7
89,18.3,-62.0,25.4,114.0
90,18.3,-61.9,24.4,112.8
91,18.3,-61.8,23.4,112.3
92,18.4,-63.6,48.2,114.5
93,18.4,-63.5,46.3,114.8
94,18.4,-63.4,44.6,115.1
95,18.4,-63.3,42.8,115.4
96,18.4,-63.2,41.1,115.8
97,18.4,-63.1,39.5,116.3
98,18.4,-63.0,37.8,116.9
99,18.4,-62.9,36.1,117.6
100,18.4,-62.8,34.4,118.3
101,18.4,-62.7,32.8,118.9
102,18.4,-62.6,31.1,119.2
103,18.4,-62.5,29.5,119.1
104,18.4,-62.4,27.9,118.6
105,18.4,-62.3,26.4,117.5
106,18.4,-62.2,25.1,116.1
107,18.4,-62.1,23.9,114.3
108,18.4,-62.0,22.9,112.6
109,18.4,-61.9,21.9,111.2
110,18.4,-61.8,21.1,110.6
111,18.5,-63.9,49.1,111.2
112,18.5,-63.8,47.4,112.0
113,18.5,-63.7,45.6,112.6
114,18.5,-63.6,43.9,113.1
115,18.5,-63.5,42.3,113.4
116,18.5,-63.4,40.7,113.7
117,18.5,-63.3,39.1,114.1
118,18.5,-63.2,37.5,114.6
119,18.5,-63.1,35.9,115.3
120,18.5,-63.0,34.4,116.0
121,18.5,-62.9,32.8,116.9
122,18.5,-62.8,31.2,117.6
123,18.5,-62.7,29.6,118.2
124,18.5,-62.6,28.0,118.5
125,18.5,-62.5,26.5,118.4
126,18.5,-62.4,25.0,117.8
127,18.5,-62.3,23.7,116.7
128,18.5,-62.2,22.4,115.2
129,18.5,-62.1,21.3,113.4
130,18.5,-62.0,20.4,111.6
131,18.5,-61.9,19.5,110.2
132,18.5,-61.8,18.8,109.4
133,18.6,-64.3,50.4,104.9
134,18.6,-64.2,49.0,106.3
135,18.6,-64.1,47.5,107.5
136,18.6,-64.0,46.0,108.7
137,18.6,-63.9,44.5,109.7
138,18.6,-63.8,42.9,110.5
139,18.6,-63.7,41.4,111.1
140,18.6,-63.6,39.8,111.6
141,18.6,-63.5,38.3,112.0
142,18.6,-63.4,36.8,112.4
143,18.6,-63.3,35.4,112.8
144,18.6,-63.2,33.9,113.4
145,18.6,-63.1,32.5,114.2
146,18.6,-63.0,31.0,115.1
147,18.6,-62.9,29.5,116.0
148,18.6,-62.8,28.0,116.9
149,18.6,-62.7,26.5,117.5
150,18.6,-62.6,25.0,117.8
151,18.6,-62.5,23.6,117.8
152,18.6,-62.4,22.3,117.2
153,18.6,-62.3,21.0,116.2
154,18.6,-62.2,19.9,114.7
155,18.6,-62.1,18.9,112.9
156,18.6,-62.0,18.1,111.1
157,18.6,-61.9,17.3,109.6
158,18.6,-61.8,16.6,108.8
159,18.7,-64.7,49.1,98.3
160,18.7,-64.6,48.2,99.4
161,18.7,-64.5,47.3,100.7
162,18.7,-64.4,46.2,102.0
163,18.7,-64.3,45.1,103.4
164,18.7,-64.2,43.9,104.8
165,18.7,-64.1,42.7,106.0
166,18.7,-64.0,41.4,107.2
167,18.7,-63.9,40.0,108.2
168,18.7,-63.8,38.6,109.1
169,18.7,-63.7,37.2,109.7
170,18.7,-63.6,35.8,110.2
171,18.7,-63.5,34.5,110.6
172,18.7,-63.4,33.1,111.1
173,18.7,-63.3,31.8,111.6
174,18.7,-63.2,30.4,112.3
175,18.7,-63.1,29.1,113.1
176,18.7,-63.0,27.7,114.1
177,18.7,-62.9,26.3,115.1
178,18.7,-62.8,24.9,116.0
179,18.7,-62.7,23.6,116.7
180,18.7,-62.6,22.2,117.2
181,18.7,-62.5,20.9,117.2
182,18.7,-62.4,19.7,116.7
183,18.7,-62.3,18.6,115.8
184,18.7,-62.2,17.6,114.4
185,18.7,-62.1,16.7,112.7
186,18.7,-62.0,15.9,110.9
187,18.7,-61.9,15.3,109.4
188,18.7,-61.8,14.6,108.5
189,18.8,-66.0,49.4,92.5
190,18.8,-65.9,49.1,93.0
191,18.8,-65.8,48.7,93.5
192,18.8,-65.7,48.3,93.9
193,18.8,-65.6,47.9,94.2
194,18.8,-65.5,47.4,94.3
195,18.8,-65.4,47.0,94.4
196,18.8,-65.3,46.5,94.5
197,18.8,-65.2,46.0,94.7
198,18.8,-65.1,45.6,94.8
199,18.8,-65.0,45.1,95.1
200,18.8,-64.9,44.5,95.6
201,18.8,-64.8,44.0,96.2
202,18.8,-64.7,43.4,97.1
203,18.8,-64.6,42.7,98.1
204,18.8,-64.5,41.9,99.3
205,18.8,-64.4,41.1,100.7
206,18.8,-64.3,40.1,102.0
207,18.8,-64.2,39.1,103.4
208,18.8,-64.1,38.0,104.7
209,18.8,-64.0,36.9,105.8
210,18.8,-63.9,35.7,106.9
211,18.8,-63.8,34.4,107.7
212,18.8,-63.7,33.2,108.4
213,18.8,-63.6,31.9,108.9
214,18.8,-63.5,30.7,109.4
215,18.8,-63.4,29.4,109.9
216,18.8,-63.3,28.2,110.5
217,18.8,-63.2,27.0,111.2
218,18.8,-63.1,25.8,112.1
219,18.8,-63.0,24.5,113.1
220,18.8,-62.9,23.3,114.2
221,18.8,-62.8,22.0,115.2
222,18.8,-62.7,20.8,116.0
223,18.8,-62.6,19.6,116.5
224,18.8,-62.5,18.5,116.7
225,18.8,-62.4,17.4,116.4
226,18.8,-62.3,16.4,115.6
227,18.8,-62.2,15.5,114.3
228,18.8,-62.1,14.7,112.8
229,18.8,-62.0,14.1,111.1
230,18.8,-61.9,13.4,109.6
231,18.8,-61.8,12.9,108.5
232,18.9,-67.3,45.0,93.5
233,18.9,-67.2,44.5,93.1
234,18.9,-67.1,44.2,92.6
235,18.9,-67.0,44.0,92.1
236,18.9,-66.9,43.8,91.5
237,18.9,-66.8,43.6,91.1
238,18.9,-66.7,43.5,90.7
239,18.9,-66.6,43.5,90.4
240,18.9,-66.5,43.4,90.3
241,18.9,-66.4,43.4,90.4
242,18.9,-66.3,43.3,90.7
243,18.9,-66.2,43.2,91.1
244,18.9,-66.1,43.1,91.7
245,18.9,-66.0,42.9,92.2
246,18.9,-65.9,42.6,92.7
247,18.9,-65.8,42.3,93.1
248,18.9,-65.7,42.0,93.5
249,18.9,-65.6,41.6,93.7
250,18.9,-65.5,41.3,93.8
251,18.9,-65.4,40.9,93.9
252,18.9,-65.3,40.5,93.9
253,18.9,-65.2,40.2,94.0
254,18.9,-65.1,39.8,94.1
255,18.9,-65.0,39.4,94.3
256,18.9,-64.9,39.0,94.7
257,18.9,-64.8,38.6,95.3
258,18.9,-64.7,38.1,96.1
259,18.9,-64.6,37.5,97.1
260,18.9,-64.5,36.9,98.3
261,18.9,-64.4,36.2,99.6
262,18.9,-64.3,35.4,100.9
263,18.9,-64.2,34.5,102.2
264,18.9,-64.1,33.6,103.5
265,18.9,-64.0,32.6,104.6
266,18.9,-63.9,31.5,105.6
267,18.9,-63.8,30.4,106.5
268,18.9,-63.7,29.3,107.2
269,18.9,-63.6,28.2,107.8
270,18.9,-63.5,27.0,108.3
271,18.9,-63.4,25.9,108.8
272,18.9,-63.3,24.8,109.4
273,18.9,-63.2,23.8,110.1
274,18.9,-63.1,22.7,111.1
275,18.9,-63.0,21.6,112.1
276,18.9,-62.9,20.5,113.3
277,18.9,-62.8,19.4,114.3
278,18.9,-62.7,18.3,115.2
279,18.9,-62.6,17.3,115.9
280,18.9,-62.5,16.3,116.2
281,18.9,-62.4,15.3,116.1
282,18.9,-62.3,14.5,115.5
283,18.9,-62.2,13.7,114.5
284,18.9,-62.1,13.0,113.1
285,18.9,-62.0,12.4,111.5
286,18.9,-61.9,11.9,110.0
287,18.9,-61.8,11.4,108.8
288,19.0,-67.7,38.7,92.0
289,19.0,-67.6,38.5,92.1
290,19.0,-67.5,38.2,92.0
291,19.0,-67.4,38.0,91.8
292,19.0,-67.3,37.8,91.5
293,19.0,-67.2,37.7,91.3
294,19.0,-67.1,37.5,91.0
295,19.0,-67.0,37.5,90.7
296,19.0,-66.9,37.4,90.5
297,19.0,-66.8,37.4,90.3
298,19.0,-66.7,37.3,90.1
299,19.0,-66.6,37.3,90.0
300,19.0,-66.5,37.3,90.1
301,19.0,-66.4,37.3,90.3
302,19.0,-66.3,37.3,90.6
303,19.0,-66.2,37.2,91.0
304,19.0,-66.1,37.1,91.5
305,19.0,-66.0,36.9,92.0
306,19.0,-65.9,36.7,92.4
307,19.0,-65.8,36.5,92.8
308,19.0,-65.7,36.2,93.1
309,19.0,-65.6,35.9,93.2
310,19.0,-65.5,35.6,93.3
311,19.0,-65.4,35.3,93.3
312,19.0,-65.3,35.1,93.3
313,19.0,-65.2,34.8,93.3
314,19.0,-65.1,34.5,93.4
315,19.0,-65.0,34.2,93.6
316,19.0,-64.9,33.9,93.9
317,19.0,-64.8,33.6,94.5
318,19.0,-64.7,33.2,95.3
319,19.0,-64.6,32.7,96.3
320,19.0,-64.5,32.2,97.5
321,19.0,-64.4,31.6,98.7
322,19.0,-64.3,30.9,100.0
323,19.0,-64.2,30.2,101.3
324,19.0,-64.1,29.3,102.5
325,19.0,-64.0,28.4,103.6
326,19.0,-63.9,27.5,104.6
327,19.0,-63.8,26.5,105.4
328,19.0,-63.7,25.6,106.1
329,19.0,-63.6,24.6,106.7
330,19.0,-63.5,23.6,107.2
331,19.0,-63.4,22.6,107.7
332,19.0,-63.3,21.7,108.4
333,19.0,-63.2,20.7,109.1
334,19.0,-63.1,19.8,110.1
335,19.0,-63.0,18.9,111.2
336,19.0,-62.9,17.9,112.3
337,19.0,-62.8,17.0,113.5
338,19.0,-62.7,16.1,114.5
339,19.0,-62.6,15.2,115.3
340,19.0,-62.5,14.3,115.7
341,19.0,-62.4,13.5,115.8
342,19.0,-62.3,12.8,115.5
343,19.0,-62.2,12.1,114.7
344,19.0,-62.1,11.6,113.5
345,19.0,-62.0,11.0,112.1
346,19.0,-61.9,10.6,110.6
347,19.0,-61.8,10.2,109.4
348,19.1,-68.4,30.6,87.7
349,19.1,-68.3,30.9,87.8
350,19.1,-68.2,31.2,88.1
351,19.1,-68.1,31.4,88.5
352,19.1,-68.0,31.5,89.1
353,19.1,-67.9,31.6,89.6
354,19.1,-67.8,31.6,89.9
