Grid Index,Latitude,Longitude,Depth (km),Strike
0,17.2,-68.3,9.2,268.9
1,17.2,-68.2,9.0,263.0
2,17.2,-68.1,8.3,256.7
3,17.2,-68.0,7.3,251.1
4,17.2,-67.9,5.9,247.3
5,17.3,-69.4,10.1,283.9
6,17.3,-69.3,8.4,286.3
7,17.3,-69.2,8.4,285.0
8,17.3,-69.1,9.3,282.5
9,17.3,-69.0,10.0,279.8
10,17.3,-68.9,10.6,278.3
11,17.3,-68.8,11.3,277.8
12,17.3,-68.7,11.9,278.0
13,17.3,-68.6,8.4,278.5
14,17.3,-68.5,8.8,276.9
15,17.3,-68.4,9.1,273.6
16,17.3,-68.3,9.2,268.9
17,17.3,-68.2,9.0,263.0
18,17.3,-68.1,8.3,256.7
19,17.3,-68.0,7.3,251.1
20,17.3,-67.9,5.9,247.3
21,17.3,-67.8,4.3,245.7
22,17.3,-67.7,2.6,245.6
23,17.3,-67.6,0.7,246.4
24,17.3,-67.5,0.7,248.6
25,17.3,-67.4,2.7,255.9
26,17.3,-67.3,1.5,260.6
27,17.3,-66.3,5.3,278.4
28,17.3,-66.2,5.7,278.7
29,17.3,-66.1,6.1,275.5
30,17.3,-66.0,6.2,269.4
31,17.3,-65.9,6.0,262.8
32,17.4,-69.9,7.9,289.0
33,17.4,-69.8,7.9,284.9
34,17.4,-69.7,8.4,280.9
35,17.4,-69.6,8.9,278.7
36,17.4,-69.5,9.4,280.3
37,17.4,-69.4,10.1,283.9
38,17.4,-69.3,11.2,286.3
39,17.4,-69.2,8.4,285.0
40,17.4,-69.1,9.3,282.5
41,17.4,-69.0,10.0,279.8
42,17.4,-68.9,10.6,278.3
43,17.4,-68.8,11.3,277.8
44,17.4,-68.7,11.9,278.0
45,17.4,-68.6,12.6,277.9
46,17.4,-68.5,13.3,276.7
47,17.4,-68.4,13.7,273.8
48,17.4,-68.3,13.9,269.2
49,17.4,-68.2,13.6,263.4
50,17.4,-68.1,12.7,257.7
51,17.4,-68.0,11.5,253.8
52,17.4,-67.9,10.1,252.6
53,17.4,-67.8,8.7,253.2
54,17.4,-67.7,7.3,253.8
55,17.4,-67.6,5.8,253.7
56,17.4,-67.5,4.2,253.9
57,17.4,-67.4,2.7,255.9
58,17.4,-67.3,1.5,260.6
59,17.4,-67.2,0.9,267.5
60,17.4,-67.1,1.0,274.7
61,17.4,-67.0,1.6,280.0
62,17.4,-66.9,2.5,282.3
63,17.4,-66.8,3.3,281.7
64,17.4,-66.7,3.9,279.1
65,17.4,-66.6,4.3,276.3
