lon,lat,depth,strike,dip
-62.30,15.00,178.9,150.7,47.3
-62.25,15.00,179.6,152.2,46.8
-62.20,15.00,177.2,153.1,46.4
-62.15,15.00,174.8,154.3,45.9
-62.10,15.00,174.5,157.4,45.4
-62.05,15.00,175.1,163.4,45.0
-62.00,15.00,171.4,166.1,44.8
-61.95,15.00,166.2,166.6,44.5
-61.90,15.00,161.1,167.2,44.2
-61.85,15.00,156.0,167.7,44.0
-61.80,15.00,151.0,168.2,43.7
-61.75,15.00,146.0,168.7,43.5
-61.70,15.00,141.0,169.2,43.3
-62.35,15.05,177.9,149.6,47.8
-62.30,15.05,178.9,150.7,47.3
-62.25,15.05,179.6,152.2,46.8
-62.20,15.05,177.2,153.1,46.4
-62.15,15.05,174.8,154.3,45.9
-62.10,15.05,174.5,157.4,45.4
-62.05,15.05,175.1,163.4,45.0
-62.00,15.05,169.9,163.9,44.7
-61.95,15.05,164.9,164.5,44.4
-61.90,15.05,159.8,165.0,44.2
-61.85,15.05,154.8,165.5,43.9
-61.80,15.05,149.8,166.0,43.7
-61.75,15.05,144.8,166.5,43.5
-61.70,15.05,139.9,167.0,43.3
-62.35,15.10,177.9,149.6,47.8
-62.30,15.10,178.9,150.7,47.3
-62.25,15.10,179.6,152.2,46.8
-62.20,15.10,177.2,153.1,46.4
-62.15,15.10,174.8,154.3,45.9
-62.10,15.10,174.5,157.4,45.4
-62.05,15.10,173.4,161.4,45.0
-62.00,15.10,168.3,161.8,44.7
-61.95,15.10,163.3,162.3,44.4
-61.90,15.10,158.3,162.8,44.1
-61.85,15.10,153.3,163.3,43.9
-61.80,15.10,148.4,163.9,43.6
-61.75,15.10,143.5,164.4,43.4
-61.70,15.10,138.6,164.9,43.3
-62.40,15.15,179.9,148.9,48.1
-62.35,15.15,177.9,149.6,47.8
-62.30,15.15,178.9,150.7,47.3
-62.25,15.15,179.6,152.2,46.8
-62.20,15.15,177.2,153.1,46.4
-62.15,15.15,174.8,154.3,45.9
-62.10,15.15,174.5,157.4,45.4
-62.05,15.15,171.5,159.5,45.0
-62.00,15.15,166.5,159.9,44.7
-61.95,15.15,161.6,160.3,44.4
-61.90,15.15,156.6,160.7,44.1
-61.85,15.15,151.7,161.2,43.9
-61.80,15.15,146.8,161.7,43.6
-61.75,15.15,142.0,162.2,43.5
-61.70,15.15,137.2,162.7,43.3
-62.40,15.20,179.9,148.9,48.1
-62.35,15.20,177.9,149.6,47.8
-62.30,15.20,178.9,150.7,47.3
-62.25,15.20,179.6,152.2,46.8
-62.20,15.20,177.2,153.1,46.4
-62.15,15.20,174.8,154.3,45.9
-62.10,15.20,174.5,157.4,45.4
-62.05,15.20,169.5,157.6,45.1
-62.00,15.20,164.5,158.0,44.8
