lon,lat,depth,strike,dip
-70.94,15.00,9.3,239.4,11.4
-70.92,15.00,9.3,239.4,11.4
-70.90,15.00,9.3,239.4,11.4
-70.88,15.00,9.3,239.4,11.4
-70.86,15.00,9.3,239.4,11.4
-70.84,15.00,9.3,239.4,11.4
-70.82,15.00,9.3,239.4,11.4
-70.80,15.00,9.3,239.4,11.4
-70.78,15.00,9.3,239.4,11.4
-70.76,15.00,9.3,239.4,11.4
-70.74,15.00,9.3,239.4,11.4
-70.72,15.00,9.3,239.4,11.4
-70.70,15.00,9.3,239.4,11.4
-70.68,15.00,9.3,239.4,11.4
-70.66,15.00,9.3,239.4,11.4
-70.64,15.00,9.3,239.4,11.4
-70.62,15.00,9.3,239.4,11.4
-70.60,15.00,9.3,239.4,11.4
-70.58,15.00,9.3,239.4,11.4
-70.56,15.00,9.3,239.4,11.4
-70.54,15.00,9.3,239.4,11.4
-70.52,15.00,9.3,239.4,11.4
-70.50,15.00,9.3,239.4,11.4
-70.48,15.00,9.3,239.4,11.4
-70.46,15.00,9.3,239.4,11.4
-70.44,15.00,9.3,239.4,11.4
-70.42,15.00,9.3,239.4,11.4
-70.40,15.00,9.3,239.4,11.4
-70.38,15.00,9.3,239.4,11.4
-70.36,15.00,9.3,239.4,11.4
-70.34,15.00,9.3,239.4,11.4
-70.32,15.00,9.3,239.4,11.4
-70.30,15.00,9.3,239.4,11.4
-70.28,15.00,9.3,239.4,11.4
-70.26,15.00,9.3,239.4,11.4
-70.24,15.00,9.3,239.4,11.4
-70.22,15.00,9.3,239.4,11.4
-70.20,15.00,9.3,239.4,11.4
-70.18,15.00,9.3,239.4,11.4
-70.16,15.00,9.3,239.4,11.4
-70.14,15.00,9.1,242.7,11.0
-70.12,15.00,8.5,246.1,10.3
-70.10,15.00,8.4,250.3,10.0
-70.08,15.00,8.3,255.0,9.8
-70.06,15.00,8.2,259.9,9.6
-70.04,15.00,8.2,264.8,9.6
-70.02,15.00,7.8,268.6,9.2
-70.00,15.00,7.8,272.9,9.4
-69.98,15.00,7.8,276.8,9.7
-69.96,15.00,7.9,280.0,10.0
-69.94,15.00,7.9,282.6,10.4
-69.92,15.00,7.6,283.7,10.1
-69.90,15.00,7.7,285.1,10.5
-69.88,15.00,7.8,286.0,10.9
-69.86,15.00,7.9,286.5,11.3
-69.84,15.00,8.1,286.6,11.8
-69.82,15.00,7.8,285.4,11.3
-69.80,15.00,7.9,284.9,11.7
-69.78,15.00,8.0,284.2,12.1
-69.76,15.00,8.1,283.4,12.4
-69.74,15.00,8.2,282.6,12.8
-69.72,15.00,7.8,280.8,12.2
-69.70,15.00,7.9,280.0,12.5
-69.68,15.00,8.0,279.3,12.8
-69.66,15.00,8.1,278.7,13.2
-69.64,15.00,8.1,278.3,13.5
-69.62,15.00,7.7,277.3,12.7
-69.60,15.00,7.7,277.2,13.0
-69.58,15.00,7.8,277.3,13.3
-69.56,15.00,7.9,277.6,13.6
-69.54,15.00,7.9,278.1,13.9
-69.52,15.00,7.5,278.2,12.9
-69.50,15.00,7.6,278.9,13.2
-69.48,15.00,7.6,279.8,13.5
-69.46,15.00,7.7,280.7,13.9
-69.44,15.00,7.8,281.6,14.3
-69.42,15.00,7.9,282.5,14.7
-69.40,15.00,7.5,283.1,13.6
-69.38,15.00,7.6,283.9,14.1
-69.36,15.00,7.8,284.5,14.5
