EARTHQUAKE RATE UNCERTAINTY BRANCHES 
RData file,rate-unc-GNMI-All-beta-proface-1973.RData
Calculation start and end,Fri Jul 10 10:40:24 2026,Fri Jul 10 10:49:12 2026
Region name,GNMI-All
Version,beta-proface-1973
Catalog type,Prob
b mean,1.3
b sigma,0.101
max n sigma b,3
delta,0.1
M1,5
Mmax,8
Mc sigma,0.2
max n sigma Mc,3
Mc distribution is one-sided (only larger than Mc) 
default M sigma,0.2
max n sigma M,3
nsamples,1e+05
Magnitude corrections are recomputed 
catalog, from ../catalogs/izu_gnmi_betav2_separated_reclassified_v2.csv
n epochs,3
t start,t end,Mc
1973,1994.5,5
1994.5,2010,5.3
2010,2026,5.4
type of rate model,average
epoch weights,0.4056604,0.2924528,0.3018868
BRANCHES
Note: all rates are cumulative
Note: calculations assume a Poisson process
Note: quantile=2 is used to label a mean branch
M1 Branches
n quantiles,6
quantile,Rate M>=M1,b
2,36.5,1.29
0.025,29.8,1.47
0.16,32.9,1.39
0.5,36.4,1.3
0.84,40.1,1.2
0.975,43.9,1.1
M1-Mmax Branches
n quantiles,6
quantile,Rate M>=M1,b
2,36.5,1.27
0.025,29.8,1.42
0.16,32.9,1.37
0.5,36.4,1.3
0.84,40.1,1.22
0.975,43.9,1.15
Exact Branches
n quantiles,6
n magnitudes,73
Mag,quantiles...
,2,0.025,0.16,0.5,0.84,0.975
2.5,75612,17597,32914,63507,120670,199310
2.6,55431,13640,24978,47099,87545,142130
2.7,40652,10571,18948,34940,63526,101380
2.8,29825,8201.2,14377,25921,46081,72318
2.9,21891,6360.5,10912,19226,33439,51601
3,16074,4932.2,8280.2,14261,24263,36783
3.1,11807,3825.8,6282.1,10577,17611,26229
3.2,8676.6,2967.4,4768.5,7846.9,12777,18709
3.3,6378.8,2301.4,3617,5821.6,9271.4,13346
3.4,4691.5,1784.8,2744.5,4319.5,6728.6,9518.9
3.5,3451.9,1383.8,2082.4,3205,4883.8,6790.8
3.6,2541,1072.9,1579.8,2377.6,3544.4,4845.3
3.7,1871.2,831.6,1198.6,1764.2,2572.2,3457.2
3.8,1378.6,644.41,909.51,1309.1,1866.8,2466.3
3.9,1016.1,499.85,690.1,971.07,1354.6,1759.5
4,749.25,387.4,523.66,720.35,982.88,1256.4
4.1,552.72,300.28,397.39,534.32,713.45,896.49
4.2,407.93,232.71,301.59,396.47,517.96,640.14
4.3,301.2,180.28,228.84,294.1,375.9,456.96
4.4,222.49,139.61,173.6,218.13,272.88,326.47
4.5,164.43,108.06,131.72,161.82,198.09,233.12
4.6,121.57,83.64,99.905,120.06,143.82,166.73
4.7,89.925,64.714,75.761,89.061,104.44,119.28
4.8,66.548,50.035,57.423,66.073,75.842,85.392
4.9,49.271,38.639,43.504,49.016,55.093,61.175
