EARTHQUAKE RATE UNCERTAINTY BRANCHES 
RData file,rate-unc-AmSam-Interface-v2-1916.RData
Calculation start and end,Fri Feb 27 15:34:59 2026,Fri Feb 27 15:58:33 2026
Region name,AmSam-Interface
Version,v2-1916
Catalog type,Prob
b mean,1.02
b sigma,0.02
max n sigma b,3
delta,0.1
M1,5
Mmax,7
Mc sigma,0.2
max n sigma Mc,3
Mc distribution is one-sided (only larger than Mc) 
default M sigma,0.2
max n sigma M,3
nsamples,1e+05
Magnitude corrections are recomputed 
catalog,amsam-nshm-interface-probT.RData from amsam_nshm_separated-DefaultBuffer.csv with outputprob= TRUE class= interface
n epochs,4
t start,t end,Mc
1916,1964,6.2
1964,1973,6
1973,2010,5.2
2010,2025,4.6
type of rate model,average
epoch weights,0.440367,0.08256881,0.3394495,0.1376147
BRANCHES
Note: all rates are cumulative
Note: calculations assume a Poisson process
Note: quantile=2 is used to label a mean branch
M1 Branches
n quantiles,6
quantile,Rate M>=M1,b
2,11.1,1.02
0.025,8.31,1.06
0.16,9.56,1.04
0.5,11,1.02
0.84,12.7,1
0.975,14.7,0.981
M1-Mmax Branches
n quantiles,6
quantile,Rate M>=M1,b
2,11.1,1.02
0.025,8.31,1.02
0.16,9.56,1.02
0.5,11,1.02
0.84,12.7,1.02
0.975,14.7,1.02
Exact Branches
n quantiles,6
n magnitudes,73
Mag,quantiles...
,2,0.025,0.16,0.5,0.84,0.975
2.5,3994.8,2640.4,3194.3,3904.7,4786.5,5871.4
2.6,3156.4,2101.2,2534.1,3087.1,3772.5,4614.5
2.7,2494,1671.6,2010,2441.5,2972.9,3625.4
2.8,1970.7,1329.8,1594.2,1930.3,2342.4,2849.4
2.9,1557.2,1057.6,1264.3,1526.5,1847,2239
3,1230.5,841.23,1002.6,1206.9,1456,1759.8
3.1,972.36,668.97,795.24,954.23,1147.8,1382.5
3.2,768.39,531.7,630.69,754.47,904.62,1086.4
3.3,607.22,422.79,500.08,596.63,713.1,854.06
3.4,479.86,336.12,396.57,471.7,562.18,671.43
3.5,379.22,267.16,314.49,372.96,443.36,527.92
3.6,299.7,212.2,249.33,294.89,349.66,415.35
3.7,236.86,168.54,197.64,233.1,275.76,326.66
3.8,187.19,133.86,156.68,184.32,217.48,256.97
3.9,147.95,106.3,124.17,145.73,171.52,202.25
4,116.93,84.335,98.425,115.25,135.31,159.16
4.1,92.42,66.941,77.997,91.123,106.76,125.28
4.2,73.048,53.134,61.802,72.064,84.226,98.613
4.3,57.738,42.142,48.956,56.985,66.458,77.657
4.4,45.637,33.443,38.777,45.055,52.438,61.165
4.5,36.074,26.534,30.714,35.624,41.393,48.177
4.6,28.515,21.042,24.324,28.167,32.678,37.946
4.7,22.54,16.685,19.258,22.27,25.806,29.906
4.8,17.818,13.228,15.248,17.61,20.38,23.559
4.9,14.085,10.484,12.072,13.925,16.095,18.582
5,11.135,8.3064,9.5556,11.009,12.71,14.657
5.1,8.8023,6.5782,7.5623,8.7056,10.041,11.564
5.2,6.9587,5.2086,5.9859,6.8842,7.9313,9.1251
5.3,5.5014,4.1229,4.7367,5.4439,6.2676,7.2002
5.4,4.3493,3.2627,3.7475,4.306,4.9523,5.6837
5.5,3.4386,2.5807,2.9645,3.4053,3.9128,4.4873
5.6,2.7186,2.0415,2.3444,2.6932,3.0927,3.5438
5.7,2.1494,1.6144,1.8536,2.1297,2.445,2.7994
5.8,1.6995,1.2761,1.4656,1.6839,1.9328,2.2125
5.9,1.3437,1.0082,1.1585,1.3314,1.5285,1.7489
6,1.0624,0.79662,0.91577,1.0527,1.2087,1.3839
6.1,0.84008,0.62905,0.72384,0.83232,0.9561,1.0947
6.2,0.66426,0.4968,0.57196,0.65823,0.75637,0.86621
6.3,0.52526,0.39222,0.4519,0.52053,0.59838,0.68516
6.4,0.41535,0.30968,0.357,0.41161,0.47353,0.5422
6.5,0.32844,0.24428,0.28193,0.32548,0.37481,0.42945
6.6,0.25973,0.19272,0.22261,0.2574,0.29659,0.34032
6.7,0.20539,0.15196,0.17576,0.20354,0.23483,0.26974
6.8,0.16243,0.11977,0.13876,0.16096,0.18591,0.21381
6.9,0.12845,0.094338,0.10953,0.12726,0.14721,0.16948
7,0.10159,0.074348,0.086461,0.10063,0.11659,0.13445
7.1,0.080341,0.058561,0.068229,0.079561,0.092336,0.10659
7.2,0.06354,0.046122,0.053852,0.062908,0.073139,0.084556
7.3,0.050253,0.03632,0.042494,0.049745,0.057945,0.067131
7.4,0.039746,0.028611,0.033527,0.039327,0.045905,0.053274
7.5,0.031436,0.022533,0.026454,0.031095,0.036379,0.04229
7.6,0.024864,0.017728,0.020867,0.024588,0.028833,0.033596
7.7,0.019667,0.013945,0.01646,0.019443,0.022854,0.026672
7.8,0.015556,0.010975,0.012982,0.015375,0.018116,0.021184
7.9,0.012305,0.0086354,0.010238,0.012159,0.014359,0.016833
8,0.0097331,0.0067925,0.0080727,0.0096122,0.011385,0.013376
