Magnitude,Count,"Cumulative Count",Rate,"Cumulative Rate"
2.7,1,6852,1.596,7510.61
2.8,46,6851,55.522,7509.014
2.9,926,6805,1010.402,7453.492
3,903,5879,980.31,6443.09
3.1,735,4976,802.011,5462.78
3.2,581,4241,635.507,4660.769
3.3,515,3660,563.864,4025.262
3.4,499,3145,546.916,3461.398
3.5,393,2646,433.83,2914.482
3.6,337,2253,371.722,2480.652
3.7,326,1916,362.054,2108.93
3.8,280,1590,313.462,1746.876
3.9,208,1310,234.004,1433.414
4,212,1102,233.264,1199.41
4.1,149,890,168.335,966.146
4.2,125,741,140.546,797.811
4.3,143,616,153.989,657.265
4.4,60,473,67.113,503.276
4.5,75,413,81.933,436.163
4.6,42,338,45.903,354.23
4.7,35,296,38.81,308.327
4.8,38,261,40.553,269.517
4.9,22,223,23.917,228.964
5,94,201,94.9,205.047
5.1,12,107,12.543,110.147
5.2,13,95,13.477,97.604
5.3,9,82,9.708,84.127
5.4,2,73,2.021,74.419
5.5,19,71,19.228,72.398
5.6,11,52,11.663,53.17
5.7,5,41,5.042,41.507
5.8,5,36,5.129,36.465
5.9,3,31,3.042,31.336
6,9,28,9.042,28.294
6.1,3,19,3.021,19.252
6.2,3,16,3.042,16.231
6.3,1,13,1.021,13.189
6.4,0,12,0,12.168
6.5,4,12,4.042,12.168
6.6,3,8,3.021,8.126
6.7,0,5,0,5.105
6.8,1,5,1.021,5.105
6.9,2,4,2.042,4.084
7,0,2,0,2.042
7.1,0,2,0,2.042
7.2,1,2,1.021,2.042
7.3,1,1,1.021,1.021
