lon,lat,az,bound,slab,depth
174.5933,-42.1546,261.6829,PA/AU,ker,2.648
174.7305,-42.1404,261.6829,PA/AU,ker,2.712
174.8678,-42.1262,261.6829,PA/AU,ker,2.836
175.005,-42.112,261.6829,PA/AU,ker,3.122
175.1422,-42.0977,261.6829,PA/AU,ker,3.294
175.2794,-42.0834,261.6829,PA/AU,ker,3.11
175.4166,-42.0692,261.6829,PA/AU,ker,3.064
175.5538,-42.055,261.6829,PA/AU,ker,3.079
175.69099999999997,-42.0408,261.6829,PA/AU,ker,3.072
175.8137,-42.0052,260.0204,PA/AU,ker,3.149
175.9365,-41.9696,258.3578,PA/AU,ker,3.149
176.0592,-41.934,256.6953,PA/AU,ker,3.191
176.18200000000004,-41.8984,255.0328,PA/AU,ker,3.238
176.3048,-41.8628,253.3702,PA/AU,ker,3.242
176.4275,-41.8272,251.7077,PA/AU,ker,3.262
176.5503,-41.7916,250.0451,PA/AU,ker,3.291
176.673,-41.756,248.3826,PA/AU,ker,3.321
176.898,-41.7065,250.9068,PA/AU,ker,3.363
177.123,-41.657,253.431,PA/AU,ker,3.382
177.24400000000003,-41.6178,251.6722,PA/AU,ker,3.386
177.365,-41.5785,249.9134,PA/AU,ker,3.392
177.486,-41.5392,248.1546,PA/AU,ker,3.399
177.607,-41.5,246.3958,PA/AU,ker,3.362
177.709,-41.422,240.8815,PA/AU,ker,3.432
177.81099999999995,-41.344,235.3671,PA/AU,ker,3.457
177.91299999999995,-41.26600000000001,229.8528,PA/AU,ker,3.459
178.015,-41.188,224.3384,PA/AU,ker,3.514
178.0822,-41.0928,220.2447,PA/AU,ker,3.484
178.1495,-40.9975,216.151,PA/AU,ker,3.437
178.2167,-40.9023,212.0573,PA/AU,ker,3.39
178.28400000000005,-40.807,207.9635,PA/AU,ker,3.604
178.3545,-40.7112,208.25,PA/AU,ker,3.568
178.425,-40.6155,208.5366,PA/AU,ker,3.535
178.4955,-40.5198,208.8231,PA/AU,ker,3.587
178.56599999999997,-40.424,209.1097,PA/AU,ker,3.653
178.6225,-40.3397,208.5902,PA/AU,ker,3.824
178.679,-40.2555,208.0708,PA/AU,ker,3.845
178.7355,-40.1713,207.5514,PA/AU,ker,3.837
178.792,-40.087,207.0319,PA/AU,ker,3.852
178.8315,-39.9865,204.4566,PA/AU,ker,3.862
178.87099999999995,-39.886,201.8813,PA/AU,ker,3.906
178.9105,-39.7855,199.306,PA/AU,ker,3.906
178.95,-39.685,196.7308,PA/AU,ker,3.94
178.9937,-39.5713,196.6691,PA/AU,ker,3.953
179.0375,-39.4575,196.6074,PA/AU,ker,4.068
179.0813,-39.3438,196.5457,PA/AU,ker,4.051
179.125,-39.23,196.484,PA/AU,ker,4.134
179.17,-39.0595,194.0185,PA/AU,ker,4.028
179.215,-38.889,191.553,PA/AU,ker,3.942
179.2527,-38.8013,193.2919,PA/AU,ker,4.146
179.2905,-38.7135,195.0308,PA/AU,ker,4.124
179.3283,-38.6257,196.7697,PA/AU,ker,4.112
179.366,-38.538,198.5086,PA/AU,ker,4.124
179.4168,-38.4545,200.2353,PA/AU,ker,4.124
179.4675,-38.371,201.9621,PA/AU,ker,3.727
179.5182,-38.2875,203.6889,PA/AU,ker,3.727
179.56900000000005,-38.204,205.4156,PA/AU,ker,3.784
179.6228,-38.1041,205.1059,PA/AU,ker,3.808
179.6767,-38.0041,204.7962,PA/AU,ker,4.014
179.7306,-37.9042,204.4865,PA/AU,ker,4.114
179.7845,-37.8042,204.1768,PA/AU,ker,4.177
179.8383,-37.7043,203.8671,PA/AU,ker,4.392
179.8922,-37.6043,203.5573,PA/AU,ker,4.638
179.9461,-37.5044,203.2476,PA/AU,ker,4.844
180,-37.4045,202.9379,PA/AU,ker,4.948
180.0602,-37.319,204.5046,PA/AU,ker,5.083
180.1205,-37.2334,206.0713,PA/AU,ker,5.307
180.1807,-37.1479,207.6379,PA/AU,ker,5.345
180.241,-37.0623,209.2046,PA/AU,ker,5.007
180.3115,-36.9601,209.152,PA/AU,ker,5.636
180.382,-36.8579,209.0994,PA/AU,ker,5.205
180.4524,-36.7557,209.0468,PA/AU,ker,5.546
180.5229,-36.6535,208.9941,PA/AU,ker,5.454
180.5933,-36.5513,208.9415,PA/AU,ker,5.328
180.6638,-36.4491,208.8889,PA/AU,ker,5.698
180.7343,-36.3469,208.8363,PA/AU,ker,6.159
180.8047,-36.2447,208.7837,PA/AU,ker,6.411
180.8671,-36.0939,206.1977,PA/AU,ker,6.612
180.9295,-35.94300000000001,203.6116,PA/AU,ker,6.422
180.9919,-35.7921,201.0256,PA/AU,ker,6.051
181.0543,-35.6413,198.4396,PA/AU,ker,7.766
181.0975,-35.517,197.7647,PA/AU,ker,8.281
181.1406,-35.3927,197.0899,PA/AU,ker,7.81
181.1837,-35.2683,196.4151,PA/AU,ker,7.722
181.2268,-35.144,195.7403,PA/AU,ker,7.697
181.2853,-35.0345,197.707,PA/AU,ker,7.419
181.3439,-34.925,199.6737,PA/AU,ker,7.292
181.4024,-34.8155,201.6404,PA/AU,ker,7.371
181.461,-34.706,203.607,PA/AU,ker,6.984
