EARTHQUAKE RATE UNCERTAINTY BRANCHES 
RData file,rate-unc-GNMI-Crustal-beta-proslab-1973.RData
Calculation start and end,Fri Jul 10 10:50:12 2026,Fri Jul 10 10:56:21 2026
Region name,GNMI-Crustal
Version,beta-proslab-1973
Catalog type,Prob
b mean,1.3
b sigma,0.101
max n sigma b,3
delta,0.1
M1,5
Mmax,7.6
Mc sigma,0.2
max n sigma Mc,3
Mc distribution is one-sided (only larger than Mc) 
default M sigma,0.2
max n sigma M,3
nsamples,1e+05
Magnitude corrections are recomputed 
catalog, from ../catalogs/gnmi_beta_nomantle_separated_reclassified 1.csv
n epochs,3
t start,t end,Mc
1973,1994.5,5
1994.5,2010,5.3
2010,2026,5.4
type of rate model,average
epoch weights,0.4056604,0.2924528,0.3018868
BRANCHES
Note: all rates are cumulative
Note: calculations assume a Poisson process
Note: quantile=2 is used to label a mean branch
M1 Branches
n quantiles,6
quantile,Rate M>=M1,b
2,5.59,1.29
0.025,3.95,1.47
0.16,4.69,1.39
0.5,5.53,1.3
0.84,6.49,1.2
0.975,7.62,1.1
M1-Mmax Branches
n quantiles,6
quantile,Rate M>=M1,b
2,5.59,1.28
0.025,3.95,1.39
0.16,4.69,1.35
0.5,5.53,1.3
0.84,6.49,1.24
0.975,7.62,1.18
Exact Branches
n quantiles,6
n magnitudes,73
Mag,quantiles...
,2,0.025,0.16,0.5,0.84,0.975
2.5,11615,2560.8,4927.9,9650.4,18583,31293
2.6,8514.4,1984.3,3738.3,7157.5,13495,22348
2.7,6243.9,1537.2,2834.2,5309.3,9798.7,15958
2.8,4580.7,1191.7,2149.2,3936.7,7116,11398
2.9,3361.8,921.89,1629.1,2920.2,5167.6,8142.1
3,2468.3,713.55,1235.6,2166.3,3750.8,5815.7
3.1,1812.9,553.09,937.23,1607.2,2723.1,4154.9
3.2,1332.2,428.03,710.39,1192.3,1977.7,2970.8
3.3,979.28,331.37,538.51,884.29,1436.5,2123.3
3.4,720.17,256.7,408.32,655.92,1043.5,1518.2
3.5,529.84,198.58,309.61,486.86,758.04,1086.6
3.6,389.98,153.65,234.67,361.01,550.68,777.75
3.7,287.16,118.88,177.89,267.69,399.94,556.39
3.8,211.54,91.886,134.81,198.6,290.52,398.42
3.9,155.9,71.052,102.13,147.29,211.14,285.12
4,114.94,54.931,77.409,109.27,153.43,204.14
4.1,84.782,42.438,58.613,81.024,111.54,146.32
4.2,62.563,32.781,44.368,60.082,81.12,104.9
4.3,46.188,25.315,33.588,44.575,58.988,75.27
4.4,34.114,19.503,25.413,33.074,42.911,54.073
4.5,25.208,15.014,19.214,24.532,31.266,38.905
4.6,18.635,11.552,14.521,18.202,22.771,27.991
4.7,13.782,8.8765,10.963,13.51,16.6,20.172
4.8,10.198,6.7971,8.2713,10.03,12.118,14.542
4.9,7.5491,5.1866,6.2285,7.4422,8.863,10.514
5,5.5909,3.9472,4.685,5.5256,6.489,7.6206
5.1,4.1426,2.9903,3.5151,4.1014,4.7653,5.5368
5.2,3.0709,2.2528,2.6309,3.045,3.5057,4.0427
5.3,2.2775,1.6876,1.9619,2.2605,2.5868,2.9631
5.4,1.6899,1.2578,1.4586,1.6783,1.918,2.1855
5.5,1.2545,0.93115,1.0813,1.2461,1.4271,1.6239
5.6,0.93169,0.68579,0.79856,0.92451,1.0648,1.217
5.7,0.69228,0.50249,0.58831,0.68567,0.79662,0.91769
5.8,0.51465,0.36632,0.43205,0.5086,0.59742,0.69624
5.9,0.38277,0.26648,0.31665,0.3772,0.44899,0.53035
6,0.28483,0.19331,0.23161,0.27967,0.33793,0.40538
