EARTHQUAKE RATE UNCERTAINTY BRANCHES 
RData file,rate-unc-GNMI-Interface-beta-proslab-1973.RData
Calculation start and end,Fri Jul 10 10:57:08 2026,Fri Jul 10 11:02:24 2026
Region name,GNMI-Interface
Version,beta-proslab-1973
Catalog type,Prob
b mean,1.3
b sigma,0.101
max n sigma b,3
delta,0.1
M1,5
Mmax,7
Mc sigma,0.2
max n sigma Mc,3
Mc distribution is one-sided (only larger than Mc) 
default M sigma,0.2
max n sigma M,3
nsamples,1e+05
Magnitude corrections are recomputed 
catalog, from ../catalogs/gnmi_beta_nomantle_separated_reclassified 1.csv
n epochs,3
t start,t end,Mc
1973,1994.5,5
1994.5,2010,5.3
2010,2026,5.4
type of rate model,average
epoch weights,0.4056604,0.2924528,0.3018868
BRANCHES
Note: all rates are cumulative
Note: calculations assume a Poisson process
Note: quantile=2 is used to label a mean branch
M1 Branches
n quantiles,6
quantile,Rate M>=M1,b
2,3.02,1.3
0.025,1.84,1.47
0.16,2.36,1.39
0.5,2.97,1.3
0.84,3.67,1.2
0.975,4.51,1.1
M1-Mmax Branches
n quantiles,6
quantile,Rate M>=M1,b
2,3.02,1.28
0.025,1.84,1.36
0.16,2.36,1.34
0.5,2.97,1.3
0.84,3.67,1.25
0.975,4.51,1.21
Exact Branches
n quantiles,6
n magnitudes,73
Mag,quantiles...
,2,0.025,0.16,0.5,0.84,0.975
2.5,6269.2,1344.1,2601.7,5153.3,10030,17308
2.6,4595.7,1040.2,1970.8,3823.2,7286.9,12361
2.7,3370.2,805.2,1493.4,2836.4,5294.2,8844.1
2.8,2472.5,622.05,1131.5,2103.8,3849.1,6323.7
2.9,1814.6,480.99,857.09,1560.4,2796.6,4526.4
3,1332.3,372.14,649.28,1157.6,2033,3239.7
3.1,978.63,287.37,491.96,858.81,1476.9,2317.7
3.2,719.11,222.15,372.61,637.11,1073.3,1658.9
3.3,528.63,171.52,282.27,472.58,779.97,1188.3
3.4,388.77,132.43,213.82,350.62,567.28,851.37
3.5,286.03,102.32,161.99,260.16,412.47,610.24
3.6,210.53,78.955,122.67,192.95,299.83,437.49
3.7,155.02,60.911,92.812,143.11,218.07,313.85
3.8,114.2,46.886,70.275,106.15,158.7,225.13
3.9,84.162,36.086,53.147,78.716,115.51,161.67
4,62.052,27.773,40.194,58.379,84.118,116.17
4.1,45.771,21.387,30.361,43.311,61.264,83.493
4.2,33.776,16.421,22.917,32.137,44.638,60.022
4.3,24.936,12.576,17.304,23.854,32.571,43.225
4.4,18.418,9.609,13.054,17.698,23.768,31.16
4.5,13.609,7.3436,9.8452,13.14,17.366,22.473
4.6,10.061,5.6042,7.4136,9.7594,12.696,16.256
4.7,7.4407,4.2609,5.5762,7.246,9.2874,11.759
4.8,5.5056,3.2307,4.189,5.3802,6.8084,8.5157
4.9,4.0756,2.4441,3.1443,3.9951,4.9961,6.1884
5,3.0184,1.8402,2.3567,2.9681,3.672,4.5068
5.1,2.2364,1.3821,1.7624,2.2034,2.7055,3.2937
5.2,1.6578,1.0341,1.315,1.6366,1.9968,2.4129
