EARTHQUAKE RATE UNCERTAINTY BRANCHES 
RData file,rate-unc-GNMI-Interface-v1-1916.RData
Calculation start and end,Fri Feb 27 15:30:49 2026,Fri Feb 27 15:38:33 2026
Region name,GNMI-Interface
Version,v1-1916
Catalog type,Prob
b mean,1.22
b sigma,0.05
max n sigma b,3
delta,
M1,5
Mmax,7
Mc sigma,0.2
max n sigma Mc,3
Mc distribution is one-sided (only larger than Mc) 
default M sigma,0.2
max n sigma M,3
nsamples,1e+05
Magnitude corrections are recomputed 
catalog,gnmi-nshm-interface-probT.RData from gnmi_nshm_separated-DefaultBuffer.csv with outputprob= TRUE class= interface
n epochs,5
t start,t end,Mc
1916,1964,6.2
1964,1973,6
1973,1994.5,5.3
1994.5,2010,5.1
2010,2025,5.8
type of rate model,average
epoch weights,0.440367,0.08256881,0.1972477,0.1422018,0.1376147
BRANCHES
Note: all rates are cumulative
Note: calculations assume a Poisson process
Note: quantile=2 is used to label a mean branch
M1 Branches
n quantiles,6
quantile,Rate M>=M1,b
2,9.37,1.22
0.025,4.95,1.32
0.16,6.52,1.27
0.5,8.68,1.22
0.84,11.8,1.17
0.975,17.2,1.12
M1-Mmax Branches
n quantiles,6
quantile,Rate M>=M1,b
2,9.37,1.22
0.025,4.95,1.21
0.16,6.52,1.22
0.5,8.68,1.22
0.84,11.8,1.22
0.975,17.2,1.23
Exact Branches
n quantiles,6
n magnitudes,73
Mag,quantiles...
,2,0.025,0.16,0.5,0.84,0.975
2.5,11426,3751.3,5946.6,9761.8,16376,28104
2.6,8586,2889.2,4535.2,7367.9,12240,20854
2.7,6452.7,2223.5,3457.8,5563.5,9156.6,15463
2.8,4850,1711.1,2637.5,4201.9,6846,11478
2.9,3645.9,1316.8,2010.9,3172.8,5121.3,8515.5
3,2741,1012.5,1533.2,2395.4,3829,6313.7
3.1,2061,779.62,1168.4,1808,2863.8,4691.5
3.2,1549.9,599.21,890.48,1364.9,2142.9,3484
3.3,1165.7,460.77,678.47,1030.5,1602.4,2585.1
3.4,876.85,353.84,516.86,777.66,1199.3,1919.8
3.5,659.66,272.08,393.66,587.08,896.72,1427.4
3.6,496.33,209.08,299.79,443.26,671.38,1060.1
3.7,373.49,160.54,228.39,334.65,502.4,787.44
3.8,281.09,123.1,173.96,252.61,376.05,586.65
3.9,211.57,94.46,132.49,190.71,281.65,435.89
4,159.27,72.417,100.87,143.91,210.77,323.6
4.1,119.91,55.509,76.81,108.66,157.86,241.02
4.2,90.292,42.508,58.461,82.067,118.22,179.43
4.3,67.997,32.529,44.482,61.979,88.531,133.58
4.4,51.214,24.896,33.849,46.808,66.306,99.549
4.5,38.578,19.051,25.747,35.333,49.673,74.152
4.6,29.064,14.555,19.585,26.679,37.233,55.369
4.7,21.899,11.12,14.884,20.15,27.91,41.342
4.8,16.503,8.4937,11.312,15.216,20.935,30.852
4.9,12.437,6.4896,8.593,11.496,15.704,23.035
5,9.375,4.9532,6.522,8.6813,11.784,17.226
5.1,7.0675,3.7748,4.9542,6.5556,8.8483,12.882
5.2,5.3286,2.8763,3.761,4.95,6.6448,9.636
5.3,4.0181,2.1889,2.853,3.7391,4.9935,7.2114
5.4,3.0303,1.6646,2.1636,2.824,3.7542,5.4052
5.5,2.2856,1.2646,1.6404,2.1329,2.8234,4.0536
5.6,1.7242,0.96104,1.2426,1.6112,2.1251,3.0372
5.7,1.3008,0.72966,0.94114,1.217,1.6001,2.2742
5.8,0.98154,0.55289,0.71275,0.91911,1.205,1.706
5.9,0.74072,0.41846,0.53898,0.69425,0.90798,1.2822
6,0.55906,0.31679,0.40751,0.52431,0.68474,0.9648
6.1,0.42201,0.23944,0.30799,0.3961,0.51636,0.72701
6.2,0.31859,0.18087,0.23262,0.29928,0.38973,0.54773
6.3,0.24055,0.13645,0.17558,0.22614,0.29426,0.41304
6.4,0.18165,0.10286,0.13249,0.17079,0.22234,0.3121
6.5,0.13719,0.07749,0.099906,0.12905,0.16806,0.23572
6.6,0.10363,0.058301,0.075325,0.097522,0.12713,0.17864
6.7,0.078284,0.043793,0.056799,0.073645,0.096257,0.13501
6.8,0.059146,0.032823,0.042769,0.055617,0.072861,0.10223
6.9,0.044693,0.02464,0.032179,0.041999,0.055224,0.077489
7,0.033776,0.018481,0.024212,0.031732,0.041872,0.058845
7.1,0.025529,0.013848,0.018209,0.023972,0.031771,0.044702
7.2,0.019298,0.010371,0.013687,0.018106,0.024101,0.033963
7.3,0.01459,0.0077597,0.010287,0.013676,0.018287,0.025866
7.4,0.011032,0.0058024,0.0077313,0.010333,0.013882,0.019744
7.5,0.0083428,0.0043367,0.0058065,0.0078063,0.010543,0.015038
7.6,0.0063099,0.0032336,0.0043609,0.0058959,0.008008,0.01147
7.7,0.004773,0.00241,0.003274,0.0044553,0.0060872,0.0087548
7.8,0.0036109,0.001796,0.0024566,0.0033643,0.0046277,0.0067014
7.9,0.0027321,0.0013373,0.0018432,0.0025407,0.0035198,0.0051252
8,0.0020674,0.00099625,0.0013825,0.0019189,0.0026765,0.0039239
8.1,0.0015647,0.00074211,0.0010365,0.0014491,0.0020369,0.0030054
8.2,0.0011843,0.00055194,0.00077704,0.0010943,0.0015509,0.0023015
8.3,0.00089655,0.00041072,0.0005823,0.00082634,0.0011805,0.0017646
8.4,0.00067879,0.00030568,0.00043613,0.00062408,0.00089894,0.0013543
8.5,0.00051399,0.00022727,0.00032673,0.00047138,0.000684,0.0010397
8.6,0.00038925,0.00016897,0.00024471,0.00035615,0.00052119,0.00079876
8.7,0.00029482,0.00012558,0.00018332,0.000269,0.00039678,0.00061342
8.8,0.00022333,9.3216e-05,0.00013721,0.00020321,0.0003022,0.00047051
8.9,0.0001692,6.9271e-05,0.00010275,0.00015346,0.00023011,0.00036118
9,0.0001282,5.1417e-05,7.6909e-05,0.00011592,0.00017546,0.00027738
9.1,9.7152e-05,3.8176e-05,5.7544e-05,8.7535e-05,0.00013373,0.00021277
9.2,7.3632e-05,2.836e-05,4.3057e-05,6.6116e-05,0.00010196,0.00016373
9.3,5.5813e-05,2.1027e-05,3.2223e-05,4.9934e-05,7.7725e-05,0.00012581
9.4,4.2311e-05,1.5581e-05,2.4108e-05,3.7712e-05,5.9273e-05,9.6611e-05
9.5,3.208e-05,1.1567e-05,1.8036e-05,2.8481e-05,4.5192e-05,7.4239e-05
9.6,2.4326e-05,8.5772e-06,1.3492e-05,2.1509e-05,3.4473e-05,5.703e-05
9.7,1.8449e-05,6.3632e-06,1.0089e-05,1.6244e-05,2.6299e-05,4.3851e-05
