EARTHQUAKE RATE UNCERTAINTY BRANCHES 
RData file,rate-unc-GNMI-Intraslab-v1-1916.RData
Calculation start and end,Fri Feb 27 15:39:18 2026,Fri Feb 27 16:06:57 2026
Region name,GNMI-Intraslab
Version,v1-1916
Catalog type,Prob
b mean,1.22
b sigma,0.05
max n sigma b,3
delta,
M1,5
Mmax,
Mc sigma,0.2
max n sigma Mc,3
Mc distribution is one-sided (only larger than Mc) 
default M sigma,0.2
max n sigma M,3
nsamples,1e+05
Magnitude corrections are recomputed 
catalog,gnmi-nshm-intraslab-probT.RData from gnmi_nshm_separated-DefaultBuffer.csv with outputprob= TRUE class= intraslab+or
n epochs,5
t start,t end,Mc
1916,1964,6.2
1964,1973,6
1973,1994.5,5.3
1994.5,2010,5.1
2010,2025,5.8
type of rate model,average
epoch weights,0.440367,0.08256881,0.1972477,0.1422018,0.1376147
BRANCHES
Note: all rates are cumulative
Note: calculations assume a Poisson process
Note: quantile=2 is used to label a mean branch
M1 Branches
n quantiles,6
quantile,Rate M>=M1,b
2,19.8,1.22
0.025,13.3,1.32
0.16,15.8,1.27
0.5,19,1.22
0.84,23.7,1.17
0.975,30.8,1.12
M1-Mmax Branches
n quantiles,6
quantile,Rate M>=M1,b
2,19.8,1.22
0.025,13.3,1.25
0.16,15.8,1.23
0.5,19,1.22
0.84,23.7,1.21
0.975,30.8,1.21
Exact Branches
n quantiles,6
n magnitudes,73
Mag,quantiles...
,2,0.025,0.16,0.5,0.84,0.975
2.5,23963,9347.8,13961,21500,33674,52878
2.6,18011,7208.2,10656,16231,25156,39132
2.7,13540,5556,8127.3,12250,18786,28963
2.8,10179,4284.6,6203.3,9247.6,14037,21462
2.9,7654.2,3303.4,4733,6980.2,10492,15901
3,5756,2546.1,3610.9,5268.6,7839.8,11779
3.1,4329.2,1962.8,2755.1,3977.1,5860.1,8725.6
3.2,3256.5,1513,2101.7,3002.9,4378.3,6466.1
3.3,2449.9,1166.3,1603.4,2266.5,3272.5,4791.8
3.4,1843.3,898.63,1222.7,1710.8,2445.1,3550.6
3.5,1387.1,692.16,932.7,1291.6,1827.8,2632.4
3.6,1043.9,532.88,711.24,975.06,1366.4,1953.3
3.7,785.73,410.26,542.41,736.22,1021.6,1447.4
3.8,591.49,315.9,413.57,555.54,763.5,1074
3.9,445.33,243.17,315.26,419.33,570.85,797.01
4,335.32,187.14,240.32,316.5,427.1,591.26
4.1,252.53,144.04,183.17,239,319.5,438.93
4.2,190.2,110.83,139.55,180.44,238.97,326.15
4.3,143.27,85.247,106.34,136.24,178.83,242.54
4.4,107.94,65.555,81.023,102.87,133.81,180.41
4.5,81.327,50.36,61.714,77.666,100.19,133.93
4.6,61.285,38.658,46.998,58.634,74.991,99.77
4.7,46.188,29.658,35.77,44.266,56.163,74.298
4.8,34.815,22.744,27.232,33.416,42.104,55.371
4.9,26.246,17.419,20.721,25.216,31.554,41.295
5,19.788,13.34,15.761,19.035,23.662,30.783
5.1,14.921,10.197,11.984,14.369,17.743,22.978
5.2,11.253,7.7953,9.1017,10.852,13.317,17.166
5.3,8.4876,5.9441,6.9112,8.1953,10.004,12.825
5.4,6.4026,4.5324,5.2446,6.1877,7.5166,9.5817
5.5,4.8305,3.4505,3.978,4.6721,5.6515,7.1708
5.6,3.6448,2.6231,3.0151,3.5281,4.2504,5.3709
5.7,2.7505,1.9904,2.2844,2.6649,3.2013,4.0243
5.8,2.0759,1.5076,1.7289,2.0134,2.4108,3.0209
5.9,1.567,1.1396,1.3076,1.5212,1.8182,2.2694
6,1.183,0.85929,0.98793,1.1495,1.3722,1.7073
6.1,0.8932,0.6469,0.74634,0.8686,1.0364,1.284
6.2,0.67448,0.48648,0.56312,0.65658,0.78296,0.96789
6.3,0.50939,0.36541,0.42436,0.49621,0.59222,0.7297
6.4,0.38476,0.27408,0.3196,0.37503,0.44843,0.55147
6.5,0.29066,0.20528,0.24046,0.28349,0.33984,0.41733
6.6,0.2196,0.15364,0.1809,0.21419,0.25765,0.3163
6.7,0.16593,0.11485,0.13593,0.16184,0.19552,0.23997
6.8,0.1254,0.085714,0.1021,0.12234,0.14848,0.18246
6.9,0.09478,0.063961,0.076651,0.092464,0.11274,0.13876
7,0.071646,0.047654,0.057523,0.069867,0.085673,0.10549
7.1,0.054166,0.035493,0.043135,0.052812,0.06513,0.080449
7.2,0.040956,0.026424,0.032345,0.039881,0.04952,0.061423
7.3,0.030971,0.019657,0.024243,0.030126,0.037667,0.046933
7.4,0.023424,0.014607,0.018165,0.022758,0.028658,0.035884
7.5,0.017718,0.010847,0.013606,0.017193,0.021797,0.027455
7.6,0.013404,0.0080556,0.010189,0.012991,0.016597,0.021044
7.7,0.010141,0.0059846,0.007631,0.0098114,0.012645,0.016143
7.8,0.0076741,0.0044418,0.0057136,0.0074122,0.0096315,0.012387
7.9,0.0058078,0.0032945,0.0042773,0.0055981,0.0073353,0.0095041
8,0.0043959,0.0024459,0.0032004,0.0042275,0.0055894,0.0072977
8.1,0.0033277,0.0018124,0.0023961,0.0031928,0.0042583,0.005604
8.2,0.0025194,0.0013441,0.0017915,0.0024114,0.0032454,0.0043114
8.3,0.0019077,0.00099595,0.0013401,0.0018209,0.0024724,0.0033163
8.4,0.0014447,0.00073772,0.0010028,0.0013748,0.001885,0.00255
8.5,0.0010942,0.00054657,0.00075,0.0010381,0.0014372,0.001961
8.6,0.00082883,0.00040471,0.00056075,0.00078399,0.001096,0.0015087
8.7,0.00062791,0.00029969,0.00041921,0.00059201,0.00083568,0.00116
8.8,0.00047576,0.00022187,0.00031354,0.00044715,0.0006373,0.00089301
8.9,0.00036052,0.00016441,0.00023435,0.00033766,0.00048621,0.00068777
9,0.00027323,0.00012178,0.00017515,0.00025501,0.00037103,0.0005297
9.1,0.0002071,9.0142e-05,0.00013093,0.00019257,0.00028296,0.00040787
9.2,0.000157,6.6714e-05,9.783e-05,0.0001454,0.00021581,0.00031422
9.3,0.00011903,4.9361e-05,7.3115e-05,0.00010978,0.00016465,0.00024204
9.4,9.026e-05,3.6504e-05,5.4665e-05,8.2883e-05,0.00012564,0.00018652
9.5,6.845e-05,2.7006e-05,4.0852e-05,6.2583e-05,9.5852e-05,0.00014389
9.6,5.1917e-05,1.9975e-05,3.0529e-05,4.7237e-05,7.3137e-05,0.0001108
9.7,3.9382e-05,1.4772e-05,2.2812e-05,3.5665e-05,5.5803e-05,8.5411e-05
