segment Wyoming
45.005 -109.269
45.005 -109.263
45.006 -109.103
45 -109.083
45 -109.062
45 -109.057
45 -108.95
45 -108.859
45 -108.684
45 -108.666
45 -108.621
45 -108.578
45.001 -108.566
45 -108.501
45 -108.271
44.999 -108.249
45 -108.238
45 -108.232
45.001 -108.22
45.001 -108.218
45.001 -108.149
45.001 -108.001
45.002 -107.997
45.001 -107.912
45.001 -107.751
45.001 -107.609
45.001 -107.608
45.001 -107.492
45.001 -107.402
45.001 -107.351
45.001 -107.319
45.001 -107.283
45 -107.134
44.999 -107.126
44.999 -107.106
44.997 -107.085
44.997 -107.075
44.996 -107.051
44.996 -106.991
44.996 -106.99
44.996 -106.917
44.996 -106.902
44.996 -106.893
44.996 -106.889
44.995 -106.571
44.995 -106.52
44.994 -106.264
44.994 -106.184
44.994 -106.025
44.994 -105.928
45 -105.914
45.001 -105.913
45 -105.848
45 -105.595
45 -105.563
45 -105.371
45 -105.205
45 -105.089
45 -105.038
45 -105.025
45 -105.019
45 -105.018
44.999 -104.765
44.999 -104.76
45 -104.726
44.999 -104.665
44.999 -104.664
44.999 -104.659
44.998 -104.47
44.998 -104.411
44.998 -104.25
44.997 -104.058
44.875 -104.056
44.867 -104.056
44.768 -104.056
44.749 -104.056
44.724 -104.056
44.723 -104.056
44.7 -104.056
44.694 -104.056
44.691 -104.056
44.641 -104.056
44.625 -104.056
44.582 -104.056
44.543 -104.056
44.518 -104.056
44.395 -104.056
44.25 -104.055
44.18 -104.054
43.938 -104.055
43.937 -104.055
43.853 -104.055
43.75 -104.055
43.747 -104.055
43.584 -104.055
43.579 -104.055
43.559 -104.055
43.503 -104.055
43.429 -104.055
43.391 -104.055
43.326 -104.054
43.304 -104.054
43.297 -104.054
43.29 -104.054
43.165 -104.054
43.001 -104.053
42.87 -104.053
42.755 -104.053
42.75 -104.053
42.661 -104.053
42.65 -104.053
42.634 -104.053
42.631 -104.053
42.612 -104.053
42.611 -104.053
42.5 -104.053
42.361 -104.053
42.34 -104.053
42.258 -104.053
42.25 -104.053
42.17 -104.053
42.167 -104.053
42.137 -104.053
42.134 -104.053
42.125 -104.053
42.096 -104.053
42.089 -104.053
42.075 -104.053
42.022 -104.053
42.016 -104.053
42.003 -104.053
41.999 -104.053
41.995 -104.053
41.99 -104.053
41.989 -104.053
41.976 -104.053
41.973 -104.053
41.915 -104.053
41.906 -104.053
41.885 -104.053
41.827 -104.053
41.812 -104.053
41.809 -104.053
41.804 -104.053
41.739 -104.053
41.733 -104.053
41.645 -104.053
41.638 -104.053
41.623 -104.053
41.614 -104.053
41.592 -104.053
41.564 -104.053
41.553 -104.053
41.541 -104.053
41.539 -104.053
41.522 -104.052
41.516 -104.052
41.418 -104.052
41.408 -104.052
41.393 -104.052
41.331 -104.053
41.321 -104.052
41.316 -104.053
41.278 -104.052
41.278 -104.053
41.275 -104.053
41.2 -104.053
41.196 -104.053
41.171 -104.053
41.17 -104.053
41.157 -104.054
41.114 -104.053
41.105 -104.053
41.09 -104.053
41.018 -104.053
41.017 -104.053
41.001 -104.053
41.002 -104.067
41.002 -104.086
41.002 -104.105
41.002 -104.124
41.002 -104.182
41.002 -104.211
41.002 -104.214
41.002 -104.215
41.002 -104.371
41.002 -104.386
41.001 -104.468
41.002 -104.497
41.001 -104.6
41.001 -104.633
41.001 -104.676
41 -104.773
40.999 -104.83
40.998 -104.855
40.998 -104.938
40.998 -105.255
40.998 -105.257
40.998 -105.277
40.997 -105.645
40.997 -105.725
40.997 -105.73
40.997 -106.061
40.998 -106.195
40.998 -106.218
40.999 -106.321
41.001 -106.386
41.001 -106.392
41.002 -106.431
41.002 -106.437
41.002 -106.44
41.002 -106.454
41.003 -106.815
41.003 -106.858
41.003 -107.001
41.003 -107.116
41.003 -107.143
41.003 -107.241
41.003 -107.303
41.003 -107.367
41.002 -107.574
41.002 -107.595
41.002 -107.626
41.002 -107.918
41.002 -108.047
41 -108.181
41 -108.251
41 -108.288
41 -108.3
41 -108.501
41 -108.527
41 -108.631
41 -108.788
41 -108.884
41.001 -109.05
41.001 -109.174
41.002 -109.232
41.001 -109.251
40.999 -109.501
40.998 -109.535
40.998 -109.544
40.998 -109.561
40.998 -109.676
40.998 -109.714
40.998 -109.715
40.998 -109.842
40.998 -109.854
40.998 -109.855
40.998 -109.963
40.998 -109.976
40.997 -110
40.997 -110.001
40.998 -110.006
40.998 -110.048
40.997 -110.122
40.997 -110.126
40.995 -110.238
40.996 -110.251
40.996 -110.282
40.995 -110.376
40.995 -110.501
40.996 -110.54
40.996 -110.546
40.996 -110.607
40.996 -110.645
40.996 -110.715
40.996 -110.725
40.997 -110.73
40.997 -110.751
40.998 -111.047
41.248 -111.047
41.252 -111.047
41.361 -111.047
41.378 -111.046
41.522 -111.046
41.553 -111.046
41.566 -111.046
41.58 -111.046
41.768 -111.046
41.777 -111.046
41.841 -111.046
42.002 -111.047
42.142 -111.047
42.149 -111.047
42.183 -111.047
42.195 -111.047
42.281 -111.047
42.349 -111.047
42.401 -111.047
42.469 -111.047
42.5 -111.047
42.505 -111.047
42.583 -111.046
42.649 -111.045
42.657 -111.045
42.719 -111.044
42.723 -111.044
42.767 -111.044
42.858 -111.044
42.875 -111.044
42.953 -111.044
42.964 -111.044
42.969 -111.044
42.975 -111.044
42.983 -111.044
43.019 -111.044
43.023 -111.044
43.025 -111.044
43.026 -111.044
43.029 -111.044
43.041 -111.044
43.045 -111.044
43.046 -111.044
43.055 -111.044
43.06 -111.044
43.066 -111.044
43.068 -111.044
43.072 -111.044
43.091 -111.044
43.174 -111.044
43.177 -111.044
43.184 -111.044
43.189 -111.044
43.196 -111.044
43.201 -111.044
43.316 -111.045
43.621 -111.046
43.641 -111.046
43.659 -111.046
43.681 -111.046
43.683 -111.046
43.685 -111.046
43.686 -111.046
43.688 -111.046
43.722 -111.046
43.725 -111.046
43.727 -111.046
43.751 -111.046
43.816 -111.047
43.821 -111.047
43.908 -111.047
43.975 -111.047
43.982 -111.047
44 -111.047
44.02 -111.049
44.06 -111.049
44.061 -111.049
44.063 -111.049
44.115 -111.048
44.125 -111.049
44.132 -111.049
44.354 -111.05
44.375 -111.049
44.436 -111.049
44.438 -111.049
44.474 -111.049
44.619 -111.055
44.625 -111.055
44.666 -111.055
44.725 -111.056
44.75 -111.056
44.867 -111.057
44.934 -111.056
44.936 -111.056
45.001 -111.055
45.001 -111.044
45.003 -110.785
45 -110.762
44.998 -110.751
44.992 -110.705
44.992 -110.552
44.992 -110.547
44.992 -110.488
44.994 -110.403
45.001 -110.363
44.999 -110.342
44.999 -110.324
44.997 -110.287
44.996 -110.2
45.004 -110.11
45.004 -110.026
45.003 -110.002
45.003 -109.995
45.003 -109.876
45.002 -109.799
45.002 -109.751
45.003 -109.664
45.003 -109.574
45.005 -109.402
45.005 -109.386
45.005 -109.382
45.005 -109.376
45.005 -109.336
45.005 -109.269
