segment Kansas
39.893 -94.934
39.889 -94.93
39.886 -94.928
39.884 -94.927
39.88 -94.927
39.876 -94.928
39.873 -94.931
39.867 -94.939
39.864 -94.941
39.861 -94.942
39.857 -94.943
39.852 -94.94
39.85 -94.938
39.841 -94.926
39.836 -94.917
39.834 -94.91
39.834 -94.903
39.834 -94.893
39.834 -94.889
39.833 -94.887
39.829 -94.881
39.827 -94.879
39.824 -94.877
39.821 -94.877
39.813 -94.876
39.807 -94.876
39.806 -94.877
39.797 -94.881
39.794 -94.884
39.792 -94.89
39.791 -94.893
39.79 -94.913
39.79 -94.925
39.79 -94.926
39.789 -94.927
39.788 -94.93
39.787 -94.931
39.786 -94.933
39.783 -94.935
39.779 -94.936
39.776 -94.935
39.775 -94.935
39.774 -94.935
39.774 -94.934
39.769 -94.93
39.769 -94.929
39.768 -94.929
39.766 -94.926
39.765 -94.924
39.761 -94.917
39.759 -94.912
39.759 -94.906
39.76 -94.906
39.761 -94.901
39.761 -94.899
39.763 -94.895
39.764 -94.894
39.77 -94.884
39.771 -94.881
39.772 -94.875
39.773 -94.871
39.773 -94.87
39.772 -94.867
39.77 -94.865
39.767 -94.863
39.763 -94.861
39.754 -94.859
39.75 -94.86
39.743 -94.863
39.735 -94.87
39.73 -94.876
39.727 -94.884
39.725 -94.892
39.724 -94.899
39.724 -94.901
39.724 -94.902
39.724 -94.903
39.725 -94.906
39.725 -94.907
39.725 -94.908
39.726 -94.91
39.726 -94.911
39.729 -94.918
39.735 -94.93
39.742 -94.939
39.744 -94.945
39.746 -94.949
39.746 -94.953
39.746 -94.955
39.743 -94.96
39.74 -94.964
39.74 -94.965
39.739 -94.965
39.739 -94.966
39.732 -94.97
39.729 -94.971
39.723 -94.971
39.707 -94.968
39.693 -94.969
39.689 -94.97
39.686 -94.971
39.682 -94.976
39.681 -94.976
39.679 -94.982
39.678 -94.984
39.678 -94.986
39.677 -94.991
39.677 -94.994
39.677 -94.999
39.676 -95.001
39.676 -95.005
39.676 -95.008
39.676 -95.009
39.675 -95.01
39.675 -95.013
39.674 -95.015
39.673 -95.018
39.671 -95.022
39.668 -95.025
39.665 -95.028
39.653 -95.037
39.65 -95.039
39.644 -95.045
39.638 -95.05
39.63 -95.053
39.625 -95.055
39.624 -95.055
39.622 -95.055
39.621 -95.055
39.614 -95.053
39.613 -95.053
39.606 -95.048
39.602 -95.046
39.6 -95.046
39.595 -95.047
39.59 -95.049
39.582 -95.055
39.581 -95.057
39.579 -95.06
39.577 -95.065
39.577 -95.066
39.576 -95.068
39.576 -95.069
39.576 -95.072
39.577 -95.076
39.577 -95.077
39.581 -95.089
39.581 -95.09
39.581 -95.091
39.581 -95.096
39.58 -95.099
39.579 -95.1
39.578 -95.102
39.578 -95.103
39.575 -95.106
39.574 -95.107
39.57 -95.109
39.569 -95.109
39.56 -95.113
39.559 -95.113
39.557 -95.113
39.554 -95.114
39.553 -95.113
39.543 -95.11
39.542 -95.109
39.538 -95.107
39.537 -95.106
39.533 -95.103
39.528 -95.097
39.527 -95.095
39.524 -95.093
39.517 -95.083
39.514 -95.077
39.506 -95.059
39.504 -95.056
39.5 -95.052
39.498 -95.051
39.494 -95.05
39.48 -95.048
39.475 -95.047
39.472 -95.046
39.466 -95.041
39.464 -95.037
39.461 -95.033
39.458 -95.028
39.453 -95.016
39.448 -94.996
39.446 -94.99
39.441 -94.982
39.436 -94.979
39.427 -94.977
39.422 -94.973
39.419 -94.969
39.418 -94.967
39.417 -94.966
39.417 -94.965
39.414 -94.955
39.412 -94.951
39.409 -94.948
39.406 -94.946
39.4 -94.947
39.396 -94.946
39.394 -94.946
39.389 -94.942
39.388 -94.94
39.387 -94.938
39.387 -94.937
39.386 -94.934
39.385 -94.932
39.384 -94.923
39.385 -94.919
39.386 -94.916
39.389 -94.91
39.393 -94.902
39.393 -94.896
39.394 -94.895
39.393 -94.892
39.392 -94.889
39.392 -94.888
39.39 -94.885
39.384 -94.881
39.38 -94.879
39.376 -94.879
39.37 -94.881
39.367 -94.885
39.364 -94.891
39.363 -94.897
39.362 -94.899
39.36 -94.902
39.357 -94.907
39.356 -94.908
39.354 -94.909
39.353 -94.91
39.352 -94.91
39.351 -94.91
39.348 -94.911
39.343 -94.91
39.33 -94.909
39.324 -94.908
39.317 -94.907
39.315 -94.906
39.313 -94.906
39.312 -94.905
39.31 -94.905
39.307 -94.904
39.306 -94.903
39.305 -94.902
39.301 -94.901
39.301 -94.9
39.3 -94.9
39.294 -94.895
39.289 -94.889
39.286 -94.887
39.283 -94.883
39.283 -94.881
39.282 -94.88
39.281 -94.878
39.278 -94.869
39.278 -94.868
39.277 -94.867
39.274 -94.857
39.271 -94.851
39.271 -94.85
39.268 -94.846
39.267 -94.844
39.265 -94.841
39.262 -94.838
39.261 -94.836
39.26 -94.835
39.257 -94.833
39.257 -94.832
39.256 -94.831
39.25 -94.827
39.246 -94.827
39.242 -94.826
39.238 -94.826
39.236 -94.827
39.234 -94.828
39.227 -94.832
39.224 -94.835
39.223 -94.835
39.221 -94.835
39.218 -94.834
39.216 -94.832
39.21 -94.824
39.209 -94.821
39.207 -94.812
39.206 -94.8
39.206 -94.799
39.207 -94.794
39.208 -94.788
39.208 -94.787
39.207 -94.784
39.206 -94.782
39.205 -94.78
39.204 -94.779
39.204 -94.778
39.201 -94.776
39.191 -94.771
39.19 -94.77
39.18 -94.763
39.173 -94.752
39.17 -94.742
39.169 -94.737
39.169 -94.724
39.17 -94.714
39.179 -94.696
39.184 -94.687
39.184 -94.68
39.182 -94.669
39.179 -94.664
39.168 -94.66
39.158 -94.662
39.154 -94.651
39.153 -94.64
39.157 -94.624
39.16 -94.616
39.161 -94.609
39.16 -94.602
39.158 -94.596
39.155 -94.592
39.14 -94.59
39.136 -94.593
39.129 -94.6
39.122 -94.606
39.119 -94.607
39.113 -94.607
39.09 -94.607
39.082 -94.607
39.072 -94.607
39.066 -94.607
39.057 -94.607
39.054 -94.607
39.05 -94.607
39.044 -94.608
39.041 -94.608
39.037 -94.608
39.034 -94.608
39.031 -94.608
39.015 -94.608
39.014 -94.608
39.008 -94.608
39.001 -94.608
39 -94.608
38.993 -94.608
38.991 -94.608
38.987 -94.608
38.986 -94.608
38.984 -94.608
38.982 -94.608
38.974 -94.608
38.97 -94.608
38.965 -94.608
38.957 -94.608
38.942 -94.608
38.94 -94.608
38.937 -94.608
38.913 -94.608
38.91 -94.608
38.906 -94.608
38.894 -94.608
38.884 -94.608
38.869 -94.608
38.868 -94.608
38.867 -94.608
38.861 -94.608
38.855 -94.608
38.85 -94.608
38.847 -94.608
38.828 -94.608
38.826 -94.608
38.811 -94.608
38.782 -94.609
38.742 -94.609
38.741 -94.609
38.738 -94.61
38.732 -94.61
38.698 -94.61
38.679 -94.611
38.678 -94.611
38.635 -94.612
38.625 -94.611
38.62 -94.612
38.609 -94.612
38.606 -94.612
38.58 -94.612
38.577 -94.612
38.55 -94.612
38.548 -94.612
38.519 -94.612
38.492 -94.613
38.484 -94.613
38.483 -94.613
38.478 -94.613
38.403 -94.613
38.392 -94.613
38.389 -94.613
38.37 -94.613
38.364 -94.613
38.344 -94.613
38.336 -94.613
38.324 -94.613
38.32 -94.613
38.315 -94.613
38.303 -94.613
38.301 -94.613
38.291 -94.613
38.29 -94.613
38.272 -94.613
38.27 -94.613
38.238 -94.613
38.227 -94.613
38.219 -94.613
38.218 -94.613
38.204 -94.613
38.201 -94.613
38.191 -94.613
38.168 -94.613
38.161 -94.614
38.15 -94.614
38.136 -94.614
38.124 -94.614
38.067 -94.614
38.066 -94.614
38.06 -94.614
38.037 -94.614
37.992 -94.614
37.988 -94.614
37.979 -94.615
37.971 -94.615
37.952 -94.615
37.95 -94.615
37.944 -94.615
37.941 -94.615
37.937 -94.615
37.934 -94.615
37.916 -94.615
37.906 -94.615
37.902 -94.615
37.887 -94.616
37.878 -94.616
37.873 -94.616
37.863 -94.616
37.851 -94.616
37.845 -94.616
37.843 -94.616
37.838 -94.616
37.819 -94.617
37.776 -94.618
37.773 -94.618
37.765 -94.618
37.761 -94.618
37.73 -94.618
37.722 -94.618
37.69 -94.618
37.688 -94.618
37.687 -94.618
37.682 -94.618
37.673 -94.618
37.654 -94.618
37.644 -94.618
37.637 -94.617
37.61 -94.617
37.572 -94.617
37.571 -94.617
37.567 -94.617
37.563 -94.617
37.557 -94.617
37.553 -94.617
37.552 -94.617
37.535 -94.617
37.528 -94.617
37.522 -94.617
37.507 -94.617
37.484 -94.617
37.47 -94.617
37.465 -94.617
37.46 -94.617
37.455 -94.617
37.44 -94.617
37.426 -94.617
37.411 -94.618
37.396 -94.618
37.382 -94.618
37.368 -94.618
37.367 -94.618
37.364 -94.618
37.338 -94.618
37.337 -94.618
37.324 -94.618
37.24 -94.618
37.238 -94.618
37.229 -94.618
37.228 -94.618
37.208 -94.618
37.207 -94.618
37.189 -94.618
37.181 -94.619
37.175 -94.618
37.16 -94.618
37.132 -94.618
