segment Montana
44.5 -111.131
44.517 -111.139
44.535 -111.144
44.536 -111.144
44.546 -111.16
44.547 -111.167
44.552 -111.176
44.562 -111.18
44.567 -111.183
44.571 -111.19
44.576 -111.201
44.581 -111.225
44.587 -111.23
44.607 -111.231
44.618 -111.226
44.623 -111.224
44.644 -111.245
44.651 -111.253
44.65 -111.263
44.656 -111.277
44.668 -111.269
44.669 -111.27
44.676 -111.275
44.678 -111.276
44.683 -111.281
44.702 -111.296
44.724 -111.324
44.729 -111.341
44.725 -111.348
44.728 -111.356
44.738 -111.367
44.742 -111.366
44.75 -111.375
44.752 -111.378
44.755 -111.385
44.753 -111.394
44.747 -111.398
44.745 -111.394
44.729 -111.397
44.723 -111.399
44.711 -111.414
44.714 -111.424
44.72 -111.43
44.721 -111.438
44.721 -111.439
44.72 -111.439
44.719 -111.444
44.717 -111.453
44.713 -111.467
44.709 -111.481
44.708 -111.486
44.705 -111.489
44.7 -111.49
44.699 -111.49
44.688 -111.485
44.682 -111.478
44.679 -111.469
44.678 -111.469
44.667 -111.473
44.665 -111.473
44.655 -111.484
44.649 -111.491
44.644 -111.496
44.636 -111.505
44.633 -111.507
44.613 -111.522
44.605 -111.526
44.598 -111.525
44.596 -111.524
44.583 -111.519
44.569 -111.503
44.561 -111.492
44.555 -111.476
44.552 -111.469
44.545 -111.468
44.541 -111.472
44.54 -111.501
44.544 -111.518
44.548 -111.524
44.557 -111.547
44.554 -111.557
44.555 -111.563
44.559 -111.574
44.562 -111.584
44.563 -111.586
44.562 -111.592
44.554 -111.601
44.549 -111.614
44.553 -111.637
44.553 -111.641
44.555 -111.652
44.56 -111.682
44.56 -111.685
44.56 -111.704
44.55 -111.71
44.544 -111.715
44.543 -111.72
44.543 -111.73
44.543 -111.736
44.543 -111.737
44.541 -111.746
44.534 -111.759
44.53 -111.762
44.528 -111.767
44.516 -111.807
44.512 -111.808
44.509 -111.821
44.516 -111.83
44.526 -111.843
44.54 -111.849
44.549 -111.857
44.558 -111.865
44.564 -111.871
44.563 -111.888
44.561 -111.895
44.557 -111.904
44.557 -111.92
44.557 -111.948
44.555 -111.949
44.55 -111.952
44.545 -111.963
44.542 -111.97
44.537 -111.981
44.535 -111.995
44.542 -112.014
44.547 -112.033
44.543 -112.035
44.538 -112.034
44.53 -112.037
44.535 -112.053
44.536 -112.062
44.537 -112.069
44.534 -112.081
44.53 -112.093
44.523 -112.096
44.521 -112.102
44.521 -112.107
44.529 -112.125
44.536 -112.129
44.54 -112.136
44.542 -112.165
44.533 -112.18
44.533 -112.184
44.544 -112.222
44.549 -112.229
44.555 -112.227
44.563 -112.23
44.568 -112.243
44.569 -112.248
44.57 -112.259
44.568 -112.286
44.567 -112.29
44.558 -112.308
44.554 -112.313
44.55 -112.315
44.545 -112.315
44.542 -112.315
44.539 -112.319
44.539 -112.349
44.536 -112.354
44.529 -112.359
44.493 -112.357
44.486 -112.359
44.475 -112.365
44.467 -112.369
44.464 -112.372
44.448 -112.387
44.455 -112.413
44.462 -112.435
44.468 -112.446
44.476 -112.46
44.479 -112.469
44.48 -112.473
44.471 -112.487
44.463 -112.5
44.466 -112.512
44.47 -112.512
44.476 -112.519
44.484 -112.542
44.485 -112.551
44.481 -112.574
44.481 -112.584
44.486 -112.594
44.491 -112.602
44.489 -112.63
44.486 -112.661
44.486 -112.664
44.487 -112.666
44.491 -112.671
44.496 -112.687
44.499 -112.697
44.503 -112.708
44.504 -112.719
44.499 -112.735
44.491 -112.749
44.489 -112.762
44.488 -112.763
44.485 -112.781
44.466 -112.798
44.456 -112.811
44.452 -112.816
44.442 -112.828
44.429 -112.834
44.423 -112.836
44.407 -112.822
44.399 -112.816
44.392 -112.813
44.387 -112.813
44.378 -112.813
44.378 -112.814
44.375 -112.816
44.371 -112.82
44.364 -112.833
44.358 -112.845
44.36 -112.855
44.371 -112.869
44.374 -112.874
44.378 -112.879
44.38 -112.882
44.396 -112.886
44.399 -112.9
44.403 -112.916
44.417 -112.951
44.424 -112.963
44.431 -112.976
44.434 -112.982
44.451 -113.004
44.463 -113.009
44.479 -113.015
44.494 -113.021
44.502 -113.02
44.52 -113.019
44.529 -113.02
44.537 -113.033
44.547 -113.043
44.557 -113.043
44.565 -113.042
44.574 -113.056
44.577 -113.061
44.582 -113.066
44.595 -113.077
44.602 -113.084
44.604 -113.082
44.614 -113.074
44.617 -113.066
44.619 -113.057
44.621 -113.054
44.629 -113.049
44.637 -113.052
44.644 -113.059
44.649 -113.066
44.656 -113.068
44.668 -113.07
44.673 -113.068
44.679 -113.068
44.691 -113.082
44.697 -113.098
44.709 -113.101
44.721 -113.102
44.729 -113.102
44.738 -113.117
44.751 -113.132
44.753 -113.135
44.76 -113.138
44.765 -113.131
44.773 -113.131
44.777 -113.141
44.781 -113.158
44.78 -113.161
44.779 -113.164
44.787 -113.179
44.794 -113.183
44.802 -113.194
44.809 -113.21
44.814 -113.239
44.823 -113.247
44.82 -113.257
44.814 -113.274
44.813 -113.278
44.803 -113.297
44.799 -113.302
44.79 -113.326
44.785 -113.342
44.792 -113.354
44.795 -113.355
44.799 -113.347
44.801 -113.346
44.82 -113.356
44.835 -113.377
44.837 -113.384
44.843 -113.422
44.865 -113.455
44.881 -113.462
44.882 -113.462
44.89 -113.466
44.911 -113.475
44.928 -113.491
44.942 -113.499
44.949 -113.494
44.95 -113.481
44.949 -113.475
44.948 -113.467
44.952 -113.453
44.954 -113.449
44.96 -113.444
44.976 -113.445
44.985 -113.447
44.999 -113.447
45.007 -113.438
45.01 -113.439
45.029 -113.447
45.035 -113.45
45.046 -113.449
45.059 -113.452
45.065 -113.461
45.063 -113.465
45.062 -113.474
45.064 -113.485
45.093 -113.52
45.1 -113.511
45.107 -113.507
45.115 -113.513
45.115 -113.516
45.115 -113.538
45.112 -113.546
45.113 -113.555
45.125 -113.57
45.128 -113.575
45.132 -113.577
45.151 -113.587
45.155 -113.589
45.161 -113.592
45.166 -113.595
45.17 -113.593
45.177 -113.59
45.191 -113.6
45.202 -113.619
45.208 -113.628
45.213 -113.637
45.22 -113.642
45.228 -113.647
45.235 -113.65
45.241 -113.657
45.246 -113.666
45.249 -113.674
45.249 -113.679
45.254 -113.685
45.259 -113.689
45.265 -113.692
45.271 -113.692
45.273 -113.69
45.276 -113.688
45.284 -113.689
45.291 -113.698
45.296 -113.703
45.3 -113.708
45.305 -113.713
45.325 -113.736
45.33 -113.739
45.346 -113.74
45.365 -113.736
45.373 -113.734
45.375 -113.734
45.385 -113.732
45.39 -113.733
45.392 -113.734
45.403 -113.751
45.407 -113.761
45.411 -113.765
45.418 -113.768
45.421 -113.767
45.428 -113.763
45.431 -113.764
