segment Mississippi
30.411 -89.68
30.414 -89.679
30.429 -89.681
30.434 -89.682
30.435 -89.684
30.44 -89.685
30.446 -89.683
30.452 -89.683
30.459 -89.69
30.46 -89.69
30.463 -89.696
30.464 -89.698
30.465 -89.702
30.472 -89.706
30.478 -89.71
30.478 -89.712
30.478 -89.716
30.483 -89.72
30.489 -89.721
30.489 -89.722
30.492 -89.725
30.492 -89.726
30.493 -89.726
30.494 -89.732
30.495 -89.735
30.497 -89.742
30.499 -89.743
30.503 -89.746
30.502 -89.753
30.505 -89.758
30.506 -89.759
30.511 -89.759
30.513 -89.759
30.516 -89.761
30.516 -89.762
30.515 -89.768
30.52 -89.769
30.522 -89.77
30.528 -89.771
30.53 -89.772
30.539 -89.775
30.544 -89.779
30.544 -89.78
30.545 -89.78
30.544 -89.784
30.544 -89.789
30.545 -89.791
30.545 -89.792
30.546 -89.794
30.547 -89.795
30.548 -89.795
30.548 -89.794
30.549 -89.792
30.552 -89.792
30.557 -89.795
30.558 -89.803
30.559 -89.804
30.56 -89.804
30.561 -89.804
30.562 -89.803
30.563 -89.803
30.563 -89.802
30.564 -89.802
30.564 -89.801
30.564 -89.8
30.562 -89.797
30.563 -89.792
30.565 -89.79
30.567 -89.79
30.568 -89.79
30.568 -89.791
30.57 -89.794
30.569 -89.799
30.569 -89.8
30.569 -89.802
30.568 -89.804
30.568 -89.806
30.568 -89.808
30.569 -89.808
30.571 -89.807
30.572 -89.807
30.573 -89.807
30.574 -89.807
30.585 -89.81
30.586 -89.808
30.587 -89.807
30.591 -89.812
30.592 -89.816
30.593 -89.819
30.595 -89.82
30.597 -89.82
30.601 -89.817
30.606 -89.815
30.608 -89.814
30.609 -89.815
30.609 -89.816
30.609 -89.817
30.608 -89.819
30.607 -89.821
30.608 -89.823
30.614 -89.822
30.618 -89.821
30.619 -89.821
30.62 -89.821
30.623 -89.823
30.625 -89.822
30.634 -89.818
30.644 -89.822
30.649 -89.825
30.658 -89.833
30.657 -89.836
30.659 -89.841
30.66 -89.848
30.661 -89.851
30.661 -89.852
30.662 -89.852
30.663 -89.852
30.664 -89.851
30.665 -89.851
30.665 -89.85
30.665 -89.849
30.665 -89.848
30.664 -89.847
30.664 -89.846
30.664 -89.843
30.669 -89.839
30.673 -89.838
30.674 -89.839
30.673 -89.841
30.672 -89.841
30.67 -89.842
30.669 -89.844
