segment Alabama
32.361 -84.985
32.359 -84.987
32.358 -84.989
32.351 -84.997
32.345 -85.005
32.337 -85.008
32.33 -85.007
32.328 -85.007
32.322 -85.002
32.321 -84.999
32.319 -84.99
32.307 -84.956
32.307 -84.955
32.305 -84.949
32.301 -84.939
32.298 -84.934
32.285 -84.923
32.277 -84.911
32.274 -84.904
32.266 -84.894
32.265 -84.893
32.263 -84.892
32.262 -84.891
32.26 -84.891
32.258 -84.892
32.258 -84.893
32.257 -84.898
32.256 -84.902
32.253 -84.902
32.251 -84.904
32.249 -84.907
32.248 -84.91
32.247 -84.912
32.245 -84.913
32.243 -84.913
32.237 -84.916
32.234 -84.921
32.232 -84.923
32.23 -84.924
32.229 -84.923
32.225 -84.923
32.222 -84.925
32.22 -84.928
32.219 -84.929
32.219 -84.93
32.218 -84.939
32.218 -84.949
32.217 -84.954
32.217 -84.957
32.216 -84.959
32.215 -84.959
32.214 -84.961
32.213 -84.962
32.211 -84.963
32.21 -84.965
32.209 -84.966
32.208 -84.966
32.207 -84.967
32.206 -84.967
32.204 -84.967
32.203 -84.966
32.201 -84.965
32.199 -84.965
32.197 -84.965
32.194 -84.967
32.192 -84.974
32.185 -84.996
32.182 -85.009
32.18 -85.011
32.179 -85.013
32.177 -85.015
32.166 -85.027
32.162 -85.03
32.156 -85.034
32.144 -85.046
32.142 -85.048
32.141 -85.049
32.136 -85.059
32.134 -85.061
32.132 -85.062
32.13 -85.062
32.125 -85.059
32.114 -85.055
32.108 -85.054
32.095 -85.05
32.09 -85.047
32.087 -85.047
32.085 -85.048
32.083 -85.051
32.081 -85.053
32.074 -85.056
32.073 -85.055
32.07 -85.054
32.068 -85.054
32.063 -85.056
32.06 -85.057
32.058 -85.056
32.054 -85.057
32.047 -85.059
32.044 -85.058
32.041 -85.055
32.039 -85.055
32.037 -85.055
32.035 -85.055
32.034 -85.055
32.032 -85.056
32.028 -85.056
32.027 -85.055
32.026 -85.054
32.024 -85.053
32.023 -85.053
32.022 -85.053
32.021 -85.054
32.017 -85.055
32.014 -85.054
32.011 -85.055
32.004 -85.063
32.002 -85.065
31.996 -85.067
31.993 -85.068
31.992 -85.068
31.987 -85.068
31.982 -85.071
31.978 -85.07
31.975 -85.067
31.972 -85.066
31.971 -85.066
31.967 -85.068
31.966 -85.07
31.964 -85.074
31.962 -85.083
31.961 -85.086
31.959 -85.087
31.958 -85.087
31.945 -85.082
31.941 -85.079
31.94 -85.079
31.937 -85.085
31.936 -85.086
31.929 -85.092
31.926 -85.098
31.925 -85.1
31.924 -85.1
31.919 -85.101
31.917 -85.102
31.914 -85.109
31.912 -85.113
31.91 -85.113
31.908 -85.11
31.905 -85.108
31.899 -85.111
31.897 -85.111
31.895 -85.112
31.893 -85.114
31.893 -85.117
31.893 -85.121
31.893 -85.133
31.892 -85.134
31.891 -85.134
31.89 -85.134
31.887 -85.132
31.884 -85.13
31.883 -85.13
31.882 -85.129
31.88 -85.128
31.878 -85.128
31.877 -85.129
31.876 -85.129
31.87 -85.134
31.862 -85.136
31.861 -85.137
31.859 -85.14
31.857 -85.141
31.855 -85.14
31.851 -85.138
31.846 -85.138
31.844 -85.138
31.841 -85.141
31.84 -85.142
31.839 -85.142
31.837 -85.141
31.835 -85.14
31.834 -85.139
31.83 -85.136
31.826 -85.134
31.819 -85.132
31.818 -85.131
31.816 -85.131
31.814 -85.131
31.813 -85.132
31.81 -85.132
31.808 -85.133
31.8 -85.133
31.799 -85.133
31.795 -85.132
31.792 -85.133
31.788 -85.137
31.782 -85.142
31.781 -85.141
31.78 -85.141
31.78 -85.14
31.775 -85.134
31.772 -85.131
31.769 -85.126
31.768 -85.126
31.767 -85.125
31.764 -85.126
31.762 -85.127
31.759 -85.129
31.758 -85.129
31.755 -85.128
31.752 -85.127
31.748 -85.124
31.733 -85.119
31.731 -85.119
31.723 -85.122
31.72 -85.125
31.719 -85.126
31.717 -85.127
31.709 -85.127
31.701 -85.126
31.698 -85.126
31.695 -85.126
31.695 -85.125
31.691 -85.122
31.687 -85.114
31.685 -85.113
31.677 -85.109
31.66 -85.093
31.66 -85.092
31.658 -85.089
31.658 -85.088
31.657 -85.085
31.656 -85.084
31.655 -85.082
31.653 -85.081
31.652 -85.081
31.651 -85.081
31.649 -85.083
31.644 -85.085
31.642 -85.085
31.641 -85.085
31.639 -85.085
31.638 -85.083
31.637 -85.08
31.63 -85.074
31.625 -85.068
31.624 -85.065
31.622 -85.06
31.62 -85.058
31.619 -85.057
31.617 -85.058
31.615 -85.058
31.611 -85.06
31.608 -85.061
31.607 -85.06
31.607 -85.057
31.605 -85.056
31.604 -85.056
31.601 -85.056
31.593 -85.058
31.584 -85.058
31.579 -85.055
31.577 -85.055
31.573 -85.058
31.571 -85.058
31.563 -85.053
31.558 -85.052
31.556 -85.051
31.549 -85.046
31.546 -85.043
31.545 -85.042
31.543 -85.042
31.542 -85.041
31.541 -85.041
31.538 -85.042
31.535 -85.043
31.534 -85.044
31.529 -85.047
31.528 -85.047
31.526 -85.048
31.524 -85.048
31.521 -85.045
31.518 -85.045
31.517 -85.045
31.517 -85.046
31.514 -85.048
31.507 -85.053
31.496 -85.059
31.488 -85.062
31.484 -85.066
31.468 -85.072
31.453 -85.069
31.447 -85.067
31.443 -85.066
31.44 -85.066
31.431 -85.066
31.429 -85.067
31.427 -85.069
31.427 -85.07
31.426 -85.073
31.425 -85.075
31.422 -85.076
31.416 -85.077
31.412 -85.08
31.41 -85.08
31.408 -85.079
31.403 -85.077
31.399 -85.078
31.396 -85.079
31.394 -85.08
31.385 -85.082
31.374 -85.087
31.372 -85.088
31.365 -85.092
31.363 -85.092
31.361 -85.093
31.359 -85.093
31.357 -85.093
31.355 -85.092
31.354 -85.091
31.354 -85.087
31.353 -85.086
31.35 -85.086
31.34 -85.087
31.338 -85.088
31.336 -85.089
31.334 -85.089
31.328 -85.084
31.318 -85.084
31.316 -85.084
31.311 -85.087
31.309 -85.088
31.304 -85.088
31.303 -85.088
31.295 -85.09
31.291 -85.092
31.29 -85.093
31.284 -85.099
31.282 -85.107
31.282 -85.11
31.28 -85.113
31.277 -85.115
31.276 -85.115
31.274 -85.113
31.272 -85.112
31.268 -85.112
31.264 -85.113
31.26 -85.112
31.258 -85.112
31.255 -85.109
31.248 -85.106
31.242 -85.104
31.238 -85.102
31.235 -85.101
31.233 -85.099
31.226 -85.097
31.22 -85.099
31.211 -85.099
31.21 -85.1
31.205 -85.106
31.203 -85.107
31.196 -85.108
31.19 -85.108
31.188 -85.108
31.187 -85.108
31.186 -85.108
31.186 -85.107
31.185 -85.107
31.186 -85.105
31.186 -85.104
31.185 -85.102
31.18 -85.099
31.178 -85.098
31.167 -85.1
31.165 -85.1
31.16 -85.092
31.16 -85.084
31.159 -85.083
