segment Nevada
42 -117.026
41.999 -117.018
41.998 -117.009
41.999 -116.969
41.998 -116.627
41.997 -116.626
41.997 -116.587
41.998 -116.582
41.998 -116.525
41.997 -116.51
41.997 -116.502
41.997 -116.5
41.997 -116.486
41.997 -116.483
41.997 -116.464
41.996 -116.378
41.996 -116.368
41.997 -116.333
41.998 -116.164
41.998 -116.161
41.997 -116.039
41.997 -116.031
41.998 -116.019
41.998 -116.012
41.999 -115.987
41.998 -115.888
41.998 -115.88
41.997 -115.87
41.997 -115.732
41.997 -115.626
41.997 -115.618
41.997 -115.587
41.996 -115.363
41.996 -115.352
41.996 -115.34
41.996 -115.314
41.996 -115.311
41.997 -115.255
41.997 -115.254
41.996 -115.251
41.996 -115.242
41.996 -115.038
41.996 -115.032
41.997 -114.989
41.998 -114.973
42 -114.914
42 -114.899
42.001 -114.876
42.002 -114.852
42.002 -114.844
42.002 -114.831
42.002 -114.808
42.002 -114.807
42.002 -114.806
41.998 -114.721
41.997 -114.669
41.995 -114.598
41.995 -114.498
41.995 -114.468
41.995 -114.397
41.994 -114.282
41.994 -114.107
41.994 -114.062
41.994 -114.048
41.994 -114.042
41.885 -114.04
41.851 -114.041
41.754 -114.04
41.751 -114.04
41.625 -114.04
41.615 -114.04
41.613 -114.04
41.534 -114.041
41.5 -114.041
41.492 -114.04
41.22 -114.041
41.211 -114.043
41.208 -114.041
41.117 -114.042
41 -114.042
40.942 -114.042
40.772 -114.043
40.759 -114.044
40.756 -114.044
40.736 -114.044
40.726 -114.044
40.507 -114.045
40.496 -114.046
40.494 -114.046
40.43 -114.045
40.425 -114.046
40.398 -114.046
40.232 -114.046
40.117 -114.047
40.116 -114.047
40.104 -114.047
40.098 -114.046
40.03 -114.047
40.003 -114.047
39.997 -114.047
39.981 -114.047
39.906 -114.047
39.821 -114.047
39.804 -114.048
39.794 -114.048
39.786 -114.048
39.779 -114.048
39.759 -114.047
39.543 -114.048
39.5 -114.047
39.498 -114.047
39.332 -114.048
39.006 -114.049
38.879 -114.048
38.876 -114.049
38.875 -114.049
38.75 -114.049
38.729 -114.05
38.677 -114.05
38.573 -114.05
38.548 -114.05
38.544 -114.05
38.5 -114.05
38.405 -114.05
38.265 -114.049
38.25 -114.05
38.149 -114.05
38 -114.05
37.942 -114.05
37.941 -114.05
37.881 -114.05
37.865 -114.05
37.853 -114.05
37.824 -114.05
37.81 -114.048
37.766 -114.05
37.756 -114.051
37.747 -114.052
37.746 -114.052
37.724 -114.052
37.605 -114.052
37.593 -114.053
37.518 -114.053
37.517 -114.053
37.503 -114.053
37.492 -114.053
37.472 -114.053
37.431 -114.052
37.418 -114.052
37.371 -114.052
37.37 -114.052
37.294 -114.052
37.293 -114.052
37.285 -114.052
37.284 -114.052
37.234 -114.051
37.172 -114.052
37.147 -114.052
37.134 -114.052
37.104 -114.053
37.091 -114.052
37.088 -114.052
37 -114.051
36.958 -114.05
