segment Michigan
47.974 -88.806
47.965 -88.832
47.965 -88.853
47.953 -88.899
47.946 -88.918
47.938 -88.924
47.924 -88.963
47.909 -88.969
47.902 -88.969
47.895 -88.958
47.895 -88.942
47.902 -88.9
47.901 -88.899
47.891 -88.912
47.867 -88.999
47.859 -89.023
47.856 -89.044
47.853 -89.056
47.836 -89.108
47.829 -89.124
47.824 -89.158
47.832 -89.19
47.833 -89.193
47.841 -89.192
47.85 -89.202
47.852 -89.235
47.854 -89.236
47.855 -89.235
47.858 -89.229
47.871 -89.247
47.87 -89.251
47.876 -89.255
47.889 -89.247
47.895 -89.226
47.901 -89.221
47.908 -89.221
47.914 -89.215
47.935 -89.179
47.968 -89.095
47.993 -89.018
48.002 -88.994
48.02 -88.941
48.022 -88.931
48.02 -88.928
48.021 -88.915
48.029 -88.895
48.032 -88.896
48.035 -88.894
48.057 -88.836
48.057 -88.816
48.055 -88.81
48.057 -88.807
48.063 -88.788
48.071 -88.772
48.079 -88.772
48.085 -88.764
48.093 -88.744
48.102 -88.728
48.111 -88.706
48.111 -88.695
48.116 -88.684
48.12 -88.676
48.125 -88.676
48.127 -88.674
48.139 -88.657
48.155 -88.614
48.162 -88.578
48.175 -88.547
48.165 -88.525
48.168 -88.501
48.175 -88.492
48.18 -88.482
48.184 -88.46
48.183 -88.447
48.191 -88.423
48.18 -88.418
48.171 -88.42
48.167 -88.427
48.163 -88.45
48.159 -88.46
48.153 -88.47
48.138 -88.486
48.122 -88.512
48.094 -88.567
48.084 -88.578
48.078 -88.578
48.075 -88.576
48.069 -88.574
48.064 -88.575
48.059 -88.58
48.011 -88.67
47.995 -88.719
47.981 -88.772
47.979 -88.792
47.974 -88.806
segment Michigan
46.566 -90.418
46.578 -90.395
46.592 -90.366
46.601 -90.348
46.601 -90.347
46.608 -90.328
46.607 -90.324
46.603 -90.307
46.619 -90.265
46.621 -90.254
46.622 -90.25
46.624 -90.238
46.646 -90.164
46.655 -90.101
46.668 -90.045
46.674 -90.028
46.693 -89.996
46.703 -89.986
46.704 -89.985
46.71 -89.974
46.711 -89.971
46.717 -89.957
46.729 -89.937
46.736 -89.926
46.74 -89.918
46.747 -89.911
46.75 -89.907
46.753 -89.904
46.762 -89.894
46.763 -89.892
46.766 -89.889
46.766 -89.888
46.785 -89.863
46.794 -89.851
46.795 -89.849
46.796 -89.849
46.797 -89.847
46.804 -89.832
46.814 -89.802
46.818 -89.792
46.818 -89.791
46.819 -89.79
46.821 -89.774
46.824 -89.76
46.83 -89.72
46.831 -89.708
46.833 -89.673
46.831 -89.661
46.825 -89.642
46.822 -89.638
46.819 -89.635
46.819 -89.619
46.824 -89.6
46.827 -89.589
46.832 -89.57
46.832 -89.565
46.835 -89.542
46.836 -89.536
46.839 -89.525
46.841 -89.517
46.842 -89.514
46.842 -89.499
46.84 -89.494
46.838 -89.491
46.837 -89.472
