segment Arizona
36.999 -109.381
36.999 -109.378
36.999 -109.341
36.999 -109.32
36.999 -109.27
36.999 -109.268
36.999 -109.263
36.999 -109.247
36.999 -109.234
36.999 -109.181
36.999 -109.045
36.969 -109.045
36.959 -109.045
36.898 -109.045
36.875 -109.045
36.871 -109.045
36.857 -109.045
36.774 -109.045
36.701 -109.045
36.5 -109.045
36.473 -109.045
36.38 -109.046
36.28 -109.046
36.258 -109.046
36.182 -109.046
36.153 -109.046
36.141 -109.046
36.117 -109.046
36.002 -109.046
35.973 -109.046
35.926 -109.046
35.889 -109.046
35.88 -109.046
35.83 -109.046
35.806 -109.046
35.756 -109.046
35.725 -109.046
35.709 -109.046
35.695 -109.046
35.662 -109.046
35.617 -109.046
35.614 -109.046
35.56 -109.046
35.553 -109.046
35.546 -109.047
35.546 -109.046
35.38 -109.047
35.375 -109.047
35.364 -109.047
35.339 -109.047
35.25 -109.046
35.214 -109.046
35.167 -109.046
34.96 -109.046
34.904 -109.046
34.871 -109.046
34.829 -109.046
34.814 -109.046
34.8 -109.046
34.785 -109.045
34.771 -109.046
34.579 -109.046
34.523 -109.046
34.522 -109.046
34.478 -109.046
34.167 -109.047
34 -109.047
33.875 -109.046
33.778 -109.047
33.74 -109.047
33.674 -109.047
33.625 -109.047
33.578 -109.047
33.46 -109.047
33.451 -109.047
33.44 -109.047
33.41 -109.047
33.375 -109.047
33.373 -109.047
33.369 -109.047
33.366 -109.047
33.365 -109.047
33.25 -109.047
33.209 -109.047
33.138 -109.047
33.107 -109.047
33.093 -109.047
33.092 -109.047
33.069 -109.047
33.068 -109.047
32.829 -109.047
32.778 -109.047
32.768 -109.047
32.693 -109.048
32.69 -109.048
32.686 -109.048
32.681 -109.048
32.426 -109.048
32.089 -109.048
32.084 -109.048
32.071 -109.048
32.028 -109.049
32.014 -109.049
31.871 -109.049
31.861 -109.049
31.844 -109.049
31.811 -109.049
31.797 -109.049
31.637 -109.049
31.5 -109.05
31.48 -109.05
31.333 -109.05
31.334 -109.278
31.334 -109.3
31.334 -109.322
31.334 -109.494
31.334 -109.505
31.334 -109.511
31.334 -109.528
31.334 -109.531
31.334 -109.537
31.334 -109.541
31.334 -109.546
31.334 -109.551
31.334 -109.56
31.334 -109.561
31.334 -109.563
31.334 -109.566
31.334 -109.569
31.334 -109.579
31.334 -109.618
31.334 -109.793
31.334 -109.83
31.334 -109.867
31.334 -109.917
31.333 -109.957
31.333 -110.001
31.333 -110.004
31.334 -110.136
31.334 -110.141
31.334 -110.205
31.333 -110.46
31.333 -110.622
31.333 -110.723
31.334 -110.761
31.334 -110.778
31.334 -110.795
31.333 -110.816
31.333 -110.85
31.333 -110.891
31.333 -110.913
31.333 -110.942
31.333 -110.943
31.333 -110.945
31.332 -110.965
31.332 -110.977
31.332 -111.001
31.332 -111.075
31.349 -111.126
31.426 -111.367
31.488 -111.56
31.508 -111.623
31.621 -111.979
31.704 -112.246
31.741 -112.365
31.742 -112.369
31.744 -112.376
31.748 -112.388
31.749 -112.39
31.752 -112.399
31.791 -112.526
31.816 -112.608
31.889 -112.847
31.895 -112.867
31.896 -112.868
31.973 -113.126
32.002 -113.217
32.039 -113.334
32.089 -113.493
32.169 -113.751
32.179 -113.782
32.26 -114.043
32.324 -114.251
32.4 -114.501
32.419 -114.564
32.441 -114.635
32.466 -114.718
32.476 -114.755
32.485 -114.782
32.494 -114.814
32.497 -114.814
32.5 -114.812
32.504 -114.814
32.505 -114.814
32.506 -114.813
32.507 -114.813
32.508 -114.812
32.508 -114.81
32.509 -114.808
32.509 -114.807
32.51 -114.806
32.512 -114.805
32.515 -114.804
32.517 -114.805
32.518 -114.805
32.52 -114.81
32.521 -114.81
32.522 -114.811
32.523 -114.811
32.524 -114.812
32.527 -114.811
32.528 -114.811
32.531 -114.806
32.536 -114.802
32.539 -114.802
32.542 -114.805
32.545 -114.806
32.546 -114.806
32.548 -114.804
32.551 -114.796
32.551 -114.795
32.552 -114.794
32.555 -114.792
32.556 -114.792
32.557 -114.792
32.559 -114.792
32.561 -114.792
32.561 -114.793
32.562 -114.793
32.564 -114.795
32.564 -114.796
32.564 -114.798
32.562 -114.804
32.562 -114.809
32.564 -114.811
32.565 -114.811
32.567 -114.811
32.57 -114.809
32.573 -114.804
32.576 -114.802
32.578 -114.801
32.581 -114.804
32.583 -114.804
32.585 -114.803
32.588 -114.8
32.592 -114.8
32.594 -114.8
32.597 -114.801
32.599 -114.802
32.601 -114.806
32.603 -114.808
32.609 -114.809
32.617 -114.809
32.618 -114.809
32.621 -114.807
32.625 -114.799
32.625 -114.798
32.622 -114.794
32.622 -114.791
32.625 -114.782
32.629 -114.783
32.63 -114.782
32.631 -114.781
32.633 -114.78
32.634 -114.779
32.636 -114.774
32.641 -114.767
32.643 -114.764
32.645 -114.763
32.646 -114.764
32.648 -114.765
32.649 -114.765
32.655 -114.758
32.658 -114.753
32.664 -114.748
32.668 -114.748
32.669 -114.747
32.672 -114.745
32.679 -114.744
32.699 -114.73
32.7 -114.73
32.704 -114.73
32.713 -114.723
32.719 -114.72
32.722 -114.718
32.728 -114.716
32.73 -114.715
32.742 -114.706
32.746 -114.702
32.746 -114.701
32.745 -114.699
32.738 -114.689
32.738 -114.684
32.737 -114.679
32.736 -114.677
32.734 -114.667
32.734 -114.666
32.734 -114.665
32.734 -114.659
32.734 -114.658
32.732 -114.647
32.732 -114.644
32.732 -114.64
32.731 -114.633
32.729 -114.625
32.729 -114.624
32.728 -114.618
32.728 -114.616
32.729 -114.616
32.734 -114.615
32.735 -114.613
32.735 -114.583
32.735 -114.582
32.742 -114.582
32.742 -114.565
32.75 -114.564
32.75 -114.551
32.75 -114.539
32.757 -114.539
32.757 -114.527
32.767 -114.528
32.774 -114.532
32.777 -114.532
32.783 -114.532
32.791 -114.532
32.793 -114.531
32.796 -114.529
32.802 -114.522
32.804 -114.52
32.806 -114.52
32.811 -114.515
32.816 -114.51
32.822 -114.497
32.822 -114.496
32.823 -114.494
32.827 -114.49
32.833 -114.483
32.839 -114.476
32.845 -114.469
32.875 -114.466
32.879 -114.466
32.883 -114.465
32.902 -114.463
32.903 -114.463
32.908 -114.463
32.912 -114.464
32.913 -114.464
32.921 -114.474
32.924 -114.477
32.928 -114.479
32.935 -114.481
32.937 -114.481
32.941 -114.478
32.945 -114.474
32.95 -114.472
32.954 -114.472
32.957 -114.472
32.959 -114.472
32.962 -114.472
32.964 -114.473
32.966 -114.473
32.969 -114.476
32.971 -114.479
32.972 -114.481
32.97 -114.489
32.97 -114.49
32.972 -114.493
32.974 -114.494
32.98 -114.496
32.991 -114.497
33.004 -114.5
33.009 -114.502
33.011 -114.503
33.013 -114.504
33.016 -114.505
33.017 -114.506
33.018 -114.507
33.023 -114.511
33.027 -114.515
33.027 -114.516
33.028 -114.517
33.03 -114.52
33.031 -114.524
33.032 -114.528
33.033 -114.535
33.033 -114.538
33.034 -114.541
33.034 -114.553
33.037 -114.572
33.037 -114.575
33.035 -114.578
33.033 -114.581
33.028 -114.585
33.027 -114.587
33.026 -114.59
33.025 -114.601
33.027 -114.619
33.029 -114.626
33.031 -114.628
33.039 -114.634
33.045 -114.64
33.047 -114.642
33.049 -114.646
33.047 -114.649
33.037 -114.655
33.034 -114.658
33.033 -114.66
33.033 -114.662
33.034 -114.665
33.038 -114.671
33.042 -114.674
33.048 -114.675
33.057 -114.674
33.071 -114.687
33.076 -114.689
33.079 -114.689
33.083 -114.689
33.084 -114.689
33.086 -114.693
33.086 -114.695
33.086 -114.701
33.087 -114.705
33.088 -114.706
33.091 -114.708
33.097 -114.708
33.105 -114.706
33.114 -114.704
33.131 -114.697
33.138 -114.69
33.142 -114.687
33.148 -114.684
33.155 -114.682
33.16 -114.679
33.163 -114.679
33.17 -114.68
33.175 -114.679
33.182 -114.676
33.185 -114.675
33.188 -114.675
33.2 -114.678
33.203 -114.679
33.211 -114.676
33.219 -114.674
33.223 -114.674
33.226 -114.674
33.23 -114.678
33.235 -114.683
33.245 -114.689
33.246 -114.69
33.248 -114.688
33.256 -114.674
33.258 -114.672
33.26 -114.672
33.27 -114.677
33.274 -114.681
33.276 -114.684
33.28 -114.694
33.282 -114.703
33.283 -114.711
33.285 -114.718
33.287 -114.722
33.288 -114.723
33.302 -114.731
33.304 -114.731
33.306 -114.73
33.312 -114.724
33.321 -114.711
33.323 -114.708
33.328 -114.705
33.337 -114.701
33.352 -114.698
33.357 -114.698
33.361 -114.699
33.373 -114.706
33.376 -114.707
33.377 -114.707
33.378 -114.707
33.381 -114.707
33.383 -114.707
33.384 -114.708
33.385 -114.709
33.388 -114.714
33.399 -114.723
33.402 -114.725
33.404 -114.726
33.405 -114.725
33.407 -114.724
33.408 -114.72
33.407 -114.711
33.408 -114.702
33.411 -114.698
33.412 -114.697
33.414 -114.697
33.415 -114.696
33.418 -114.688
33.418 -114.674
33.413 -114.658
33.413 -114.653
33.414 -114.65
33.417 -114.643
33.423 -114.635
33.428 -114.63
33.434 -114.627
33.448 -114.622
33.454 -114.623
33.457 -114.623
33.471 -114.612
33.475 -114.608
33.481 -114.602
33.484 -114.6
33.491 -114.597
33.499 -114.592
33.502 -114.588
33.506 -114.58
