segment Missouri
40.61 -91.832
40.61 -91.825
40.611 -91.814
40.611 -91.8
40.611 -91.795
40.611 -91.786
40.614 -91.729
40.602 -91.72
40.599 -91.717
40.595 -91.712
40.588 -91.696
40.583 -91.689
40.581 -91.686
40.579 -91.685
40.577 -91.686
40.565 -91.692
40.562 -91.692
40.56 -91.691
40.558 -91.69
40.557 -91.689
40.553 -91.682
40.551 -91.671
40.549 -91.654
40.546 -91.638
40.543 -91.625
40.542 -91.622
40.541 -91.62
40.539 -91.619
40.534 -91.618
40.526 -91.619
40.517 -91.622
40.514 -91.622
40.51 -91.621
40.507 -91.619
40.505 -91.617
40.502 -91.613
40.5 -91.608
40.498 -91.602
40.497 -91.6
40.495 -91.595
40.492 -91.591
40.492 -91.59
40.487 -91.587
40.479 -91.583
40.475 -91.582
40.473 -91.582
40.471 -91.58
40.466 -91.575
40.462 -91.568
40.461 -91.564
40.459 -91.553
40.458 -91.544
40.459 -91.529
40.459 -91.526
40.458 -91.525
40.456 -91.524
40.452 -91.523
40.45 -91.523
40.448 -91.524
40.447 -91.526
40.443 -91.532
40.441 -91.534
40.438 -91.534
40.437 -91.533
40.434 -91.529
40.433 -91.525
40.434 -91.52
40.433 -91.519
40.431 -91.519
40.426 -91.521
40.42 -91.527
40.417 -91.527
40.413 -91.526
40.411 -91.525
40.41 -91.522
40.409 -91.518
40.409 -91.514
40.407 -91.509
40.406 -91.507
40.404 -91.507
40.404 -91.505
40.403 -91.502
40.402 -91.498
40.402 -91.494
40.403 -91.493
40.404 -91.49
40.404 -91.489
40.404 -91.488
40.402 -91.488
40.4 -91.489
40.395 -91.491
40.393 -91.491
40.384 -91.485
40.382 -91.482
40.382 -91.48
40.383 -91.472
40.385 -91.465
40.381 -91.465
40.378 -91.466
40.376 -91.465
40.376 -91.464
40.375 -91.452
40.379 -91.448
40.386 -91.441
40.382 -91.426
40.381 -91.422
40.378 -91.419
40.372 -91.427
40.37 -91.429
40.367 -91.439
40.363 -91.445
40.362 -91.446
40.359 -91.448
40.354 -91.452
40.342 -91.462
40.334 -91.467
40.322 -91.47
40.317 -91.472
40.293 -91.486
40.286 -91.49
40.284 -91.49
40.283 -91.491
40.278 -91.493
40.275 -91.493
40.27 -91.493
40.265 -91.491
40.262 -91.49
40.259 -91.491
40.25 -91.496
40.249 -91.497
40.247 -91.498
40.247 -91.499
40.246 -91.501
40.243 -91.503
40.239 -91.506
40.236 -91.507
40.234 -91.506
40.232 -91.504
40.224 -91.504
40.216 -91.507
40.209 -91.507
40.205 -91.507
40.198 -91.504
40.196 -91.505
40.196 -91.506
40.191 -91.51
40.189 -91.511
40.181 -91.513
40.179 -91.513
40.17 -91.512
40.158 -91.508
40.156 -91.508
40.149 -91.512
40.147 -91.512
40.144 -91.512
40.141 -91.511
40.137 -91.511
40.133 -91.511
40.128 -91.51
40.122 -91.509
40.121 -91.509
40.119 -91.508
40.113 -91.507
40.108 -91.506
40.105 -91.505
40.104 -91.505
40.099 -91.503
40.091 -91.501
40.078 -91.498
40.071 -91.495
40.061 -91.491
40.06 -91.491
40.057 -91.49
40.051 -91.491
40.037 -91.495
40.036 -91.495
40.033 -91.493
40.032 -91.492
40.024 -91.488
40.023 -91.487
40.019 -91.484
40.009 -91.477
39.995 -91.469
39.991 -91.467
39.987 -91.467
39.984 -91.465
39.982 -91.464
39.98 -91.46
39.979 -91.459
39.971 -91.455
39.965 -91.45
39.96 -91.447
39.952 -91.442
39.951 -91.442
39.95 -91.441
39.948 -91.438
39.946 -91.437
39.946 -91.436
39.945 -91.435
39.941 -91.429
39.94 -91.429
39.939 -91.427
39.938 -91.426
39.933 -91.422
39.928 -91.419
39.922 -91.419
39.917 -91.42
39.915 -91.421
39.908 -91.429
39.9 -91.437
39.894 -91.444
39.883 -91.447
39.878 -91.448
39.87 -91.446
39.856 -91.44
39.846 -91.436
39.844 -91.435
39.841 -91.433
39.838 -91.43
39.83 -91.415
39.826 -91.406
39.821 -91.398
39.816 -91.386
39.811 -91.378
39.809 -91.375
39.8 -91.368
39.793 -91.363
39.788 -91.362
39.785 -91.362
39.783 -91.363
39.779 -91.365
39.775 -91.366
39.773 -91.366
39.765 -91.366
39.759 -91.365
39.756 -91.366
39.754 -91.367
39.745 -91.37
39.733 -91.37
39.729 -91.368
39.719 -91.357
39.716 -91.354
39.715 -91.353
39.712 -91.349
39.709 -91.345
39.703 -91.336
39.7 -91.332
39.7 -91.331
39.7 -91.33
39.693 -91.318
39.685 -91.307
39.684 -91.305
39.682 -91.304
39.68 -91.303
39.68 -91.302
39.679 -91.302
39.675 -91.294
39.67 -91.283
39.666 -91.276
39.657 -91.267
39.649 -91.26
39.646 -91.256
39.641 -91.249
39.637 -91.246
39.633 -91.244
39.63 -91.241
39.621 -91.229
39.618 -91.223
39.615 -91.217
39.605 -91.186
39.603 -91.182
39.598 -91.178
39.593 -91.175
39.592 -91.174
39.582 -91.172
39.57 -91.17
39.565 -91.168
39.559 -91.164
39.553 -91.159
39.552 -91.158
39.548 -91.154
39.546 -91.148
39.542 -91.127
39.541 -91.114
39.539 -91.1
39.529 -91.093
39.517 -91.086
39.508 -91.08
39.503 -91.075
39.495 -91.064
39.481 -91.063
39.474 -91.062
39.47 -91.06
39.469 -91.059
39.468 -91.058
39.463 -91.054
39.462 -91.053
39.46 -91.05
39.459 -91.05
39.457 -91.047
39.448 -91.038
39.447 -91.036
39.445 -91.033
39.441 -91.027
39.44 -91.026
39.439 -91.024
39.433 -91.012
39.428 -91.004
39.423 -90.994
39.42 -90.983
39.418 -90.978
39.414 -90.972
39.412 -90.967
39.412 -90.966
39.409 -90.957
39.408 -90.95
39.408 -90.949
39.408 -90.948
39.407 -90.947
39.404 -90.941
39.403 -90.939
39.402 -90.939
39.401 -90.938
39.401 -90.937
39.4 -90.937
39.399 -90.937
39.397 -90.936
39.393 -90.934
39.392 -90.934
39.391 -90.933
39.388 -90.929
39.385 -90.925
39.384 -90.921
39.383 -90.919
39.383 -90.917
39.382 -90.915
39.382 -90.913
39.381 -90.908
39.379 -90.905
39.378 -90.903
39.375 -90.903
