segment Hawaii
28.402 -178.297
28.407 -178.291
28.403 -178.291
28.394 -178.29
28.389 -178.295
28.385 -178.305
28.386 -178.312
28.386 -178.314
28.387 -178.331
28.389 -178.342
28.391 -178.341
28.392 -178.34
28.393 -178.333
28.393 -178.332
28.393 -178.321
28.395 -178.308
28.4 -178.299
28.402 -178.297
segment Hawaii
27.928 -175.736
27.927 -175.734
27.925 -175.735
27.922 -175.737
27.92 -175.74
27.92 -175.741
27.921 -175.741
27.923 -175.742
27.928 -175.737
27.928 -175.736
segment Hawaii
27.914 -175.74
27.914 -175.738
27.911 -175.741
27.909 -175.741
27.907 -175.741
27.908 -175.744
27.913 -175.744
27.915 -175.741
27.914 -175.74
segment Hawaii
27.782 -175.862
27.786 -175.863
27.787 -175.859
27.783 -175.858
27.782 -175.862
segment Hawaii
27.781 -175.808
27.781 -175.807
27.779 -175.808
27.778 -175.809
27.778 -175.811
27.778 -175.812
27.779 -175.815
27.779 -175.816
27.78 -175.818
27.781 -175.818
27.781 -175.817
27.782 -175.817
27.783 -175.812
27.782 -175.811
27.781 -175.808
segment Hawaii
27.764 -175.895
27.763 -175.896
27.762 -175.896
27.763 -175.905
27.765 -175.907
27.767 -175.905
27.765 -175.895
27.764 -175.895
segment Hawaii
27.758 -175.944
27.76 -175.934
27.756 -175.932
27.749 -175.93
27.748 -175.936
27.753 -175.942
27.758 -175.944
segment Hawaii
26.086 -173.983
26.089 -173.969
26.08 -173.959
26.062 -173.957
26.056 -173.965
26.063 -173.978
26.086 -173.983
segment Hawaii
25.792 -171.738
25.79 -171.722
25.777 -171.718
25.763 -171.72
25.751 -171.731
25.751 -171.746
25.754 -171.748
25.759 -171.751
25.76 -171.751
25.781 -171.751
25.792 -171.738
segment Hawaii
25.003 -167.997
25.002 -167.996
24.999 -167.996
24.998 -167.996
24.997 -167.999
24.999 -167.999
25.002 -168
25.005 -168.001
25.004 -167.998
25.003 -167.997
segment Hawaii
23.87 -166.246
23.869 -166.247
23.868 -166.248
23.869 -166.253
23.873 -166.253
23.872 -166.245
23.87 -166.246
segment Hawaii
23.865 -166.29
23.865 -166.291
23.864 -166.293
23.866 -166.298
23.87 -166.297
23.873 -166.284
23.87 -166.279
23.866 -166.28
23.865 -166.29
segment Hawaii
23.86 -166.218
23.856 -166.217
23.854 -166.217
23.854 -166.221
23.858 -166.224
23.862 -166.227
23.866 -166.226
23.861 -166.218
23.86 -166.218
segment Hawaii
23.787 -166.215
23.787 -166.212
23.786 -166.211
23.784 -166.209
23.782 -166.209
23.782 -166.212
23.783 -166.213
23.784 -166.214
23.786 -166.215
23.787 -166.215
segment Hawaii
23.735 -166.173
23.734 -166.172
23.731 -166.17
23.728 -166.17
23.727 -166.17
23.726 -166.17
23.728 -166.173
23.729 -166.173
23.73 -166.173
23.731 -166.174
23.736 -166.174
23.735 -166.173
segment Hawaii
23.584 -164.711
23.579 -164.704
23.578 -164.703
23.577 -164.701
23.575 -164.689
23.569 -164.694
23.569 -164.706
23.576 -164.712
23.584 -164.711
segment Hawaii
23.072 -161.938
23.066 -161.911
23.055 -161.91
23.05 -161.923
23.054 -161.936
23.072 -161.938
segment Hawaii
22.227 -159.467
22.229 -159.456
22.226 -159.442
22.22 -159.432
22.224 -159.423
22.224 -159.422
22.231 -159.407
22.223 -159.389
22.223 -159.388
22.22 -159.386
22.216 -159.372
22.215 -159.368
22.215 -159.36
22.218 -159.357
22.218 -159.354
22.209 -159.34
22.207 -159.338
22.202 -159.332
22.193 -159.323
22.187 -159.316
22.179 -159.314
22.176 -159.313
22.174 -159.313
22.17 -159.312
22.167 -159.311
22.165 -159.311
22.163 -159.31
22.16 -159.31
22.158 -159.309
22.157 -159.309
22.156 -159.309
22.155 -159.307
22.151 -159.301
22.151 -159.3
22.15 -159.298
22.146 -159.296
22.145 -159.296
22.14 -159.296
22.134 -159.295
22.13 -159.295
22.124 -159.296
22.117 -159.297
22.114 -159.297
22.103 -159.304
22.097 -159.308
22.095 -159.308
22.081 -159.317
22.08 -159.318
22.075 -159.319
22.074 -159.319
22.063 -159.322
22.062 -159.322
22.059 -159.325
22.055 -159.333
22.053 -159.335
22.049 -159.337
22.048 -159.337
22.047 -159.338
22.029 -159.341
22.003 -159.338
21.997 -159.337
21.983 -159.335
21.978 -159.334
21.973 -159.333
21.964 -159.333
21.961 -159.335
21.958 -159.339
21.956 -159.342
21.951 -159.351
21.94 -159.357
21.924 -159.382
21.909 -159.398
21.898 -159.408
21.89 -159.419
21.885 -159.426
21.883 -159.429
21.881 -159.432
21.875 -159.441
21.872 -159.447
21.883 -159.472
21.885 -159.478
21.888 -159.489
21.889 -159.491
21.89 -159.506
21.891 -159.518
21.891 -159.541
21.891 -159.555
21.897 -159.575
21.9 -159.578
21.899 -159.583
21.899 -159.584
21.899 -159.587
21.899 -159.592
21.899 -159.594
21.899 -159.597
21.898 -159.608
21.898 -159.61
21.899 -159.611
21.904 -159.618
21.908 -159.624
21.909 -159.625
21.913 -159.632
21.917 -159.638
21.923 -159.642
21.933 -159.648
21.954 -159.669
21.957 -159.672
21.96 -159.682
21.962 -159.695
21.963 -159.705
21.968 -159.715
21.971 -159.72
21.975 -159.736
21.981 -159.758
21.987 -159.766
21.996 -159.772
22.012 -159.784
22.018 -159.788
22.031 -159.791
22.049 -159.789
22.05 -159.788
22.064 -159.787
22.073 -159.78
22.1 -159.748
22.116 -159.741
22.129 -159.737
22.133 -159.736
22.143 -159.733
22.152 -159.726
22.165 -159.7
22.167 -159.692
22.171 -159.67
22.184 -159.648
22.186 -159.644
22.208 -159.609
22.219 -159.592
22.227 -159.584
22.228 -159.575
22.229 -159.564
22.229 -159.56
22.228 -159.554
22.226 -159.549
22.221 -159.545
22.22 -159.544
22.217 -159.541
22.219 -159.535
22.218 -159.524
22.216 -159.519
22.215 -159.519
22.211 -159.518
22.209 -159.516
22.208 -159.516
22.208 -159.515
22.207 -159.514
22.207 -159.512
22.206 -159.508
22.211 -159.501
22.217 -159.501
22.218 -159.501
22.226 -159.501
22.233 -159.489
22.233 -159.48
22.227 -159.467
segment Hawaii
21.791 -160.228
21.795 -160.235
21.81 -160.246
21.813 -160.248
21.815 -160.25
21.849 -160.245
21.851 -160.244
21.869 -160.237
21.88 -160.234
21.88 -160.233
21.886 -160.231
21.889 -160.229
21.899 -160.214
21.908 -160.206
21.912 -160.203
21.92 -160.195
21.922 -160.192
21.924 -160.19
21.933 -160.167
21.949 -160.137
21.956 -160.127
21.959 -160.125
21.963 -160.122
21.973 -160.119
21.978 -160.118
21.995 -160.113
21.999 -160.104
22 -160.1
22.001 -160.096
22.002 -160.088
22.003 -160.074
22.003 -160.072
21.996 -160.059
21.984 -160.052
21.98 -160.053
21.978 -160.056
21.977 -160.061
21.978 -160.063
21.977 -160.066
21.955 -160.078
21.927 -160.086
21.911 -160.08
21.896 -160.079
21.885 -160.099
21.884 -160.101
21.883 -160.104
21.877 -160.124
21.873 -160.148
21.865 -160.162
21.847 -160.175
21.822 -160.19
21.789 -160.205
21.786 -160.2
21.78 -160.206
21.782 -160.212
21.782 -160.214
21.784 -160.218
21.789 -160.225
21.789 -160.226
21.79 -160.227
21.791 -160.228
segment Hawaii
21.696 -157.953
21.69 -157.947
21.676 -157.942
21.669 -157.939
21.659 -157.932
21.655 -157.93
21.651 -157.925
21.65 -157.924
21.649 -157.924
21.647 -157.924
21.638 -157.923
21.636 -157.923
21.629 -157.924
21.626 -157.921
21.62 -157.917
21.618 -157.916
21.611 -157.911
21.606 -157.901
21.601 -157.897
21.586 -157.886
21.575 -157.877
21.56 -157.879
21.558 -157.873
21.564 -157.867
21.561 -157.856
21.558 -157.853
21.548 -157.847
21.538 -157.842
21.53 -157.837
21.512 -157.837
21.51 -157.85
21.505 -157.851
21.5 -157.853
21.485 -157.849
21.48 -157.848
21.473 -157.847
21.467 -157.845
21.462 -157.842
21.459 -157.841
21.459 -157.84
21.459 -157.839
21.455 -157.825
21.45 -157.816
21.44 -157.814
21.43 -157.806
21.427 -157.801
21.423 -157.797
21.421 -157.794
21.416 -157.787
