segment Wisconsin
46.021 -88.533
46.021 -88.532
46.021 -88.527
46.02 -88.523
46.02 -88.515
46.019 -88.51
46.018 -88.507
46.017 -88.506
46.013 -88.506
46 -88.5
46 -88.499
46 -88.498
45.999 -88.497
45.998 -88.497
45.996 -88.498
45.995 -88.497
45.992 -88.492
45.991 -88.487
45.992 -88.48
45.992 -88.479
45.992 -88.478
45.993 -88.477
45.993 -88.476
45.994 -88.475
45.995 -88.474
45.997 -88.475
45.999 -88.475
46.001 -88.471
46.001 -88.47
46.001 -88.468
46.001 -88.466
45.999 -88.459
45.998 -88.454
45.996 -88.454
45.993 -88.454
45.99 -88.45
45.99 -88.449
45.991 -88.443
45.99 -88.44
45.988 -88.436
45.986 -88.434
45.984 -88.426
45.982 -88.423
45.98 -88.422
45.979 -88.423
45.977 -88.42
45.975 -88.417
45.975 -88.415
45.979 -88.411
45.98 -88.41
45.981 -88.403
45.98 -88.399
45.98 -88.395
45.983 -88.389
45.988 -88.384
45.99 -88.385
45.992 -88.38
45.989 -88.376
45.989 -88.375
45.984 -88.365
45.979 -88.355
45.969 -88.335
45.966 -88.33
45.964 -88.328
45.959 -88.328
45.957 -88.33
45.955 -88.327
45.955 -88.326
45.96 -88.321
45.961 -88.317
45.959 -88.31
45.956 -88.301
45.954 -88.297
45.951 -88.295
45.951 -88.292
45.955 -88.283
45.957 -88.268
45.959 -88.259
45.963 -88.256
45.964 -88.255
45.963 -88.25
45.964 -88.25
45.964 -88.249
45.963 -88.246
45.959 -88.246
45.957 -88.247
45.954 -88.246
45.952 -88.244
45.95 -88.243
45.949 -88.24
45.947 -88.233
45.948 -88.228
45.949 -88.224
45.949 -88.222
45.947 -88.215
45.945 -88.211
45.944 -88.211
45.944 -88.21
45.945 -88.202
45.95 -88.202
45.953 -88.198
45.953 -88.196
45.953 -88.192
45.952 -88.19
45.947 -88.178
45.945 -88.176
45.941 -88.173
45.939 -88.17
45.938 -88.164
45.939 -88.163
45.939 -88.159
45.937 -88.152
45.935 -88.146
45.934 -88.146
45.931 -88.141
45.93 -88.14
45.926 -88.127
45.925 -88.126
45.924 -88.126
45.923 -88.127
45.922 -88.128
45.921 -88.126
45.921 -88.125
45.921 -88.122
45.921 -88.119
45.922 -88.115
45.922 -88.105
45.922 -88.103
45.917 -88.096
45.915 -88.095
45.914 -88.095
45.912 -88.099
45.911 -88.102
45.907 -88.105
45.904 -88.106
45.901 -88.106
45.897 -88.106
45.897 -88.105
45.884 -88.102
45.883 -88.101
45.881 -88.1
45.88 -88.096
45.881 -88.084
45.881 -88.082
45.876 -88.074
45.872 -88.073
45.865 -88.075
45.864 -88.078
45.865 -88.082
45.865 -88.083
45.862 -88.085
45.857 -88.087
45.856 -88.089
45.85 -88.098
45.841 -88.107
45.839 -88.109
45.839 -88.112
45.838 -88.114
45.833 -88.121
45.832 -88.122
45.831 -88.122
45.83 -88.123
45.829 -88.124
45.827 -88.128
45.823 -88.134
45.822 -88.135
45.821 -88.135
45.819 -88.136
45.811 -88.132
45.809 -88.129
45.804 -88.117
45.804 -88.116
45.804 -88.113
45.804 -88.11
45.803 -88.109
45.803 -88.108
45.8 -88.105
45.799 -88.106
45.798 -88.106
45.791 -88.103
45.79 -88.1
45.786 -88.094
45.785 -88.089
45.785 -88.08
45.784 -88.078
45.782 -88.077
45.782 -88.076
45.781 -88.076
45.78 -88.072
45.781 -88.061
45.781 -88.058
45.781 -88.051
45.783 -88.049
45.784 -88.045
45.786 -88.041
45.789 -88.04
45.79 -88.04
45.79 -88.034
45.789 -88.031
45.789 -88.027
45.79 -88.024
45.792 -88.019
45.792 -88.018
45.792 -88.017
45.792 -88.014
45.792 -88.007
45.794 -88.002
45.794 -88.001
45.795 -87.998
45.795 -87.996
45.795 -87.993
45.795 -87.991
45.795 -87.99
45.793 -87.988
45.783 -87.983
45.777 -87.981
45.775 -87.982
45.775 -87.983
45.775 -87.986
45.773 -87.99
45.772 -87.99
45.772 -87.989
45.77 -87.986
45.767 -87.977
45.766 -87.973
45.766 -87.972
45.764 -87.967
45.761 -87.964
45.759 -87.965
45.759 -87.964
45.758 -87.963
45.757 -87.959
