segment Tennessee
36.652 -86.605
36.652 -86.59
36.633 -86.564
36.638 -86.551
36.645 -86.55
36.644 -86.543
36.641 -86.544
36.642 -86.538
36.652 -86.508
36.652 -86.473
36.652 -86.472
36.652 -86.468
36.651 -86.411
36.65 -86.401
36.65 -86.375
36.65 -86.374
36.65 -86.359
36.649 -86.34
36.649 -86.333
36.649 -86.332
36.645 -86.293
36.644 -86.264
36.641 -86.222
36.641 -86.219
36.641 -86.216
36.64 -86.205
36.639 -86.198
36.636 -86.128
36.635 -86.114
36.634 -86.094
36.634 -86.082
36.634 -86.081
36.631 -86.038
36.63 -86.033
36.63 -86.006
36.629 -85.988
36.629 -85.977
36.628 -85.972
36.628 -85.96
36.626 -85.921
36.625 -85.904
36.624 -85.874
36.622 -85.832
36.622 -85.801
36.622 -85.789
36.621 -85.753
36.62 -85.732
36.619 -85.7
36.619 -85.694
36.618 -85.678
36.618 -85.666
36.616 -85.588
36.616 -85.587
36.616 -85.552
36.616 -85.551
36.615 -85.502
36.615 -85.488
36.619 -85.43
36.623 -85.334
36.625 -85.325
36.624 -85.3
36.626 -85.296
36.626 -85.291
36.627 -85.276
36.626 -85.212
36.626 -85.208
36.625 -85.195
36.625 -85.17
36.622 -85.096
36.622 -85.086
36.62 -85.05
36.619 -85.025
36.617 -84.986
36.616 -84.975
36.613 -84.944
36.606 -84.86
36.605 -84.843
36.604 -84.804
36.603 -84.785
36.6 -84.642
36.6 -84.638
36.6 -84.625
36.597 -84.562
36.596 -84.543
36.596 -84.521
36.597 -84.5
36.596 -84.451
36.596 -84.45
36.596 -84.443
36.596 -84.441
36.596 -84.439
36.596 -84.436
36.596 -84.435
36.595 -84.418
36.592 -84.271
36.592 -84.261
36.592 -84.227
36.592 -84.198
36.592 -84.191
36.592 -84.15
36.591 -84.128
36.591 -84.126
36.591 -84.123
36.591 -84.105
36.59 -84.021
36.59 -83.988
36.588 -83.928
36.586 -83.894
36.584 -83.789
36.583 -83.691
36.584 -83.689
36.587 -83.688
36.592 -83.683
36.594 -83.68
36.597 -83.677
36.598 -83.676
36.599 -83.676
36.601 -83.675
36.601 -83.67
36.6 -83.66
36.6 -83.65
36.6 -83.646
36.6 -83.642
36.599 -83.637
36.598 -83.623
