segment Nebraska
42.88 -98.297
42.875 -98.28
42.874 -98.268
42.874 -98.258
42.873 -98.252
42.872 -98.25
42.868 -98.247
42.861 -98.232
42.858 -98.227
42.856 -98.224
42.853 -98.22
42.847 -98.205
42.842 -98.19
42.837 -98.171
42.837 -98.168
42.837 -98.163
42.84 -98.148
42.84 -98.147
42.833 -98.138
42.821 -98.129
42.82 -98.127
42.811 -98.108
42.808 -98.105
42.799 -98.095
42.796 -98.088
42.794 -98.083
42.785 -98.067
42.781 -98.063
42.778 -98.061
42.773 -98.06
42.771 -98.057
42.769 -98.052
42.768 -98.047
42.768 -98.046
42.768 -98.045
42.767 -98.042
42.767 -98.04
42.766 -98.038
42.766 -98.037
42.764 -98.035
42.762 -98.017
42.762 -98.013
42.764 -98.006
42.763 -98.003
42.763 -98
42.765 -97.993
42.77 -97.978
42.769 -97.962
42.769 -97.953
42.77 -97.95
42.776 -97.937
42.778 -97.933
42.787 -97.923
42.788 -97.921
42.789 -97.921
42.79 -97.916
42.795 -97.909
42.799 -97.905
42.812 -97.894
42.815 -97.89
42.817 -97.889
42.826 -97.885
42.835 -97.88
42.844 -97.879
42.848 -97.876
42.85 -97.876
42.853 -97.877
42.854 -97.877
42.859 -97.875
42.863 -97.866
42.865 -97.858
42.868 -97.845
42.869 -97.834
42.869 -97.828
42.868 -97.826
42.862 -97.817
42.858 -97.801
42.853 -97.788
42.85 -97.774
42.849 -97.765
42.849 -97.754
42.849 -97.75
42.847 -97.721
42.847 -97.72
42.844 -97.701
42.842 -97.687
42.843 -97.668
42.844 -97.66
42.845 -97.658
42.846 -97.653
42.847 -97.651
42.848 -97.647
42.854 -97.628
42.857 -97.62
42.857 -97.617
42.858 -97.612
42.858 -97.604
42.858 -97.603
42.856 -97.599
42.854 -97.592
42.85 -97.575
42.848 -97.562
42.848 -97.547
42.85 -97.532
42.854 -97.516
42.858 -97.505
42.857 -97.5
42.855 -97.499
42.853 -97.496
42.852 -97.491
42.85 -97.485
42.85 -97.471
42.849 -97.462
42.848 -97.459
42.847 -97.456
42.846 -97.452
42.846 -97.442
42.847 -97.439
42.851 -97.432
42.852 -97.432
42.857 -97.426
42.858 -97.425
42.861 -97.423
42.866 -97.417
42.867 -97.414
42.867 -97.413
42.868 -97.413
42.868 -97.41
42.868 -97.408
42.868 -97.407
42.868 -97.405
42.868 -97.404
42.867 -97.404
42.865 -97.399
42.864 -97.394
42.865 -97.377
42.863 -97.375
42.858 -97.369
42.858 -97.367
42.855 -97.362
42.855 -97.36
42.856 -97.341
42.857 -97.336
42.858 -97.331
42.859 -97.329
42.86 -97.329
42.861 -97.327
42.861 -97.326
42.862 -97.324
42.863 -97.319
42.863 -97.318
42.866 -97.311
42.867 -97.309
42.868 -97.307
42.867 -97.306
42.866 -97.303
42.866 -97.302
42.855 -97.29
42.853 -97.268
42.854 -97.257
42.854 -97.256
42.855 -97.252
42.855 -97.251
42.855 -97.249
42.853 -97.238
42.851 -97.232
42.846 -97.22
42.846 -97.219
42.845 -97.219
42.844 -97.217
42.83 -97.218
42.828 -97.218
42.823 -97.215
42.822 -97.215
42.821 -97.214
42.82 -97.214
42.813 -97.213
42.811 -97.212
42.809 -97.21
42.807 -97.205
42.805 -97.2
42.805 -97.189
42.805 -97.188
42.803 -97.178
42.803 -97.172
42.802 -97.167
42.801 -97.164
42.796 -97.151
42.79 -97.145
42.789 -97.144
42.788 -97.143
42.787 -97.141
42.783 -97.138
42.782 -97.137
42.781 -97.137
42.779 -97.137
42.775 -97.135
42.774 -97.134
42.773 -97.133
42.772 -97.132
42.772 -97.131
42.769 -97.112
42.77 -97.101
42.769 -97.096
42.77 -97.085
42.771 -97.079
42.772 -97.072
42.772 -97.066
42.77 -97.052
42.766 -97.033
42.764 -97.03
42.763 -97.026
42.762 -97.025
42.762 -97.022
42.762 -97.016
42.759 -96.993
42.761 -96.982
42.76 -96.982
42.76 -96.98
42.76 -96.979
42.758 -96.975
42.754 -96.969
42.741 -96.962
42.741 -96.961
42.739 -96.961
42.737 -96.961
42.727 -96.966
42.725 -96.966
42.722 -96.965
42.721 -96.964
42.72 -96.962
42.719 -96.956
42.719 -96.949
42.722 -96.941
42.723 -96.937
