segment Oregon
46.259 -123.548
46.261 -123.538
46.263 -123.526
46.266 -123.516
46.271 -123.501
46.269 -123.48
46.268 -123.475
46.265 -123.469
46.25 -123.448
46.229 -123.428
46.182 -123.431
46.146 -123.371
46.146 -123.364
46.146 -123.332
46.145 -123.301
46.145 -123.28
46.156 -123.251
46.166 -123.231
46.173 -123.213
46.189 -123.166
46.185 -123.116
46.178 -123.105
46.154 -123.051
46.146 -123.041
46.144 -123.034
46.139 -123.022
46.136 -123.009
46.134 -123.005
46.134 -123.004
46.111 -122.972
46.105 -122.963
46.097 -122.94
46.096 -122.937
46.084 -122.904
46.062 -122.886
46.06 -122.884
46.031 -122.878
46.014 -122.856
45.981 -122.838
45.961 -122.814
45.932 -122.806
45.914 -122.811
45.913 -122.812
45.907 -122.809
45.906 -122.808
45.903 -122.807
45.89 -122.801
45.884 -122.798
45.881 -122.795
45.88 -122.795
45.868 -122.785
45.864 -122.785
45.858 -122.785
45.851 -122.786
45.844 -122.786
45.825 -122.796
45.81 -122.796
45.781 -122.77
45.759 -122.761
45.734 -122.76
45.728 -122.762
45.7 -122.773
45.68 -122.775
45.657 -122.764
45.656 -122.762
45.644 -122.738
45.637 -122.713
45.625 -122.691
45.618 -122.675
45.61 -122.644
45.608 -122.605
45.608 -122.603
45.605 -122.586
45.604 -122.581
45.597 -122.549
45.597 -122.548
45.59 -122.524
45.583 -122.492
45.58 -122.479
45.578 -122.475
45.567 -122.454
45.564 -122.439
45.567 -122.418
45.568 -122.411
45.571 -122.401
45.575 -122.392
45.576 -122.38
45.569 -122.353
45.548 -122.331
45.544 -122.295
45.544 -122.267
45.544 -122.263
45.548 -122.249
45.564 -122.202
45.578 -122.184
45.585 -122.141
45.583 -122.13
45.583 -122.129
45.583 -122.126
45.581 -122.112
45.584 -122.102
45.61 -122.044
45.615 -122.023
45.616 -122.004
45.623 -121.983
45.625 -121.98
45.633 -121.964
45.644 -121.956
45.645 -121.952
45.644 -121.935
45.649 -121.922
45.654 -121.908
45.658 -121.904
45.662 -121.901
45.671 -121.902
45.688 -121.876
45.693 -121.867
45.707 -121.811
45.702 -121.784
45.694 -121.735
45.695 -121.707
45.705 -121.668
45.705 -121.638
45.705 -121.631
45.72 -121.563
45.726 -121.535
45.727 -121.533
45.726 -121.532
45.725 -121.522
45.723 -121.51
45.721 -121.499
45.718 -121.495
45.701 -121.463
45.697 -121.441
45.694 -121.424
45.693 -121.402
45.703 -121.373
45.703 -121.365
45.705 -121.338
45.7 -121.312
45.687 -121.287
45.678 -121.251
45.671 -121.216
45.65 -121.2
45.634 -121.196
45.63 -121.195
45.621 -121.196
45.617 -121.197
45.606 -121.184
45.606 -121.17
45.606 -121.168
45.608 -121.146
45.612 -121.139
45.61 -121.132
45.615 -121.124
45.616 -121.122
45.618 -121.117
45.623 -121.12
45.648 -121.085
45.653 -121.064
45.651 -121.034
45.653 -121.007
45.648 -120.983
45.649 -120.978
45.657 -120.953
45.656 -120.944
45.641 -120.916
45.64 -120.913
45.643 -120.896
45.661 -120.87
45.672 -120.856
45.676 -120.836
45.686 -120.789
