segment Maine
47.398 -69.041
47.397 -69.042
47.397 -69.043
47.392 -69.045
47.389 -69.044
47.388 -69.043
47.386 -69.04
47.385 -69.039
47.384 -69.044
47.384 -69.046
47.378 -69.054
47.328 -69.053
47.316 -69.055
47.306 -69.049
47.3 -69.051
47.298 -69.053
47.294 -69.053
47.293 -69.052
47.293 -69.051
47.292 -69.05
47.285 -69.049
47.281 -69.05
47.277 -69.05
47.274 -69.048
47.267 -69.047
47.263 -69.048
47.262 -69.049
47.26 -69.05
47.257 -69.051
47.257 -69.05
47.245 -69.04
47.241 -69.033
47.241 -69.03
47.238 -69.024
47.23 -69.004
47.225 -68.993
47.22 -68.981
47.217 -68.975
47.214 -68.972
47.213 -68.966
47.206 -68.961
47.205 -68.958
47.207 -68.953
47.206 -68.953
47.203 -68.952
47.202 -68.95
47.203 -68.949
47.206 -68.942
47.202 -68.936
47.197 -68.93
47.197 -68.928
47.198 -68.926
47.198 -68.925
47.195 -68.92
47.19 -68.92
47.189 -68.917
47.186 -68.91
47.181 -68.905
47.179 -68.902
47.179 -68.901
47.181 -68.899
47.183 -68.896
47.183 -68.893
47.182 -68.89
47.183 -68.882
47.187 -68.878
47.188 -68.874
47.189 -68.871
47.19 -68.863
47.191 -68.858
47.193 -68.853
47.198 -68.849
47.203 -68.836
47.204 -68.832
47.205 -68.831
47.207 -68.827
47.209 -68.824
47.213 -68.816
47.215 -68.812
47.216 -68.804
47.222 -68.781
47.221 -68.77
47.222 -68.764
47.223 -68.763
47.227 -68.752
47.231 -68.745
47.236 -68.735
47.241 -68.718
47.241 -68.714
47.24 -68.711
47.239 -68.709
47.238 -68.705
47.241 -68.698
47.243 -68.693
47.244 -68.69
47.244 -68.688
47.244 -68.683
47.243 -68.677
47.243 -68.676
47.242 -68.675
47.237 -68.664
47.236 -68.662
47.237 -68.658
47.239 -68.654
47.24 -68.648
47.241 -68.639
47.242 -68.625
47.243 -68.62
47.247 -68.609
47.247 -68.608
47.249 -68.605
47.258 -68.595
47.259 -68.594
47.261 -68.594
47.263 -68.595
47.268 -68.599
47.27 -68.599
47.272 -68.597
47.275 -68.593
47.28 -68.591
47.282 -68.589
47.285 -68.583
47.286 -68.582
47.287 -68.579
47.288 -68.579
47.287 -68.577
47.287 -68.571
47.284 -68.56
47.282 -68.554
47.282 -68.552
47.283 -68.547
47.285 -68.54
47.293 -68.529
47.295 -68.523
47.296 -68.518
47.297 -68.507
47.296 -68.504
47.294 -68.497
47.294 -68.491
47.295 -68.487
47.297 -68.479
47.298 -68.475
47.297 -68.47
47.295 -68.466
47.292 -68.464
47.289 -68.462
47.286 -68.46
47.285 -68.458
47.283 -68.45
47.283 -68.449
47.283 -68.448
47.283 -68.443
47.282 -68.433
47.282 -68.431
47.282 -68.429
47.282 -68.428
47.283 -68.426
47.283 -68.425
47.288 -68.416
47.288 -68.413
47.287 -68.39
47.287 -68.383
47.287 -68.382
47.287 -68.38
47.288 -68.379
47.288 -68.378
47.288 -68.377
47.289 -68.377
47.289 -68.376
47.29 -68.376
47.292 -68.376
47.294 -68.376
47.296 -68.377
47.297 -68.379
47.298 -68.379
47.302 -68.384
47.303 -68.385
47.305 -68.385
47.308 -68.382
47.309 -68.381
47.31 -68.381
47.322 -68.385
47.326 -68.384
47.327 -68.384
47.34 -68.38
47.343 -68.379
47.344 -68.378
47.347 -68.375
47.348 -68.374
47.35 -68.371
47.351 -68.37
47.352 -68.369
47.353 -68.367
47.354 -68.366
47.356 -68.362
47.357 -68.355
47.357 -68.353
47.36 -68.337
47.36 -68.336
47.36 -68.33
47.36 -68.329
47.36 -68.323
47.356 -68.31
47.356 -68.304
47.356 -68.301
47.359 -68.293
47.36 -68.29
47.36 -68.289
47.36 -68.284
47.359 -68.278
47.355 -68.272
47.354 -68.27
47.353 -68.265
47.353 -68.248
47.354 -68.24
47.355 -68.235
47.353 -68.228
47.351 -68.225
47.35 -68.224
47.347 -68.224
47.345 -68.223
47.344 -68.222
47.341 -68.218
47.34 -68.215
47.339 -68.213
47.339 -68.212
47.339 -68.211
47.34 -68.204
47.339 -68.202
47.331 -68.181
47.329 -68.176
47.328 -68.161
47.326 -68.156
47.325 -68.155
47.324 -68.154
47.324 -68.153
47.322 -68.152
47.314 -68.154
47.312 -68.153
47.31 -68.152
47.304 -68.145
47.296 -68.137
47.294 -68.128
47.292 -68.125
47.288 -68.121
47.287 -68.12
47.277 -68.092
47.272 -68.083
47.27 -68.08
47.267 -68.078
47.262 -68.076
47.26 -68.074
47.257 -68.062
47.256 -68.062
47.246 -68.037
47.244 -68.034
47.238 -68.02
47.234 -68.016
47.226 -68.006
47.218 -67.998
47.212 -67.992
47.211 -67.99
47.209 -67.986
47.207 -67.971
47.206 -67.969
47.203 -67.963
47.2 -67.956
47.196 -67.952
47.192 -67.951
47.185 -67.951
47.183 -67.949
47.177 -67.945
47.176 -67.943
47.171 -67.939
47.165 -67.936
47.161 -67.932
47.157 -67.929
47.157 -67.928
47.156 -67.927
47.154 -67.926
47.154 -67.925
47.151 -67.92
47.148 -67.91
47.138 -67.903
47.135 -67.901
47.13 -67.893
47.129 -67.892
47.125 -67.89
47.119 -67.889
47.113 -67.889
47.112 -67.889
47.107 -67.886
47.106 -67.884
47.104 -67.881
47.102 -67.878
47.101 -67.87
47.099 -67.865
47.093 -67.849
47.087 -67.837
47.086 -67.832
47.084 -67.823
47.084 -67.821
47.081 -67.816
47.076 -67.811
47.073 -67.805
47.07 -67.794
47.068 -67.791
47.066 -67.79
47.063 -67.789
47.051 -67.79
47.041 -67.79
47.026 -67.789
47.015 -67.79
47.004 -67.789
47 -67.79
46.966 -67.79
46.959 -67.79
46.881 -67.789
46.872 -67.789
46.795 -67.79
46.766 -67.789
46.758 -67.789
46.689 -67.789
46.602 -67.788
46.6 -67.788
46.511 -67.786
46.467 -67.785
46.45 -67.785
46.438 -67.785
46.412 -67.784
46.373 -67.784
46.279 -67.782
46.186 -67.781
46.157 -67.781
46.133 -67.781
46.096 -67.781
46.038 -67.78
46.004 -67.78
46.001 -67.781
45.995 -67.781
45.964 -67.781
45.958 -67.781
45.943 -67.781
45.938 -67.78
45.934 -67.778
45.934 -67.777
45.935 -67.775
45.935 -67.774
45.926 -67.758
45.918 -67.75
45.915 -67.752
45.912 -67.756
45.91 -67.76
45.91 -67.764
45.91 -67.765
45.902 -67.769
45.899 -67.768
45.898 -67.769
45.895 -67.779
45.895 -67.783
45.896 -67.785
45.89 -67.794
45.884 -67.803
45.883 -67.803
45.883 -67.804
45.874 -67.805
45.869 -67.804
45.865 -67.8
45.86 -67.797
45.852 -67.79
45.847 -67.783
45.844 -67.778
45.841 -67.772
45.839 -67.769
45.834 -67.765
45.83 -67.764
45.829 -67.763
45.824 -67.755
45.82 -67.764
45.819 -67.766
45.819 -67.767
45.819 -67.773
45.819 -67.778
45.818 -67.78
45.818 -67.781
45.816 -67.78
45.804 -67.802
45.795 -67.807
45.782 -67.804
45.773 -67.805
45.77 -67.805
45.767 -67.809
45.755 -67.806
45.751 -67.793
45.731 -67.782
45.729 -67.81
45.696 -67.803
45.694 -67.818
45.681 -67.806
45.678 -67.803
45.678 -67.769
45.668 -67.755
45.668 -67.754
45.663 -67.73
45.663 -67.721
45.663 -67.72
45.665 -67.718
45.668 -67.718
45.67 -67.724
45.678 -67.731
45.684 -67.734
45.689 -67.735
45.689 -67.73
45.688 -67.728
45.681 -67.714
45.679 -67.71
45.674 -67.706
45.66 -67.698
45.65 -67.693
45.631 -67.675
45.624 -67.666
45.614 -67.646
45.616 -67.64
45.623 -67.644
45.625 -67.64
45.621 -67.632
45.607 -67.606
45.602 -67.583
45.595 -67.561
45.595 -67.557
45.597 -67.556
45.598 -67.546
45.595 -67.535
45.588 -67.519
45.587 -67.499
45.591 -67.491
45.595 -67.488
45.597 -67.489
45.599 -67.491
45.601 -67.49
45.604 -67.477
45.605 -67.455
45.603 -67.45
45.584 -67.43
45.579 -67.425
45.572 -67.424
45.55 -67.421
45.541 -67.425
45.541 -67.428
45.541 -67.429
45.541 -67.431
45.541 -67.432
45.536 -67.435
45.531 -67.435
45.529 -67.435
45.52 -67.432
45.511 -67.421
45.504 -67.416
45.502 -67.416
45.502 -67.417
45.505 -67.421
45.506 -67.423
45.506 -67.424
45.503 -67.426
45.501 -67.428
45.502 -67.43
45.505 -67.45
45.509 -67.463
45.505 -67.47
45.504 -67.471
45.5 -67.471
45.497 -67.477
45.494 -67.488
45.491 -67.499
45.49 -67.503
45.489 -67.504
45.485 -67.503
45.478 -67.5
45.473 -67.494
45.468 -67.487
45.461 -67.482
45.458 -67.482
45.456 -67.485
45.452 -67.484
45.432 -67.477
45.425 -67.473
45.423 -67.471
45.416 -67.458
45.408 -67.448
45.393 -67.43
45.377 -67.419
45.376 -67.419
45.374 -67.422
45.373 -67.424
45.374 -67.427
45.372 -67.43
45.371 -67.431
45.365 -67.434
45.361 -67.434
45.355 -67.428
45.349 -67.43
45.34 -67.435
45.335 -67.442
45.328 -67.453
45.326 -67.456
45.326 -67.457
45.324 -67.456
45.32 -67.452
45.317 -67.452
45.314 -67.453
45.3 -67.461
45.297 -67.466
45.294 -67.466
45.29 -67.48
45.291 -67.482
45.292 -67.484
45.291 -67.486
45.291 -67.487
45.283 -67.489
45.281 -67.489
45.279 -67.488
45.244 -67.464
45.243 -67.462
45.242 -67.46
45.241 -67.453
45.227 -67.44
45.223 -67.437
45.21 -67.431
45.199 -67.429
45.193 -67.429
45.179 -67.407
45.172 -67.406
45.167 -67.405
45.165 -67.405
45.163 -67.405
45.161 -67.405
45.16 -67.405
45.157 -67.397
45.155 -67.392
45.154 -67.391
