segment Connecticut
42.047 -73.294
42.047 -73.293
42.045 -73.233
42.045 -73.231
42.045 -73.23
42.042 -73.127
42.04 -73.053
42.039 -73.009
42.039 -73.008
42.039 -73
42.038 -72.955
42.038 -72.924
42.038 -72.864
42.037 -72.847
42.036 -72.814
41.998 -72.817
42 -72.795
42.001 -72.784
42.002 -72.775
42.003 -72.767
42.007 -72.766
42.008 -72.766
42.01 -72.763
42.013 -72.763
42.015 -72.761
42.017 -72.76
42.018 -72.761
42.019 -72.762
42.02 -72.762
42.022 -72.762
42.022 -72.761
42.021 -72.758
42.021 -72.757
42.025 -72.754
42.03 -72.752
42.032 -72.754
42.033 -72.758
42.036 -72.756
42.036 -72.751
42.037 -72.715
42.037 -72.713
42.037 -72.698
42.037 -72.696
42.037 -72.693
42.036 -72.686
42.035 -72.673
42.032 -72.643
42.031 -72.617
42.031 -72.608
42.025 -72.607
42.025 -72.59
42.025 -72.582
42.029 -72.575
42.03 -72.573
42.031 -72.561
42.032 -72.553
42.034 -72.528
42.034 -72.525
42.034 -72.522
42.034 -72.509
42.034 -72.479
42.034 -72.462
42.034 -72.46
42.034 -72.458
42.034 -72.457
42.033 -72.397
42.032 -72.336
42.032 -72.322
42.032 -72.321
42.032 -72.317
42.032 -72.302
42.032 -72.25
42.032 -72.241
42.031 -72.205
42.03 -72.136
42.029 -72.102
42.027 -72.063
42.027 -72.01
42.027 -71.987
42.026 -71.963
42.025 -71.921
42.025 -71.918
42.024 -71.891
42.024 -71.883
42.024 -71.859
42.024 -71.801
42.008 -71.799
41.985 -71.799
41.977 -71.799
41.953 -71.798
41.935 -71.798
41.932 -71.798
41.904 -71.797
41.852 -71.795
41.849 -71.794
41.841 -71.794
41.84 -71.794
41.829 -71.794
41.809 -71.793
41.807 -71.793
41.774 -71.791
41.77 -71.791
41.725 -71.79
41.699 -71.789
41.656 -71.787
41.64 -71.788
41.597 -71.789
41.572 -71.791
41.506 -71.794
41.464 -71.796
41.417 -71.798
41.419 -71.811
41.42 -71.818
41.418 -71.822
41.412 -71.84
41.41 -71.842
41.41 -71.843
41.408 -71.843
41.406 -71.843
41.396 -71.842
41.395 -71.842
41.39 -71.838
41.385 -71.834
41.385 -71.833
41.384 -71.833
41.381 -71.833
41.377 -71.832
41.376 -71.832
41.371 -71.832
41.367 -71.832
41.352 -71.831
41.345 -71.831
41.341 -71.833
41.335 -71.84
41.33 -71.847
41.329 -71.848
41.322 -71.86
41.331 -71.868
41.333 -71.875
41.335 -71.882
41.336 -71.886
41.336 -71.892
41.334 -71.906
41.333 -71.911
41.333 -71.913
41.332 -71.917
41.335 -71.922
41.335 -71.923
41.338 -71.936
41.338 -71.937
41.338 -71.946
41.33 -71.957
41.329 -71.96
41.325 -71.971
41.33 -71.979
41.33 -71.98
41.33 -71.982
41.321 -71.988
41.319 -72
41.319 -72.003
41.318 -72.013
41.317 -72.02
41.317 -72.022
41.318 -72.055
41.319 -72.075
41.32 -72.082
41.32 -72.084
41.315 -72.092
41.314 -72.094
41.307 -72.1
41.306 -72.102
41.299 -72.112
41.299 -72.126
41.299 -72.134
41.308 -72.155
41.31 -72.162
41.318 -72.174
41.322 -72.178
41.324 -72.184
41.323 -72.191
41.323 -72.192
41.316 -72.201
41.313 -72.203
41.299 -72.204
41.291 -72.213
41.292 -72.214
41.299 -72.224
41.299 -72.225
41.3 -72.236
41.299 -72.248
41.299 -72.252
41.294 -72.251
41.29 -72.251
41.283 -72.261
41.281 -72.28
41.278 -72.318
41.278 -72.328
41.28 -72.329
41.283 -72.334
41.28 -72.341
41.277 -72.349
41.275 -72.348
41.27 -72.348
41.27 -72.349
41.267 -72.361
41.266 -72.364
41.262 -72.387
41.272 -72.394
41.277 -72.398
41.278 -72.399
41.278 -72.406
41.279 -72.417
41.279 -72.432
41.279 -72.452
41.27 -72.472
41.27 -72.473
41.271 -72.48
41.271 -72.483
41.271 -72.486
41.266 -72.5
41.26 -72.507
41.261 -72.519
41.266 -72.521
41.265 -72.522
41.264 -72.529
41.263 -72.533
41.256 -72.537
41.256 -72.538
41.25 -72.547
41.268 -72.571
41.271 -72.583
41.272 -72.583
41.271 -72.584
41.271 -72.585
41.269 -72.598
41.272 -72.617
41.272 -72.619
41.269 -72.631
41.267 -72.642
41.266 -72.654
41.266 -72.655
41.269 -72.663
41.268 -72.667
41.267 -72.672
41.266 -72.674
41.258 -72.685
41.255 -72.685
41.251 -72.686
41.247 -72.69
41.245 -72.695
41.245 -72.701
41.245 -72.706
41.245 -72.707
41.244 -72.711
41.249 -72.714
41.251 -72.711
41.254 -72.712
41.259 -72.722
41.255 -72.733
41.258 -72.739
41.261 -72.743
41.266 -72.752
41.267 -72.754
41.267 -72.757
41.267 -72.758
41.267 -72.761
41.266 -72.766
41.266 -72.767
41.266 -72.771
41.265 -72.778
41.265 -72.786
41.263 -72.79
41.26 -72.799
41.257 -72.806
41.255 -72.811
41.252 -72.819
41.254 -72.819
41.256 -72.826
41.257 -72.827
41.257 -72.841
41.257 -72.846
41.257 -72.848
41.256 -72.849
41.256 -72.85
41.255 -72.85
41.249 -72.854
41.248 -72.854
41.246 -72.86
41.245 -72.861
41.243 -72.88
41.243 -72.881
41.244 -72.895
41.246 -72.901
41.247 -72.904
41.248 -72.905
41.253 -72.903
41.255 -72.897
41.256 -72.895
41.26 -72.894
41.262 -72.895
41.264 -72.896
41.275 -72.903
41.283 -72.908
41.282 -72.915
41.282 -72.916
41.282 -72.917
41.28 -72.92
41.275 -72.92
41.27 -72.921
41.269 -72.921
41.262 -72.93
41.258 -72.936
41.257 -72.942
41.253 -72.956
41.252 -72.96
41.252 -72.962
41.249 -72.965
41.246 -72.97
41.242 -72.975
41.241 -72.976
41.239 -72.979
41.238 -72.98
41.235 -72.984
41.235 -72.985
41.234 -72.985
41.233 -72.986
41.228 -72.992
41.224 -72.997
41.223 -72.998
41.221 -72.999
41.22 -73
41.215 -73.004
41.21 -73.008
41.206 -73.013
41.204 -73.015
41.204 -73.02
41.205 -73.02
41.206 -73.02
41.207 -73.023
41.209 -73.035
41.21 -73.046
41.21 -73.049
41.21 -73.05
41.21 -73.051
41.209 -73.055
41.208 -73.055
41.207 -73.059
41.197 -73.075
41.194 -73.079
41.194 -73.08
41.192 -73.082
41.188 -73.086
41.185 -73.09
41.183 -73.092
41.172 -73.105
41.169 -73.108
41.166 -73.109
41.16 -73.11
41.157 -73.11
41.154 -73.108
41.151 -73.111
41.15 -73.113
41.147 -73.13
41.149 -73.137
41.159 -73.164
41.161 -73.17
41.165 -73.171
41.166 -73.175
41.166 -73.176
41.167 -73.178
41.166 -73.181
41.164 -73.185
41.158 -73.203
41.147 -73.22
41.143 -73.228
41.144 -73.235
41.143 -73.236
41.139 -73.239
41.13 -73.245
41.126 -73.248
41.117 -73.262
41.119 -73.266
41.128 -73.286
41.128 -73.287
41.126 -73.296
41.125 -73.298
41.124 -73.299
41.116 -73.312
41.114 -73.32
41.11 -73.331
41.108 -73.347
41.104 -73.37
41.104 -73.372
41.095 -73.383
41.088 -73.392
41.087 -73.394
41.086 -73.4
41.085 -73.402
41.074 -73.413
41.073 -73.414
41.07 -73.418
41.069 -73.419
41.068 -73.421
41.057 -73.435
41.057 -73.447
41.057 -73.448
41.057 -73.45
41.056 -73.453
41.054 -73.461
41.053 -73.465
41.051 -73.468
41.036 -73.477
41.045 -73.489
41.048 -73.493
41.047 -73.495
41.039 -73.516
41.039 -73.517
41.038 -73.517
