segment Indiana
38.488 -85.482
38.486 -85.482
38.486 -85.483
38.475 -85.491
38.469 -85.498
38.468 -85.499
38.466 -85.505
38.463 -85.512
38.461 -85.517
38.46 -85.521
38.459 -85.525
38.458 -85.527
38.456 -85.537
38.455 -85.543
38.454 -85.553
38.453 -85.575
38.45 -85.588
38.442 -85.604
38.439 -85.608
38.423 -85.621
38.422 -85.62
38.417 -85.622
38.402 -85.63
38.396 -85.633
38.395 -85.633
38.394 -85.633
38.383 -85.637
38.38 -85.638
38.377 -85.639
38.366 -85.638
38.361 -85.639
38.357 -85.641
38.347 -85.644
38.343 -85.646
38.341 -85.647
38.327 -85.654
38.326 -85.654
38.326 -85.655
38.321 -85.659
38.32 -85.659
38.319 -85.66
38.314 -85.665
38.312 -85.667
38.311 -85.669
38.31 -85.669
38.304 -85.673
38.302 -85.674
38.301 -85.675
38.301 -85.676
38.295 -85.684
38.294 -85.686
38.288 -85.699
38.283 -85.711
38.28 -85.717
38.276 -85.726
38.273 -85.732
38.269 -85.739
38.268 -85.741
38.267 -85.745
38.268 -85.75
38.268 -85.751
38.268 -85.752
38.273 -85.761
38.278 -85.767
38.28 -85.766
38.286 -85.773
38.287 -85.777
38.288 -85.781
38.289 -85.792
38.288 -85.794
38.287 -85.796
38.285 -85.803
38.284 -85.81
38.283 -85.816
38.281 -85.824
38.277 -85.829
38.272 -85.832
38.268 -85.835
38.257 -85.838
38.255 -85.838
38.253 -85.838
38.251 -85.838
38.249 -85.838
38.24 -85.84
38.231 -85.845
38.23 -85.845
38.23 -85.846
38.223 -85.851
38.22 -85.856
38.212 -85.869
38.203 -85.88
38.188 -85.895
38.184 -85.898
38.178 -85.901
38.161 -85.909
38.14 -85.909
38.111 -85.905
38.1 -85.905
38.095 -85.905
38.086 -85.906
38.085 -85.907
38.073 -85.913
38.066 -85.916
38.062 -85.917
38.054 -85.918
38.041 -85.92
38.038 -85.92
38.032 -85.921
38.029 -85.922
38.023 -85.925
38.023 -85.926
38.022 -85.926
38.018 -85.93
38.014 -85.935
38.011 -85.939
38.007 -85.949
38.006 -85.951
38.005 -85.953
38.005 -85.955
38.005 -85.958
38.005 -85.96
38.004 -85.976
38 -85.997
38 -85.998
37.999 -86.009
37.996 -86.021
37.994 -86.027
37.993 -86.03
37.992 -86.03
37.992 -86.031
37.99 -86.032
37.986 -86.035
37.985 -86.035
37.984 -86.035
37.982 -86.035
37.981 -86.035
37.97 -86.033
37.965 -86.034
37.962 -86.036
37.96 -86.037
37.96 -86.038
37.959 -86.038
37.959 -86.04
37.958 -86.042
37.958 -86.043
37.958 -86.044
37.958 -86.045
37.959 -86.046
37.959 -86.048
37.963 -86.053
37.964 -86.054
37.971 -86.062
37.976 -86.065
37.981 -86.068
37.987 -86.072
37.993 -86.075
37.995 -86.074
37.997 -86.075
37.998 -86.076
38.001 -86.08
38.003 -86.083
38.004 -86.086
38.005 -86.087
38.005 -86.088
38.009 -86.096
38.009 -86.097
38.013 -86.108
38.015 -86.118
38.015 -86.12
38.016 -86.121
38.016 -86.128
38.016 -86.131
38.016 -86.133
38.016 -86.136
38.015 -86.141
38.015 -86.143
38.013 -86.151
38.01 -86.167
38.01 -86.172
38.011 -86.179
38.016 -86.189
38.016 -86.191
38.018 -86.195
38.018 -86.197
38.02 -86.201
38.022 -86.206
38.028 -86.22
38.033 -86.226
38.039 -86.233
38.046 -86.25
