segment Idaho
46.466 -114.383
46.46 -114.379
46.443 -114.376
46.435 -114.379
46.412 -114.385
46.41 -114.389
46.406 -114.397
46.4 -114.409
46.387 -114.422
46.367 -114.412
46.361 -114.411
46.336 -114.414
46.32 -114.425
46.311 -114.432
46.306 -114.433
46.288 -114.426
46.284 -114.427
46.277 -114.435
46.274 -114.441
46.271 -114.453
46.273 -114.465
46.267 -114.47
46.262 -114.47
46.249 -114.468
46.241 -114.452
46.237 -114.45
46.22 -114.446
46.203 -114.443
46.174 -114.446
46.17 -114.458
46.162 -114.473
46.161 -114.478
46.168 -114.489
46.168 -114.497
46.168 -114.515
46.166 -114.516
46.146 -114.527
46.144 -114.527
46.125 -114.521
46.119 -114.503
46.114 -114.49
46.113 -114.488
46.113 -114.474
46.105 -114.467
46.097 -114.46
46.079 -114.462
46.066 -114.467
46.062 -114.469
46.056 -114.479
46.047 -114.492
46.043 -114.495
46.037 -114.493
46.032 -114.491
46.03 -114.486
46.03 -114.48
46.017 -114.474
46.011 -114.477
46.009 -114.478
46.002 -114.477
46.001 -114.477
45.996 -114.471
45.995 -114.468
45.992 -114.454
45.988 -114.441
45.988 -114.44
45.98 -114.431
45.973 -114.425
45.956 -114.42
45.949 -114.421
45.938 -114.431
45.936 -114.431
45.911 -114.413
45.903 -114.404
45.901 -114.395
45.892 -114.389
45.89 -114.387
45.889 -114.387
45.882 -114.388
45.88 -114.39
45.852 -114.409
45.852 -114.41
45.855 -114.423
45.859 -114.449
45.855 -114.456
45.851 -114.47
45.851 -114.484
45.851 -114.489
45.851 -114.499
45.846 -114.509
45.841 -114.515
45.836 -114.517
45.833 -114.517
45.831 -114.515
45.829 -114.513
45.827 -114.515
45.791 -114.545
45.786 -114.555
45.78 -114.563
45.774 -114.566
45.765 -114.558
45.751 -114.546
45.739 -114.536
45.725 -114.509
45.722 -114.505
45.721 -114.504
45.717 -114.501
45.711 -114.498
45.703 -114.495
45.669 -114.5
45.659 -114.508
45.649 -114.522
45.651 -114.527
45.652 -114.53
45.651 -114.536
45.65 -114.538
45.64 -114.561
45.637 -114.564
45.632 -114.563
45.619 -114.554
45.617 -114.545
45.607 -114.538
45.602 -114.543
45.596 -114.549
45.591 -114.554
45.585 -114.558
45.584 -114.558
45.566 -114.559
45.565 -114.558
45.561 -114.55
45.569 -114.529
45.571 -114.526
45.568 -114.518
45.566 -114.515
45.559 -114.506
45.555 -114.498
45.558 -114.49
45.561 -114.481
45.563 -114.474
45.562 -114.468
45.561 -114.461
45.558 -114.46
45.544 -114.457
45.543 -114.451
45.536 -114.439
45.53 -114.434
45.527 -114.431
45.51 -114.416
45.503 -114.389
45.493 -114.369
45.49 -114.366
45.474 -114.361
45.46 -114.345
45.459 -114.333
45.469 -114.308
45.481 -114.279
45.486 -114.271
45.496 -114.262
45.518 -114.251
45.524 -114.248
45.533 -114.248
45.536 -114.251
45.538 -114.252
45.546 -114.248
45.546 -114.242
45.546 -114.228
45.541 -114.217
45.537 -114.206
45.536 -114.204
45.537 -114.193
45.546 -114.186
45.551 -114.18
45.552 -114.165
45.553 -114.155
45.553 -114.152
45.557 -114.135
45.565 -114.129
45.569 -114.129
45.573 -114.132
45.574 -114.131
45.584 -114.122
45.585 -114.119
45.585 -114.116
45.586 -114.108
45.586 -114.1
45.589 -114.094
45.591 -114.087
45.597 -114.082
45.604 -114.083
45.611 -114.082
45.628 -114.068
45.647 -114.036
45.649 -114.033
45.649 -114.029
45.649 -114.019
45.654 -114.015
45.658 -114.014
45.67 -114.02
45.681 -114.021
45.693 -114.019
45.696 -114.016
45.702 -113.994
45.705 -113.987
45.703 -113.979
45.701 -113.972
45.691 -113.953
45.687 -113.944
45.682 -113.934
45.674 -113.931
45.672 -113.93
45.659 -113.92
45.653 -113.908
45.651 -113.904
45.648 -113.901
45.644 -113.899
45.637 -113.903
45.624 -113.904
45.622 -113.905
45.622 -113.903
45.618 -113.89
45.617 -113.886
45.621 -113.873
45.624 -113.861
45.62 -113.849
45.612 -113.823
45.607 -113.814
45.602 -113.807
45.593 -113.803
45.592 -113.803
45.584 -113.803
45.58 -113.805
45.577 -113.808
45.574 -113.811
45.566 -113.82
45.524 -113.834
45.521 -113.835
45.521 -113.833
45.52 -113.809
45.523 -113.803
45.523 -113.797
45.523 -113.778
45.522 -113.771
45.521 -113.766
45.488 -113.761
45.481 -113.76
45.466 -113.774
45.455 -113.784
45.452 -113.783
45.442 -113.774
45.431 -113.765
45.431 -113.764
45.428 -113.763
45.421 -113.767
45.418 -113.768
45.411 -113.765
45.407 -113.761
45.403 -113.751
45.392 -113.734
45.39 -113.733
45.386 -113.732
45.385 -113.732
45.375 -113.734
45.373 -113.734
45.365 -113.736
45.346 -113.74
45.33 -113.739
45.325 -113.736
45.305 -113.713
45.3 -113.708
45.296 -113.703
45.291 -113.698
45.284 -113.689
45.277 -113.688
45.276 -113.688
45.274 -113.69
45.273 -113.69
45.271 -113.691
45.271 -113.692
45.265 -113.692
45.259 -113.689
45.254 -113.685
45.249 -113.679
45.249 -113.674
45.246 -113.666
45.241 -113.657
45.235 -113.65
45.228 -113.647
45.22 -113.642
45.213 -113.637
45.208 -113.628
45.202 -113.619
45.191 -113.6
45.177 -113.59
45.17 -113.593
45.166 -113.595
45.161 -113.592
45.154 -113.589
45.133 -113.577
45.128 -113.575
45.113 -113.555
45.112 -113.546
45.115 -113.538
45.115 -113.516
45.115 -113.513
45.112 -113.51
45.107 -113.507
45.1 -113.511
45.093 -113.52
45.064 -113.485
45.062 -113.474
45.063 -113.465
45.065 -113.461
45.059 -113.452
45.046 -113.449
45.035 -113.45
45.029 -113.447
45.009 -113.439
45.007 -113.438
44.999 -113.447
44.985 -113.447
44.976 -113.445
44.974 -113.445
44.96 -113.444
44.954 -113.449
44.952 -113.453
44.948 -113.467
44.949 -113.475
44.95 -113.481
44.949 -113.494
44.942 -113.499
44.936 -113.496
44.931 -113.493
44.928 -113.491
44.911 -113.475
44.908 -113.473
44.89 -113.466
44.882 -113.462
44.88 -113.461
44.877 -113.46
44.865 -113.455
44.864 -113.454
44.843 -113.422
44.837 -113.384
44.835 -113.377
44.82 -113.357
44.82 -113.356
44.801 -113.346
44.799 -113.347
44.795 -113.355
44.792 -113.354
44.785 -113.342
44.79 -113.326
44.799 -113.302
44.803 -113.297
44.811 -113.281
44.813 -113.278
44.813 -113.276
44.814 -113.276
44.814 -113.274
