segment Illinois
42.508 -90.618
42.508 -90.615
42.508 -90.609
42.508 -90.59
42.508 -90.565
42.508 -90.556
42.508 -90.551
42.508 -90.545
42.508 -90.544
42.508 -90.532
42.508 -90.492
42.508 -90.486
42.507 -90.479
42.507 -90.475
42.507 -90.437
42.507 -90.406
42.507 -90.402
42.507 -90.371
42.507 -90.368
42.507 -90.363
42.507 -90.304
42.507 -90.302
42.508 -90.273
42.508 -90.269
42.508 -90.267
42.507 -90.253
42.508 -90.251
42.508 -90.223
42.508 -90.206
42.508 -90.203
42.508 -90.198
42.508 -90.193
42.508 -90.182
42.508 -90.164
42.508 -90.143
42.508 -90.104
42.508 -90.095
42.508 -90.093
42.508 -90.086
42.508 -90.074
42.507 -90.019
42.507 -90.017
42.507 -89.999
42.507 -89.997
42.506 -89.986
42.506 -89.985
42.506 -89.966
42.506 -89.955
42.506 -89.948
42.506 -89.947
42.506 -89.926
42.505 -89.802
42.505 -89.8
42.505 -89.794
42.505 -89.78
42.505 -89.77
42.505 -89.751
42.505 -89.742
42.505 -89.734
42.505 -89.693
42.505 -89.69
42.505 -89.668
42.505 -89.65
42.505 -89.644
42.504 -89.613
42.504 -89.604
42.504 -89.6
42.503 -89.595
42.503 -89.582
42.503 -89.574
42.503 -89.564
42.502 -89.523
42.502 -89.493
42.501 -89.484
42.501 -89.425
42.501 -89.424
42.501 -89.423
42.501 -89.421
42.5 -89.401
42.5 -89.366
42.5 -89.362
42.499 -89.291
42.498 -89.263
42.498 -89.251
42.498 -89.247
42.498 -89.228
42.498 -89.226
42.497 -89.167
42.497 -89.165
42.497 -89.157
42.497 -89.125
42.497 -89.12
42.497 -89.117
42.496 -89.099
42.496 -89.08
42.496 -89.071
42.496 -89.06
42.496 -89.055
42.496 -89.05
42.496 -89.043
42.496 -89.042
42.496 -89.037
42.496 -89.031
42.496 -89.026
42.496 -89.02
42.496 -89.014
42.496 -88.993
42.496 -88.992
42.495 -88.943
42.495 -88.94
42.493 -88.82
42.492 -88.8
42.492 -88.787
42.492 -88.777
42.492 -88.776
42.492 -88.765
42.494 -88.707
42.495 -88.644
42.495 -88.639
42.495 -88.621
42.495 -88.59
42.495 -88.507
42.495 -88.471
42.495 -88.461
42.495 -88.417
42.495 -88.412
42.495 -88.355
42.495 -88.335
42.495 -88.312
42.495 -88.278
42.495 -88.277
42.495 -88.272
42.496 -88.25
42.496 -88.248
42.496 -88.238
42.496 -88.229
42.496 -88.224
42.496 -88.219
42.496 -88.217
42.496 -88.214
42.496 -88.2
42.496 -88.199
42.496 -88.178
42.496 -88.167
42.496 -88.15
42.496 -88.139
42.496 -88.124
42.496 -88.122
42.496 -88.115
42.496 -88.112
42.496 -88.103
42.496 -88.095
42.496 -88.078
42.496 -88.066
42.495 -88.062
42.495 -88.05
42.495 -88.003
42.495 -87.99
42.494 -87.971
42.493 -87.918
42.493 -87.917
42.493 -87.9
42.493 -87.898
42.493 -87.889
42.493 -87.883
42.492 -87.857
42.492 -87.852
42.492 -87.844
42.492 -87.835
42.492 -87.827
42.492 -87.826
42.492 -87.816
42.492 -87.801
42.492 -87.8
42.479 -87.799
42.472 -87.798
42.464 -87.799
42.453 -87.8
42.452 -87.8
42.45 -87.8
42.443 -87.801
42.429 -87.803
42.421 -87.803
42.414 -87.804
42.404 -87.804
42.403 -87.804
42.392 -87.805
42.385 -87.805
42.378 -87.809
42.367 -87.815
42.366 -87.816
42.365 -87.817
42.364 -87.818
42.362 -87.821
42.355 -87.823
42.349 -87.825
42.343 -87.827
42.341 -87.827
42.331 -87.831
42.33 -87.831
42.329 -87.831
42.327 -87.831
42.323 -87.832
42.305 -87.834
42.302 -87.835
42.3 -87.835
42.297 -87.834
42.296 -87.834
42.284 -87.831
42.283 -87.831
42.28 -87.831
42.276 -87.83
42.27 -87.829
42.269 -87.828
42.263 -87.825
42.262 -87.825
42.255 -87.822
42.254 -87.822
42.248 -87.819
42.24 -87.816
42.232 -87.812
42.225 -87.809
42.222 -87.807
42.218 -87.805
42.213 -87.803
42.211 -87.802
42.21 -87.801
42.208 -87.8
42.205 -87.798
42.204 -87.797
42.195 -87.791
42.19 -87.787
42.184 -87.783
42.178 -87.778
42.176 -87.776
42.166 -87.769
42.16 -87.765
42.153 -87.76
42.143 -87.752
42.14 -87.751
42.14 -87.75
42.139 -87.75
42.131 -87.744
42.128 -87.742
42.123 -87.737
42.116 -87.731
42.108 -87.725
42.107 -87.723
42.104 -87.721
42.101 -87.717
42.1 -87.716
42.095 -87.711
42.092 -87.707
42.091 -87.705
42.09 -87.703
42.089 -87.702
42.085 -87.696
42.083 -87.693
42.082 -87.692
42.076 -87.682
42.075 -87.682
42.074 -87.681
42.072 -87.68
42.067 -87.677
42.065 -87.676
42.065 -87.675
42.062 -87.674
42.06 -87.672
42.058 -87.671
42.055 -87.671
42.054 -87.671
42.053 -87.671
42.052 -87.671
42.048 -87.672
42.045 -87.671
42.041 -87.671
42.034 -87.67
42.032 -87.669
42.03 -87.669
42.029 -87.669
42.028 -87.669
42.027 -87.668
42.023 -87.667
42.022 -87.666
42.019 -87.665
42.018 -87.665
42.016 -87.664
42.013 -87.663
42.008 -87.661
42.006 -87.66
42.004 -87.659
42.003 -87.658
41.998 -87.657
41.997 -87.656
41.996 -87.656
41.995 -87.655
41.994 -87.655
41.993 -87.655
41.992 -87.654
41.99 -87.654
41.988 -87.653
41.985 -87.652
41.984 -87.651
41.983 -87.651
41.978 -87.649
41.977 -87.649
41.97 -87.645
41.969 -87.645
41.967 -87.644
41.963 -87.643
41.962 -87.642
41.955 -87.639
41.954 -87.639
41.949 -87.637
41.944 -87.635
41.942 -87.635
41.942 -87.634
41.938 -87.633
41.937 -87.632
41.933 -87.631
41.927 -87.629
41.919 -87.627
41.918 -87.627
41.911 -87.626
41.91 -87.625
41.908 -87.625
41.907 -87.625
41.906 -87.624
41.904 -87.624
41.902 -87.623
41.901 -87.62
41.9 -87.619
41.899 -87.618
41.898 -87.617
41.897 -87.617
41.896 -87.616
41.894 -87.615
41.894 -87.614
41.893 -87.614
41.893 -87.613
41.893 -87.612
41.892 -87.612
41.891 -87.612
41.89 -87.612
41.889 -87.613
41.888 -87.614
41.886 -87.614
41.885 -87.614
41.884 -87.614
41.882 -87.617
41.881 -87.617
41.873 -87.616
41.869 -87.616
41.868 -87.616
41.853 -87.612
41.851 -87.611
41.85 -87.611
41.845 -87.609
41.839 -87.606
41.831 -87.603
41.831 -87.602
41.83 -87.602
41.827 -87.601
41.826 -87.6
41.826 -87.599
41.825 -87.599
41.817 -87.592
41.814 -87.589
41.811 -87.587
41.809 -87.585
41.808 -87.584
41.807 -87.584
41.806 -87.583
41.804 -87.581
41.803 -87.58
41.801 -87.58
41.8 -87.58
41.798 -87.579
41.795 -87.579
41.793 -87.578
41.788 -87.577
41.786 -87.576
41.781 -87.572
41.78 -87.572
41.776 -87.568
41.774 -87.567
41.767 -87.561
41.766 -87.561
41.765 -87.559
41.763 -87.557
41.763 -87.556
41.762 -87.555
41.759 -87.551
41.754 -87.546
41.752 -87.543
41.748 -87.531
41.734 -87.527
41.724 -87.524
41.72 -87.524
41.708 -87.524
41.705 -87.525
41.703 -87.525
41.699 -87.525
41.696 -87.525
41.692 -87.525
41.687 -87.525
41.685 -87.525
41.676 -87.525
41.659 -87.525
41.656 -87.525
41.652 -87.525
41.65 -87.525
41.645 -87.525
41.635 -87.525
41.632 -87.525
41.63 -87.525
41.623 -87.525
41.622 -87.525
41.619 -87.525
41.616 -87.525
41.614 -87.525
41.607 -87.525
41.601 -87.525
41.594 -87.525
41.59 -87.525
41.581 -87.525
41.577 -87.525
41.571 -87.525
41.57 -87.525
41.563 -87.525
41.559 -87.525
41.558 -87.525
41.557 -87.525
41.554 -87.525
41.549 -87.525
41.548 -87.525
41.547 -87.525
41.546 -87.525
41.544 -87.525
41.543 -87.525
41.541 -87.525
41.54 -87.525
41.536 -87.525
41.534 -87.525
41.53 -87.525
41.528 -87.525
41.522 -87.525
41.509 -87.525
41.499 -87.525
41.498 -87.525
41.497 -87.525
41.495 -87.525
41.47 -87.526
41.454 -87.526
41.443 -87.526
41.435 -87.526
41.407 -87.525
41.391 -87.525
41.385 -87.525
41.384 -87.525
41.381 -87.525
41.373 -87.526
41.356 -87.526
41.346 -87.526
41.342 -87.526
41.298 -87.527
41.253 -87.527
41.243 -87.527
41.209 -87.527
41.194 -87.527
41.184 -87.527
41.177 -87.527
41.164 -87.527
41.161 -87.527
41.16 -87.527
41.159 -87.527
41.154 -87.527
41.149 -87.527
41.14 -87.527
41.121 -87.527
41.094 -87.527
41.083 -87.527
41.025 -87.527
41.011 -87.526
41.01 -87.526
40.938 -87.526
40.912 -87.526
40.896 -87.526
40.894 -87.526
40.881 -87.526
40.88 -87.526
40.865 -87.526
40.854 -87.526
40.793 -87.526
40.778 -87.526
40.76 -87.526
40.75 -87.526
40.737 -87.526
40.69 -87.526
40.578 -87.526
40.535 -87.526
40.492 -87.526
40.477 -87.526
40.476 -87.527
40.462 -87.527
40.389 -87.528
40.349 -87.529
40.331 -87.529
40.272 -87.53
40.251 -87.53
40.25 -87.53
40.236 -87.53
40.192 -87.531
40.17 -87.531
40.148 -87.531
40.144 -87.532
40.143 -87.532
40.133 -87.532
40.118 -87.532
40.103 -87.532
40.059 -87.532
40.012 -87.532
40.011 -87.532
40 -87.532
39.998 -87.532
39.987 -87.533
39.978 -87.533
39.975 -87.533
39.971 -87.533
39.956 -87.533
39.949 -87.533
39.883 -87.533
39.811 -87.533
39.804 -87.533
39.796 -87.533
39.782 -87.533
39.709 -87.533
39.665 -87.533
39.646 -87.532
39.636 -87.532
39.578 -87.532
39.564 -87.532
39.546 -87.532
39.545 -87.532
39.527 -87.532
39.496 -87.532
39.492 -87.532
39.477 -87.532
39.469 -87.532
39.466 -87.532
39.449 -87.531
39.438 -87.531
39.437 -87.531
39.419 -87.531
39.348 -87.532
39.348 -87.533
39.353 -87.544
39.347 -87.549
39.346 -87.55
39.341 -87.554
39.34 -87.554
39.34 -87.555
39.34 -87.568
39.34 -87.578
39.335 -87.588
39.334 -87.588
39.334 -87.589
39.333 -87.59
39.313 -87.6
39.299 -87.598
39.298 -87.598
39.297 -87.598
39.296 -87.598
39.295 -87.599
39.293 -87.6
39.282 -87.61
39.278 -87.609
39.261 -87.606
39.259 -87.604
39.247 -87.593
39.244 -87.584
39.233 -87.579
39.218 -87.575
39.211 -87.577
39.201 -87.586
39.198 -87.589
39.186 -87.605
39.185 -87.606
39.175 -87.621
39.169 -87.635
39.167 -87.64
39.161 -87.642
39.158 -87.643
39.156 -87.643
39.145 -87.646
39.137 -87.645
39.129 -87.643
39.119 -87.632
39.114 -87.633
39.111 -87.633
39.107 -87.632
39.105 -87.631
39.104 -87.63
39.102 -87.625
39.101 -87.619
39.096 -87.617
39.094 -87.617
39.09 -87.617
39.086 -87.614
39.082 -87.609
39.081 -87.604
39.08 -87.597
39.08 -87.596
39.078 -87.595
39.072 -87.589
39.069 -87.585
39.067 -87.583
39.057 -87.573
39.049 -87.573
39.034 -87.575
39.02 -87.57
39.019 -87.57
39.003 -87.578
39.002 -87.579
38.99 -87.578
38.989 -87.578
38.979 -87.549
38.977 -87.544
38.972 -87.529
38.958 -87.516
38.956 -87.514
38.954 -87.512
38.95 -87.513
38.943 -87.515
38.933 -87.517
38.932 -87.517
38.925 -87.518
38.923 -87.519
38.908 -87.528
38.895 -87.544
38.891 -87.545
38.876 -87.547
38.863 -87.553
38.86 -87.551
38.853 -87.537
38.852 -87.534
38.849 -87.526
38.831 -87.522
38.827 -87.522
38.822 -87.525
38.818 -87.527
38.815 -87.525
38.813 -87.523
38.779 -87.497
38.768 -87.498
38.763 -87.498
38.758 -87.499
38.743 -87.496
38.737 -87.501
38.726 -87.509
38.716 -87.517
38.701 -87.519
38.697 -87.52
38.684 -87.531
38.682 -87.536
38.678 -87.546
38.667 -87.594
38.658 -87.602
38.644 -87.616
38.641 -87.618
38.64 -87.62
38.639 -87.62
38.636 -87.621
38.627 -87.621
38.619 -87.622
38.609 -87.626
38.606 -87.627
38.605 -87.627
38.601 -87.626
38.597 -87.624
38.594 -87.624
38.591 -87.626
