segment Louisiana
33.019 -93.532
33.019 -93.525
33.019 -93.521
33.018 -93.492
33.018 -93.491
33.018 -93.49
33.019 -93.467
33.019 -93.462
33.018 -93.438
33.018 -93.426
33.018 -93.425
33.018 -93.392
33.018 -93.377
33.018 -93.34
33.018 -93.308
33.018 -93.239
33.018 -93.216
33.018 -93.197
33.018 -93.158
33.018 -93.154
33.018 -93.134
33.018 -93.129
33.018 -93.12
33.018 -93.101
33.018 -93.081
33.018 -93.073
33.018 -93.071
33.018 -93.036
33.017 -92.982
33.017 -92.971
33.017 -92.959
33.017 -92.947
33.016 -92.868
33.016 -92.854
33.016 -92.844
33.016 -92.831
33.015 -92.797
33.014 -92.733
33.014 -92.725
33.014 -92.724
33.014 -92.716
33.014 -92.712
33.014 -92.711
33.014 -92.692
33.014 -92.664
33.012 -92.522
33.012 -92.504
33.012 -92.502
33.012 -92.501
33.012 -92.47
33.012 -92.44
33.011 -92.37
33.011 -92.363
33.01 -92.345
33.01 -92.336
33.01 -92.293
33.009 -92.223
33.009 -92.189
33.008 -92.069
33.008 -92.001
33.007 -91.952
33.008 -91.95
33.008 -91.875
33.007 -91.817
33.007 -91.8
33.007 -91.755
33.008 -91.736
33.007 -91.684
33.007 -91.628
33.007 -91.627
33.007 -91.623
33.007 -91.618
33.007 -91.609
33.007 -91.58
33.006 -91.58
33.007 -91.572
33.007 -91.559
33.007 -91.5
33.006 -91.489
33.006 -91.453
33.006 -91.436
33.006 -91.425
33.006 -91.376
33.006 -91.358
33.006 -91.333
33.005 -91.33
33.005 -91.326
33.005 -91.325
33.005 -91.323
33.005 -91.312
33.005 -91.305
33.005 -91.284
33.005 -91.265
33.004 -91.166
33.002 -91.166
32.992 -91.169
32.986 -91.173
32.979 -91.182
32.976 -91.187
32.965 -91.197
32.964 -91.2
32.961 -91.202
32.957 -91.202
32.955 -91.201
32.952 -91.199
32.944 -91.207
32.94 -91.211
32.936 -91.213
32.93 -91.214
32.927 -91.214
32.922 -91.213
32.92 -91.212
32.915 -91.208
32.909 -91.2
32.907 -91.197
32.901 -91.182
32.9 -91.175
32.899 -91.17
32.899 -91.169
32.9 -91.165
32.9 -91.16
32.9 -91.158
32.902 -91.152
32.905 -91.145
32.918 -91.134
32.923 -91.132
32.925 -91.132
32.926 -91.132
32.927 -91.131
32.93 -91.131
32.946 -91.136
32.953 -91.138
32.956 -91.137
32.957 -91.137
32.959 -91.133
32.961 -91.131
32.962 -91.131
32.964 -91.131
32.967 -91.133
32.97 -91.138
32.971 -91.138
32.971 -91.139
32.972 -91.138
32.973 -91.138
32.98 -91.136
32.98 -91.135
32.981 -91.134
32.981 -91.132
32.984 -91.126
32.985 -91.125
32.988 -91.112
32.989 -91.107
32.986 -91.097
32.984 -91.094
32.981 -91.091
32.976 -91.087
32.963 -91.08
32.955 -91.079
32.952 -91.079
32.95 -91.081
32.949 -91.082
32.948 -91.083
32.945 -91.082
32.943 -91.08
32.938 -91.072
32.936 -91.071
32.926 -91.065
32.923 -91.064
32.917 -91.065
32.906 -91.064
32.904 -91.064
32.901 -91.064
32.892 -91.068
32.889 -91.071
32.873 -91.087
32.858 -91.106
32.856 -91.116
32.855 -91.125
32.855 -91.128
32.849 -91.138
32.845 -91.144
32.843 -91.145
32.842 -91.145
32.831 -91.15
32.827 -91.152
32.824 -91.157
32.822 -91.158
32.822 -91.159
32.812 -91.162
32.808 -91.162
32.805 -91.162
32.8 -91.161
32.798 -91.162
32.792 -91.163
32.786 -91.164
32.781 -91.159
32.78 -91.157
32.776 -91.158
32.762 -91.165
32.758 -91.166
32.751 -91.165
32.747 -91.163
32.743 -91.159
32.742 -91.154
32.742 -91.15
32.743 -91.132
32.743 -91.123
32.74 -91.114
32.736 -91.091
32.733 -91.077
32.727 -91.061
32.726 -91.057
32.722 -91.054
32.719 -91.055
32.713 -91.057
32.703 -91.064
32.694 -91.076
32.691 -91.081
32.685 -91.099
32.682 -91.104
32.674 -91.118
32.666 -91.127
32.665 -91.128
32.664 -91.128
32.659 -91.131
32.651 -91.138
32.65 -91.139
32.649 -91.142
32.648 -91.144
32.644 -91.15
32.642 -91.152
32.641 -91.153
32.635 -91.154
32.631 -91.154
32.629 -91.154
32.628 -91.154
32.626 -91.154
32.624 -91.153
32.618 -91.152
32.616 -91.151
32.615 -91.151
32.604 -91.146
32.601 -91.144
32.6 -91.143
32.598 -91.142
32.597 -91.141
32.592 -91.135
32.586 -91.128
32.585 -91.125
32.585 -91.12
32.585 -91.119
32.59 -91.113
32.591 -91.106
32.597 -91.088
32.601 -91.08
32.605 -91.061
32.607 -91.05
32.614 -91.049
32.621 -91.043
32.625 -91.041
32.633 -91.04
32.636 -91.038
32.644 -91.03
32.647 -91.026
32.644 -91.019
32.64 -91.014
32.631 -91.007
32.625 -91.004
32.623 -91.003
32.615 -91.003
32.61 -91.005
32.602 -91.01
32.598 -91.014
32.597 -91.016
32.592 -91.023
32.583 -91.031
32.58 -91.036
32.576 -91.044
32.574 -91.049
32.563 -91.069
32.563 -91.07
32.556 -91.08
32.547 -91.075
32.536 -91.062
32.531 -91.052
32.531 -91.051
32.53 -91.049
32.523 -91.028
32.517 -91.013
32.517 -91.011
32.514 -91.005
32.506 -90.994
32.5 -90.99
32.497 -90.988
32.494 -90.988
32.491 -90.988
32.488 -90.991
32.485 -90.995
32.484 -90.996
32.483 -90.999
32.482 -91.003
32.482 -91.004
32.482 -91.005
32.484 -91.017
32.485 -91.024
32.489 -91.034
32.49 -91.038
32.496 -91.046
32.5 -91.051
32.512 -91.061
32.528 -91.07
32.533 -91.075
32.549 -91.094
32.545 -91.098
32.537 -91.098
32.533 -91.099
32.526 -91.101
32.515 -91.107
32.5 -91.117
32.495 -91.117
32.483 -91.116
32.476 -91.112
32.472 -91.109
32.469 -91.106
32.462 -91.099
32.459 -91.095
32.458 -91.094
32.457 -91.093
32.45 -91.082
32.447 -91.074
32.445 -91.07
32.438 -91.053
32.437 -91.046
32.434 -91.03
32.434 -91.029
32.434 -91.026
32.44 -91.017
32.446 -91.005
32.45 -90.999
32.451 -90.994
32.449 -90.983
32.447 -90.979
32.439 -90.97
32.438 -90.969
32.435 -90.967
32.434 -90.966
32.425 -90.966
32.421 -90.966
32.418 -90.968
32.417 -90.969
32.416 -90.97
32.415 -90.971
32.412 -90.974
32.412 -90.975
32.408 -90.981
32.404 -90.994
32.397 -90.994
32.392 -90.995
32.388 -90.996
32.382 -91.001
32.368 -91.005
32.365 -91.005
32.362 -91.004
32.361 -91.003
32.358 -91
32.354 -90.994
32.352 -90.987
32.346 -90.955
32.346 -90.943
32.345 -90.935
32.345 -90.933
32.342 -90.921
32.339 -90.912
32.337 -90.905
32.33 -90.901
32.323 -90.901
32.32 -90.903
32.315 -90.905
32.304 -90.916
32.299 -90.922
32.295 -90.927
32.29 -90.934
32.285 -90.945
32.283 -90.948
32.283 -90.949
32.283 -90.951
32.284 -90.953
32.286 -90.955
32.293 -90.961
32.296 -90.963
32.297 -90.964
32.297 -90.972
32.297 -90.975
32.296 -90.976
32.294 -90.979
32.291 -90.981
32.28 -90.984
32.27 -90.983
32.267 -90.981
32.265 -90.98
32.258 -90.971
32.253 -90.969
32.252 -90.97
32.248 -90.976
32.244 -90.98
32.231 -90.983
32.226 -90.983
32.221 -90.983
32.218 -90.986
32.216 -90.989
32.215 -90.991
32.214 -90.994
32.214 -90.997
32.215 -91
32.215 -91.001
32.216 -91.002
32.219 -91.004
32.221 -91.005
32.224 -91.006
32.226 -91.01
32.236 -91.022
32.239 -91.027
32.242 -91.034
32.242 -91.039
32.241 -91.047
32.238 -91.05
32.234 -91.052
32.228 -91.053
32.225 -91.055
32.219 -91.061
32.226 -91.071
32.227 -91.075
32.226 -91.084
32.224 -91.092
32.218 -91.1
32.208 -91.109
32.207 -91.113
32.207 -91.114
32.207 -91.117
32.208 -91.119
32.211 -91.124
32.213 -91.128
32.214 -91.13
32.213 -91.134
32.202 -91.158
32.199 -91.162
32.197 -91.164
32.187 -91.168
32.177 -91.171
32.164 -91.174
32.162 -91.174
32.157 -91.174
32.155 -91.175
32.153 -91.174
32.15 -91.174
32.149 -91.173
32.148 -91.173
32.145 -91.172
32.144 -91.172
32.143 -91.171
32.134 -91.165
32.133 -91.163
32.132 -91.155
32.13 -91.144
32.127 -91.137
32.126 -91.131
32.126 -91.114
32.126 -91.113
32.125 -91.111
32.128 -91.107
32.129 -91.106
32.13 -91.104
32.131 -91.101
32.134 -91.092
32.134 -91.082
32.133 -91.077
32.131 -91.069
32.127 -91.062
32.124 -91.053
32.144 -91.051
32.145 -91.05
32.15 -91.049
32.157 -91.05
32.164 -91.056
32.171 -91.059
32.177 -91.058
32.178 -91.05
32.175 -91.042
32.168 -91.032
32.163 -91.025
32.161 -91.017
32.157 -91.006
32.146 -91.004
32.143 -91.005
32.14 -91.006
32.134 -91.01
32.132 -91.011
32.131 -91.012
32.129 -91.014
32.126 -91.017
32.125 -91.018
32.124 -91.019
32.124 -91.02
32.121 -91.027
32.121 -91.031
32.108 -91.031
32.101 -91.035
32.098 -91.039
32.085 -91.067
32.079 -91.08
32.079 -91.081
32.078 -91.081
32.078 -91.082
32.076 -91.082
32.05 -91.079
32.048 -91.08
32.048 -91.082
32.048 -91.085
32.048 -91.099
32.05 -91.104
32.058 -91.114
32.072 -91.124
32.077 -91.129
32.08 -91.135
32.081 -91.136
32.082 -91.139
32.081 -91.145
32.08 -91.149
32.076 -91.156
32.07 -91.16
32.068 -91.162
32.065 -91.162
32.062 -91.162
32.06 -91.161
32.056 -91.159
32.053 -91.156
32.049 -91.151
32.047 -91.145
32.043 -91.126
32.043 -91.125
32.037 -91.096
32.034 -91.088
32.031 -91.084
32.029 -91.083
32.023 -91.081
32.018 -91.08
32.017 -91.076
32 -91.09
31.995 -91.096
31.99 -91.104
31.987 -91.117
31.983 -91.164
31.979 -91.17
31.977 -91.172
31.973 -91.177
31.97 -91.18
31.966 -91.185
31.961 -91.188
31.957 -91.189
31.953 -91.189
31.946 -91.19
31.936 -91.193
31.935 -91.193
31.934 -91.191
31.935 -91.185
31.933 -91.184
31.924 -91.185
31.92 -91.181
31.918 -91.181
31.916 -91.183
31.914 -91.189
31.913 -91.191
31.91 -91.193
31.91 -91.194
31.909 -91.198
31.909 -91.201
31.908 -91.203
31.904 -91.205
31.9 -91.209
31.885 -91.227
31.877 -91.234
31.877 -91.235
31.87 -91.248
31.865 -91.264
31.864 -91.266
31.864 -91.267
31.863 -91.267
31.863 -91.268
31.862 -91.268
31.859 -91.269
31.855 -91.269
31.853 -91.268
31.851 -91.267
31.846 -91.261
31.833 -91.246
31.832 -91.245
31.831 -91.245
31.83 -91.245
31.822 -91.247
31.818 -91.25
31.813 -91.255
31.813 -91.256
31.812 -91.256
31.81 -91.261
31.809 -91.262
31.809 -91.269
31.811 -91.277
31.813 -91.28
31.815 -91.282
31.818 -91.285
31.824 -91.288
31.828 -91.289
31.829 -91.289
31.834 -91.29
31.847 -91.289
31.86 -91.293
31.86 -91.294
31.86 -91.295
31.855 -91.327
31.853 -91.334
31.853 -91.335
31.852 -91.338
31.851 -91.338
31.851 -91.339
31.847 -91.343
31.843 -91.346
31.841 -91.346
31.799 -91.36
31.798 -91.36
31.78 -91.364
31.765 -91.365
31.762 -91.361
31.76 -91.356
31.759 -91.349
31.758 -91.347
31.758 -91.346
31.754 -91.346
31.751 -91.348
31.75 -91.351
31.749 -91.353
31.748 -91.356
31.747 -91.365
31.743 -91.372
31.733 -91.38
31.732 -91.381
31.711 -91.397
31.709 -91.398
31.699 -91.4
31.698 -91.4
31.688 -91.4
