segment Arkansas
36.499 -94.519
36.499 -94.48
36.499 -94.457
36.499 -94.453
36.499 -94.416
36.499 -94.415
36.499 -94.414
36.499 -94.409
36.5 -94.389
36.5 -94.386
36.5 -94.384
36.5 -94.361
36.5 -94.345
36.499 -94.329
36.499 -94.313
36.499 -94.285
36.499 -94.276
36.499 -94.275
36.499 -94.271
36.499 -94.269
36.499 -94.182
36.499 -94.175
36.499 -94.131
36.499 -94.114
36.499 -94.111
36.499 -94.1
36.499 -94.099
36.499 -94.095
36.499 -94.077
36.499 -94.005
36.499 -93.976
36.499 -93.971
36.499 -93.964
36.499 -93.959
36.499 -93.931
36.499 -93.928
36.499 -93.922
36.499 -93.906
36.499 -93.867
36.499 -93.84
36.499 -93.754
36.499 -93.752
36.499 -93.736
36.499 -93.734
36.499 -93.728
36.499 -93.719
36.499 -93.71
36.499 -93.7
36.499 -93.68
36.499 -93.584
36.499 -93.583
36.499 -93.515
36.499 -93.507
36.499 -93.492
36.499 -93.461
36.499 -93.44
36.499 -93.439
36.499 -93.436
36.499 -93.427
36.499 -93.399
36.499 -93.397
36.499 -93.396
36.499 -93.395
36.499 -93.386
36.498 -93.315
36.498 -93.296
36.498 -93.22
36.498 -93.155
36.498 -93.126
36.498 -93.089
36.498 -93.088
36.498 -93.07
36.498 -93.068
36.498 -93.014
36.498 -92.974
36.498 -92.916
36.498 -92.894
36.498 -92.854
36.498 -92.839
36.498 -92.785
36.498 -92.772
36.498 -92.762
36.498 -92.637
36.498 -92.631
36.498 -92.564
36.499 -92.531
36.499 -92.529
36.499 -92.517
36.499 -92.485
36.499 -92.453
36.499 -92.444
36.498 -92.434
36.498 -92.421
36.498 -92.42
36.498 -92.385
36.497 -92.375
36.498 -92.35
36.498 -92.318
36.498 -92.309
36.498 -92.259
36.498 -92.216
36.498 -92.214
36.498 -92.211
36.498 -92.199
36.499 -92.15
36.499 -92.138
36.499 -92.12
36.499 -92.098
36.499 -92.075
36.499 -92.057
36.499 -92.056
36.499 -92.043
36.499 -92.029
36.499 -92.019
36.498 -91.989
36.498 -91.986
36.499 -91.936
36.499 -91.866
36.499 -91.864
36.499 -91.806
36.499 -91.802
36.499 -91.799
36.499 -91.785
36.499 -91.782
36.499 -91.766
36.499 -91.727
36.499 -91.688
36.499 -91.686
36.499 -91.672
36.499 -91.643
36.499 -91.631
36.499 -91.618
36.499 -91.601
36.499 -91.596
36.499 -91.582
36.499 -91.563
36.499 -91.556
36.499 -91.555
36.499 -91.553
36.499 -91.549
36.499 -91.544
36.499 -91.539
36.499 -91.537
36.499 -91.53
36.499 -91.527
36.499 -91.505
36.499 -91.5
36.498 -91.479
36.498 -91.45
36.497 -91.446
36.497 -91.437
36.497 -91.433
36.497 -91.407
36.497 -91.405
36.498 -91.236
36.498 -91.227
36.498 -91.219
36.498 -91.217
36.498 -91.172
36.498 -91.127
36.498 -91.109
36.498 -91.096
36.498 -91.018
36.498 -91.009
36.498 -90.981
36.498 -90.963
36.498 -90.961
36.498 -90.879
36.498 -90.877
36.498 -90.874
36.498 -90.873
36.499 -90.85
36.499 -90.784
36.499 -90.782
36.498 -90.766
36.498 -90.711
36.499 -90.693
36.498 -90.653
36.498 -90.648
36.498 -90.639
36.499 -90.613
36.498 -90.605
36.498 -90.594
36.498 -90.585
36.498 -90.584
36.498 -90.576
36.498 -90.5
36.498 -90.495
36.498 -90.439
36.498 -90.426
36.498 -90.34
36.498 -90.327
36.498 -90.318
36.498 -90.265
36.498 -90.246
36.498 -90.229
36.498 -90.221
36.498 -90.217
36.498 -90.194
36.498 -90.174
36.498 -90.152
36.497 -90.154
36.495 -90.154
36.494 -90.155
36.494 -90.157
36.494 -90.159
36.493 -90.159
36.492 -90.159
36.49 -90.156
36.488 -90.156
36.488 -90.159
36.486 -90.159
36.484 -90.157
36.481 -90.159
36.48 -90.159
36.476 -90.148
36.477 -90.145
36.476 -90.144
36.472 -90.142
36.471 -90.142
36.47 -90.146
36.47 -90.148
36.471 -90.153
36.466 -90.156
36.464 -90.156
36.463 -90.145
36.463 -90.144
36.464 -90.143
36.463 -90.142
36.462 -90.141
36.461 -90.142
36.46 -90.141
36.458 -90.14
36.455 -90.137
36.451 -90.137
36.447 -90.136
36.443 -90.136
36.441 -90.135
36.438 -90.134
36.437 -90.134
36.432 -90.138
36.431 -90.139
36.431 -90.143
36.428 -90.144
36.426 -90.144
36.425 -90.144
36.424 -90.144
36.421 -90.139
36.421 -90.138
36.423 -90.136
36.423 -90.135
36.423 -90.134
36.422 -90.134
36.418 -90.135
36.417 -90.135
36.415 -90.136
36.415 -90.139
36.414 -90.139
36.414 -90.138
36.414 -90.135
36.415 -90.131
36.412 -90.129
36.411 -90.121
36.408 -90.116
36.406 -90.115
36.404 -90.109
36.405 -90.104
36.404 -90.094
36.401 -90.081
36.401 -90.08
