segment Massachusetts
42.887 -70.915
42.887 -70.903
42.883 -70.886
42.881 -70.884
42.861 -70.849
42.865 -70.837
42.869 -70.831
42.871 -70.825
42.871 -70.824
42.872 -70.822
42.872 -70.817
42.851 -70.818
42.843 -70.816
42.835 -70.815
42.827 -70.813
42.819 -70.812
42.812 -70.811
42.811 -70.811
42.782 -70.805
42.751 -70.794
42.747 -70.793
42.731 -70.784
42.711 -70.772
42.705 -70.77
42.699 -70.779
42.695 -70.779
42.694 -70.779
42.686 -70.764
42.684 -70.749
42.682 -70.744
42.67 -70.73
42.664 -70.729
42.663 -70.726
42.653 -70.689
42.654 -70.685
42.655 -70.683
42.662 -70.682
42.67 -70.672
42.678 -70.664
42.689 -70.645
42.69 -70.64
42.693 -70.63
42.688 -70.62
42.676 -70.623
42.668 -70.624
42.666 -70.624
42.665 -70.624
42.661 -70.623
42.66 -70.621
42.66 -70.62
42.658 -70.615
42.659 -70.608
42.66 -70.6
42.66 -70.597
42.66 -70.595
42.649 -70.592
42.64 -70.591
42.635 -70.594
42.635 -70.598
42.635 -70.606
42.629 -70.618
42.627 -70.619
42.626 -70.62
42.615 -70.626
42.609 -70.63
42.6 -70.636
42.582 -70.655
42.58 -70.665
42.582 -70.668
42.585 -70.668
42.59 -70.668
42.592 -70.67
42.594 -70.673
42.595 -70.674
42.595 -70.676
42.594 -70.679
42.593 -70.681
42.589 -70.685
42.586 -70.688
42.577 -70.699
42.574 -70.717
42.572 -70.73
42.577 -70.737
42.57 -70.757
42.57 -70.761
42.567 -70.776
42.563 -70.794
42.562 -70.804
42.554 -70.815
42.551 -70.823
42.55 -70.848
42.55 -70.849
42.549 -70.858
42.548 -70.86
42.547 -70.87
42.546 -70.871
42.545 -70.872
42.543 -70.872
42.541 -70.872
42.54 -70.871
42.523 -70.866
42.52 -70.86
42.521 -70.857
42.521 -70.851
42.519 -70.842
42.516 -70.84
42.511 -70.836
42.504 -70.831
42.49 -70.836
42.488 -70.842
42.491 -70.847
42.49 -70.858
42.489 -70.861
42.484 -70.87
42.479 -70.879
42.479 -70.88
42.47 -70.886
42.468 -70.888
42.467 -70.888
42.465 -70.887
42.461 -70.894
42.465 -70.903
42.467 -70.908
42.467 -70.909
42.468 -70.918
42.467 -70.922
42.462 -70.929
42.461 -70.93
42.458 -70.935
42.457 -70.935
42.445 -70.934
42.438 -70.933
42.431 -70.928
42.431 -70.926
42.428 -70.913
42.425 -70.908
42.42 -70.902
42.416 -70.906
42.416 -70.91
42.417 -70.923
42.418 -70.936
42.428 -70.94
42.436 -70.943
42.452 -70.944
42.453 -70.944
42.456 -70.947
42.455 -70.949
42.446 -70.96
42.444 -70.961
42.441 -70.961
42.435 -70.968
42.424 -70.983
42.423 -70.984
42.418 -70.987
42.417 -70.988
42.407 -70.991
42.403 -70.989
42.402 -70.988
42.402 -70.985
42.397 -70.984
42.396 -70.983
42.392 -70.98
42.391 -70.976
42.39 -70.973
42.388 -70.97
42.387 -70.972
42.386 -70.972
42.385 -70.973
42.382 -70.973
42.381 -70.973
42.377 -70.972
42.375 -70.971
42.372 -70.968
42.369 -70.966
42.361 -70.961
42.35 -70.953
42.344 -70.953
42.347 -70.964
42.354 -70.972
42.356 -70.975
42.356 -70.98
42.356 -70.982
42.353 -70.998
42.347 -71.007
42.343 -71.009
42.329 -71.015
42.326 -71.016
42.315 -71.013
42.307 -71.005
42.302 -71.001
42.297 -71.003
42.29 -71.005
42.288 -71.006
42.285 -71.005
42.284 -71.005
42.283 -71.005
42.28 -71.003
42.276 -71
42.271 -70.996
42.269 -70.991
42.268 -70.991
42.267 -70.989
42.268 -70.977
42.268 -70.967
42.271 -70.957
42.273 -70.949
42.269 -70.946
42.266 -70.94
42.266 -70.939
42.264 -70.936
42.263 -70.923
42.265 -70.911
42.272 -70.906
42.285 -70.896
42.287 -70.896
42.289 -70.896
42.292 -70.896
42.294 -70.896
42.296 -70.897
42.302 -70.916
42.306 -70.917
42.308 -70.908
42.309 -70.883
42.305 -70.882
42.301 -70.881
42.298 -70.879
42.294 -70.877
42.293 -70.876
42.287 -70.872
42.286 -70.871
42.282 -70.867
42.276 -70.862
42.273 -70.857
42.268 -70.851
42.267 -70.831
42.266 -70.825
42.263 -70.812
42.255 -70.791
42.254 -70.789
42.252 -70.781
42.249 -70.771
42.244 -70.765
42.229 -70.754
42.224 -70.749
42.222 -70.747
42.22 -70.745
42.215 -70.736
42.214 -70.735
42.211 -70.731
42.208 -70.722
42.201 -70.721
42.185 -70.719
42.184 -70.719
42.169 -70.714
42.168 -70.713
42.163 -70.706
42.133 -70.685
42.126 -70.679
42.108 -70.664
42.105 -70.66
42.089 -70.64
42.082 -70.638
42.078 -70.644
42.076 -70.647
42.073 -70.648
42.068 -70.648
42.051 -70.643
42.046 -70.644
42.046 -70.651
42.037 -70.669
42.025 -70.671
42.024 -70.671
42.021 -70.672
42.012 -70.668
42.008 -70.671
42.006 -70.679
42.013 -70.687
42.013 -70.696
42.008 -70.712
42.003 -70.711
42 -70.71
41.999 -70.709
41.987 -70.699
41.983 -70.693
41.969 -70.674
41.963 -70.666
41.961 -70.662
41.96 -70.657
41.959 -70.652
41.962 -70.648
41.958 -70.642
41.952 -70.633
41.95 -70.631
