segment Utah
42.002 -111.047
41.78 -111.046
41.765 -111.046
41.663 -111.046
41.566 -111.046
41.557 -111.046
41.546 -111.046
41.378 -111.046
41.361 -111.047
41.252 -111.047
41.03 -111.047
40.998 -111.047
40.997 -110.872
40.997 -110.751
40.996 -110.725
40.996 -110.715
40.996 -110.699
40.996 -110.54
40.995 -110.501
40.995 -110.376
40.996 -110.251
40.995 -110.238
40.997 -110.126
40.997 -110.122
40.998 -110.006
40.997 -110.001
40.997 -110
40.998 -109.976
40.998 -109.855
40.998 -109.854
40.998 -109.731
40.998 -109.715
40.998 -109.714
40.998 -109.711
40.998 -109.676
40.998 -109.608
40.998 -109.586
40.998 -109.535
40.999 -109.501
41.001 -109.251
41.002 -109.232
41.001 -109.174
41.001 -109.05
40.959 -109.05
40.826 -109.048
40.715 -109.049
40.654 -109.048
40.619 -109.048
40.54 -109.05
40.5 -109.051
40.495 -109.05
40.444 -109.051
40.181 -109.051
40.173 -109.051
40.06 -109.051
40.059 -109.051
39.875 -109.051
39.746 -109.051
39.498 -109.051
39.462 -109.051
39.367 -109.051
39.126 -109.052
39.109 -109.052
39.022 -109.052
39.02 -109.052
39 -109.052
38.943 -109.053
38.942 -109.053
38.905 -109.054
38.904 -109.054
38.875 -109.054
38.795 -109.057
38.72 -109.06
38.599 -109.06
38.5 -109.06
38.412 -109.06
38.275 -109.06
38.245 -109.055
38.165 -109.042
38.109 -109.042
37.999 -109.043
37.997 -109.043
37.974 -109.043
37.907 -109.041
37.873 -109.042
37.842 -109.042
37.836 -109.042
37.8 -109.041
37.771 -109.042
37.75 -109.042
37.744 -109.042
37.74 -109.042
37.713 -109.042
37.711 -109.042
37.666 -109.042
37.624 -109.042
37.618 -109.042
37.604 -109.042
37.531 -109.042
37.5 -109.043
37.487 -109.043
37.476 -109.044
37.375 -109.046
37.36 -109.046
37.321 -109.046
37.25 -109.046
37.249 -109.046
37.211 -109.045
37.202 -109.046
37.177 -109.046
37.112 -109.045
37.109 -109.045
37.096 -109.045
37.086 -109.045
37.075 -109.045
37.073 -109.045
37.022 -109.045
37.02 -109.045
36.999 -109.045
36.999 -109.181
36.999 -109.234
36.999 -109.247
36.999 -109.263
36.999 -109.268
36.999 -109.27
36.999 -109.356
36.999 -109.363
36.999 -109.378
36.999 -109.381
36.999 -109.472
36.999 -109.495
36.998 -109.609
36.998 -109.614
36.998 -109.626
36.998 -109.699
36.998 -109.71
36.998 -109.784
36.999 -109.876
36.998 -109.891
36.998 -109.933
36.998 -110.001
36.999 -110.001
36.999 -110.022
36.999 -110.058
36.999 -110.059
36.999 -110.062
36.999 -110.076
36.999 -110.094
36.998 -110.112
36.998 -110.147
36.998 -110.165
36.998 -110.177
36.998 -110.276
36.998 -110.311
36.998 -110.329
36.998 -110.348
36.998 -110.383
36.998 -110.402
36.998 -110.421
36.998 -110.438
36.998 -110.468
36.998 -110.47
37.004 -110.491
37.004 -110.494
37.004 -110.501
37.004 -110.511
37.004 -110.53
37.004 -110.548
37.004 -110.565
37.003 -110.6
37.003 -110.603
37.003 -110.62
37.003 -110.626
37.004 -110.626
37.003 -110.751
37.002 -111.06
37.002 -111.061
37.002 -111.066
37.002 -111.094
37.001 -111.134
37.001 -111.14
37.001 -111.142
37.001 -111.143
37.001 -111.235
37.001 -111.244
37.001 -111.253
37.001 -111.255
37 -111.278
37.001 -111.298
37.001 -111.316
37.001 -111.356
37.001 -111.358
37.001 -111.364
37.001 -111.406
37.001 -111.413
37.001 -111.635
37.001 -111.679
37.001 -111.866
37.001 -112.113
37.001 -112.229
37.001 -112.358
37.001 -112.369
37.001 -112.375
37.001 -112.423
37.001 -112.483
37.001 -112.53
37.001 -112.54
37.001 -112.545
37.001 -112.548
37.001 -112.559
37.001 -112.61
37.001 -112.725
37 -112.899
37 -112.928
37 -112.964
37 -112.965
37 -112.966
37 -113.016
37 -113.121
37 -113.274
37 -113.307
37 -113.405
37 -113.447
37 -113.46
37 -113.495
37 -113.572
37 -113.603
37 -113.623
37 -113.704
37 -113.916
37 -113.966
37 -114.051
37.088 -114.052
37.091 -114.052
37.104 -114.053
37.134 -114.052
37.147 -114.052
37.172 -114.052
37.234 -114.051
37.284 -114.052
37.285 -114.052
37.293 -114.052
37.294 -114.052
37.37 -114.052
37.371 -114.052
37.418 -114.052
37.431 -114.052
37.492 -114.053
37.503 -114.053
37.517 -114.053
37.518 -114.053
37.531 -114.053
37.532 -114.053
37.534 -114.053
37.593 -114.053
37.605 -114.052
37.724 -114.052
37.746 -114.052
37.747 -114.052
37.756 -114.051
37.766 -114.05
37.81 -114.048
37.824 -114.05
37.853 -114.05
37.881 -114.05
38 -114.05
38.149 -114.05
38.25 -114.05
38.265 -114.049
38.405 -114.05
38.5 -114.05
38.544 -114.05
38.548 -114.05
38.573 -114.05
38.729 -114.05
38.75 -114.049
38.875 -114.049
38.876 -114.049
38.879 -114.048
39.006 -114.049
39.5 -114.047
39.543 -114.048
39.754 -114.047
39.759 -114.047
39.794 -114.048
39.821 -114.047
39.869 -114.047
39.906 -114.047
39.997 -114.047
40.03 -114.047
40.061 -114.047
40.098 -114.046
40.103 -114.047
