segment Washington
46.815 -117.04
46.766 -117.04
46.732 -117.04
46.7 -117.039
46.621 -117.04
46.588 -117.04
46.472 -117.04
46.47 -117.04
46.463 -117.04
46.429 -117.04
46.425 -117.04
46.424 -117.039
46.424 -117.038
46.423 -117.037
46.42 -117.036
46.418 -117.035
46.41 -117.036
46.408 -117.036
46.407 -117.037
46.406 -117.038
46.396 -117.041
46.395 -117.042
46.392 -117.042
46.387 -117.044
46.38 -117.047
46.377 -117.049
46.376 -117.052
46.375 -117.053
46.371 -117.058
46.368 -117.061
46.365 -117.063
46.354 -117.063
46.353 -117.063
46.349 -117.061
46.348 -117.059
46.347 -117.058
46.346 -117.056
46.345 -117.055
46.345 -117.054
46.344 -117.053
46.344 -117.052
46.342 -117.045
46.341 -117.036
46.341 -117.034
46.34 -117.031
46.339 -117.028
46.336 -117.024
46.335 -117.023
46.329 -117.023
46.326 -117.023
46.32 -117.023
46.317 -117.022
46.315 -117.021
46.311 -117.016
46.305 -117.007
46.304 -117.001
46.304 -117
46.303 -116.997
46.303 -116.996
46.299 -116.99
46.297 -116.987
46.293 -116.985
46.29 -116.985
46.28 -116.991
46.278 -116.991
46.276 -116.991
46.273 -116.987
46.266 -116.976
46.263 -116.973
46.261 -116.97
46.257 -116.967
46.255 -116.966
46.254 -116.965
46.253 -116.964
46.242 -116.959
46.231 -116.955
46.226 -116.956
46.22 -116.959
46.209 -116.966
46.208 -116.967
46.203 -116.966
46.2 -116.963
46.194 -116.952
46.19 -116.948
46.185 -116.942
46.171 -116.924
46.168 -116.922
46.165 -116.921
46.161 -116.923
46.142 -116.935
46.141 -116.936
46.127 -116.947
46.126 -116.948
46.123 -116.95
46.119 -116.951
46.111 -116.951
46.102 -116.955
46.099 -116.96
46.098 -116.974
46.097 -116.977
46.096 -116.979
46.093 -116.982
46.091 -116.982
46.089 -116.982
46.085 -116.982
46.082 -116.98
46.08 -116.979
46.077 -116.97
46.076 -116.963
46.076 -116.96
46.075 -116.957
46.068 -116.949
46.061 -116.943
46.04 -116.932
46.018 -116.923
46 -116.919
45.997 -116.917
45.995 -116.916
45.996 -116.941
45.997 -116.986
45.997 -117.051
45.998 -117.07
45.998 -117.146
45.998 -117.213
45.998 -117.215
45.998 -117.217
45.998 -117.246
45.998 -117.249
45.999 -117.278
45.999 -117.338
45.996 -117.354
45.999 -117.391
45.999 -117.44
45.998 -117.475
45.998 -117.48
45.998 -117.505
45.999 -117.603
46 -117.718
46 -117.911
46.001 -117.929
46.001 -117.971
46.001 -117.997
46 -118.126
46 -118.131
46.001 -118.146
46 -118.229
46 -118.237
46 -118.253
46 -118.256
46.001 -118.284
46 -118.315
46.001 -118.341
46.001 -118.346
46.001 -118.368
46.001 -118.378
46.001 -118.387
46.001 -118.404
46.001 -118.471
46.001 -118.497
46.001 -118.534
46.001 -118.537
46.001 -118.544
46.001 -118.555
46.001 -118.569
46.001 -118.576
46.001 -118.58
46.001 -118.607
46.001 -118.638
46.001 -118.639
46.001 -118.659
46.001 -118.678
46.001 -118.788
46.001 -118.825
46.001 -118.853
46.001 -118.897
46.001 -118.941
46 -118.978
46 -118.987
45.979 -119.009
45.969 -119.027
45.959 -119.061
45.943 -119.093
45.933 -119.126
45.928 -119.169
45.928 -119.196
45.933 -119.226
45.94 -119.257
45.933 -119.323
45.932 -119.328
45.922 -119.364
45.921 -119.376
45.917 -119.45
45.906 -119.488
45.909 -119.525
45.925 -119.572
45.92 -119.601
45.906 -119.623
45.903 -119.626
45.857 -119.67
45.846 -119.773
45.848 -119.803
45.836 -119.868
45.835 -119.876
45.828 -119.907
45.824 -119.966
45.812 -120.001
45.785 -120.07
45.773 -120.141
45.762 -120.17
45.726 -120.211
45.721 -120.282
45.72 -120.289
45.711 -120.329
45.699 -120.404
45.694 -120.482
45.699 -120.501
45.7 -120.506
45.71 -120.522
45.734 -120.553
45.738 -120.559
45.747 -120.591
45.746 -120.635
45.73 -120.669
45.716 -120.689
45.706 -120.724
45.686 -120.789
45.676 -120.836
45.672 -120.856
45.661 -120.87
45.643 -120.896
45.64 -120.913
45.641 -120.916
45.656 -120.944
45.657 -120.953
45.649 -120.978
45.648 -120.983
45.652 -121.001
45.653 -121.007
45.651 -121.034
45.653 -121.064
45.648 -121.085
45.623 -121.12
45.618 -121.117
45.616 -121.122
45.61 -121.132
45.612 -121.139
45.611 -121.141
45.608 -121.146
45.606 -121.168
45.606 -121.184
45.617 -121.197
45.63 -121.195
45.648 -121.2
45.65 -121.2
45.656 -121.205
45.671 -121.216
45.678 -121.251
45.687 -121.287
45.691 -121.294
45.7 -121.312
45.705 -121.338
45.704 -121.351
45.703 -121.373
45.693 -121.402
45.694 -121.424
45.701 -121.463
45.713 -121.484
45.716 -121.49
45.718 -121.495
45.721 -121.499
45.725 -121.522
45.727 -121.533
45.705 -121.631
45.705 -121.668
45.703 -121.676
45.695 -121.707
45.694 -121.735
45.707 -121.811
45.7 -121.838
45.695 -121.858
45.693 -121.867
45.688 -121.876
45.671 -121.902
45.662 -121.901
45.654 -121.908
45.644 -121.935
45.645 -121.952
45.644 -121.956
45.633 -121.964
45.625 -121.98
45.623 -121.983
45.616 -122.004
45.615 -122.023
45.61 -122.044
45.584 -122.101
45.584 -122.102
45.581 -122.112
45.583 -122.126
45.583 -122.129
45.583 -122.13
45.585 -122.141
45.578 -122.184
45.564 -122.202
45.548 -122.249
45.544 -122.263
45.544 -122.267
45.544 -122.295
45.548 -122.331
45.569 -122.353
45.574 -122.372
45.576 -122.38
45.576 -122.383
45.575 -122.392
45.573 -122.397
45.568 -122.411
45.564 -122.439
45.567 -122.454
45.568 -122.455
45.576 -122.471
45.578 -122.473
45.578 -122.475
45.579 -122.476
45.58 -122.479
45.583 -122.49
45.583 -122.492
45.584 -122.495
45.584 -122.496
45.586 -122.505
45.59 -122.524
45.596 -122.546
45.597 -122.548
45.604 -122.581
45.608 -122.603
45.608 -122.608
45.61 -122.644
45.618 -122.675
45.625 -122.691
45.637 -122.713
45.642 -122.73
45.643 -122.732
45.644 -122.738
45.657 -122.764
45.68 -122.775
45.695 -122.773
45.7 -122.773
45.734 -122.76
45.759 -122.761
