segment Delaware
39.802 -75.415
39.796 -75.405
39.788 -75.427
39.784 -75.436
39.783 -75.438
39.779 -75.443
39.774 -75.448
39.774 -75.449
39.774 -75.448
39.773 -75.447
39.769 -75.452
39.766 -75.459
39.763 -75.462
39.761 -75.463
39.758 -75.463
39.751 -75.466
39.744 -75.469
39.742 -75.47
39.736 -75.474
39.735 -75.474
39.731 -75.475
39.729 -75.475
39.725 -75.477
39.721 -75.477
39.718 -75.477
39.715 -75.478
39.714 -75.479
39.715 -75.482
39.716 -75.483
39.716 -75.485
39.715 -75.489
39.711 -75.491
39.709 -75.492
39.707 -75.493
39.701 -75.496
39.698 -75.504
39.697 -75.507
39.695 -75.509
39.687 -75.51
39.686 -75.51
39.693 -75.53
39.692 -75.53
39.688 -75.534
39.682 -75.54
39.676 -75.545
39.663 -75.557
39.657 -75.562
39.654 -75.572
39.654 -75.573
39.652 -75.583
39.651 -75.587
39.649 -75.589
39.645 -75.592
39.636 -75.6
39.622 -75.612
39.621 -75.613
39.62 -75.613
39.618 -75.614
39.616 -75.615
39.615 -75.614
39.613 -75.613
39.613 -75.614
39.607 -75.613
39.606 -75.614
39.598 -75.612
39.597 -75.612
39.59 -75.605
39.589 -75.604
39.588 -75.602
39.584 -75.592
39.583 -75.592
39.581 -75.588
39.58 -75.587
39.579 -75.587
39.578 -75.586
39.568 -75.572
39.567 -75.571
39.562 -75.563
39.561 -75.564
39.56 -75.565
39.559 -75.566
39.541 -75.569
39.539 -75.569
39.527 -75.57
39.52 -75.561
39.508 -75.567
39.509 -75.576
39.502 -75.583
39.496 -75.588
39.495 -75.588
39.482 -75.592
39.479 -75.593
39.478 -75.593
39.462 -75.59
39.461 -75.589
39.451 -75.58
39.449 -75.579
39.448 -75.579
39.442 -75.571
39.441 -75.571
39.439 -75.572
39.43 -75.556
39.417 -75.539
39.409 -75.536
39.392 -75.524
39.388 -75.522
39.366 -75.513
39.365 -75.512
39.359 -75.505
39.355 -75.494
39.352 -75.492
39.347 -75.494
39.346 -75.493
39.344 -75.492
39.343 -75.49
39.337 -75.48
39.331 -75.469
39.328 -75.46
39.313 -75.439
39.309 -75.437
39.298 -75.436
39.297 -75.435
39.285 -75.428
39.265 -75.408
39.255 -75.403
39.246 -75.405
39.245 -75.405
39.244 -75.406
39.224 -75.406
39.223 -75.405
39.216 -75.397
39.205 -75.393
39.188 -75.395
39.187 -75.399
39.186 -75.4
39.175 -75.408
39.156 -75.411
39.143 -75.409
39.089 -75.401
39.067 -75.402
39.066 -75.4
39.059 -75.396
39.058 -75.396
39.051 -75.388
39.049 -75.38
39.033 -75.357
39.025 -75.346
39.02 -75.341
38.988 -75.318
38.981 -75.315
38.968 -75.312
38.951 -75.313
38.949 -75.313
38.946 -75.312
38.945 -75.312
38.939 -75.303
38.925 -75.312
38.913 -75.304
38.902 -75.292
38.892 -75.279
38.877 -75.263
38.853 -75.241
38.851 -75.238
38.847 -75.235
38.844 -75.232
38.842 -75.229
38.841 -75.227
38.839 -75.226
38.823 -75.205
38.807 -75.191
38.807 -75.19
38.791 -75.161
38.791 -75.16
38.79 -75.159
38.787 -75.15
38.785 -75.143
38.782 -75.134
38.783 -75.113
38.786 -75.105
38.789 -75.097
38.794 -75.094
38.798 -75.095
38.803 -75.097
38.804 -75.094
38.797 -75.089
38.772 -75.082
38.75 -75.08
38.744 -75.08
38.742 -75.08
38.738 -75.079
38.733 -75.078
38.731 -75.078
38.73 -75.078
38.717 -75.075
38.707 -75.074
38.705 -75.073
38.688 -75.07
38.685 -75.07
38.681 -75.069
38.661 -75.066
38.632 -75.065
38.609 -75.062
38.609 -75.061
38.608 -75.061
38.608 -75.06
38.591 -75.059
38.588 -75.058
38.564 -75.056
38.546 -75.055
38.532 -75.054
38.522 -75.053
38.52 -75.053
38.508 -75.052
38.486 -75.05
38.467 -75.049
38.456 -75.049
38.451 -75.049
38.451 -75.053
38.451 -75.065
38.451 -75.066
38.451 -75.07
38.451 -75.142
38.451 -75.185
38.451 -75.186
38.451 -75.205
38.451 -75.218
38.451 -75.227
38.451 -75.236
38.451 -75.253
38.451 -75.26
38.452 -75.273
38.452 -75.331
38.452 -75.341
38.452 -75.356
38.452 -75.371
38.452 -75.394
38.452 -75.395
38.452 -75.411
38.453 -75.425
38.453 -75.429
38.454 -75.479
38.454 -75.5
38.454 -75.503
38.455 -75.521
38.455 -75.523
38.455 -75.534
38.455 -75.555
38.456 -75.557
38.456 -75.558
38.456 -75.559
38.456 -75.56
38.456 -75.561
38.456 -75.562
38.456 -75.563
38.456 -75.564
38.456 -75.574
38.456 -75.583
38.456 -75.584
38.456 -75.589
38.456 -75.593
38.457 -75.598
38.458 -75.63
38.459 -75.663
38.459 -75.666
38.46 -75.694
38.492 -75.696
38.496 -75.697
38.522 -75.699
