segment Minnesota
48.266 -92.398
48.261 -92.394
48.253 -92.389
48.249 -92.387
48.247 -92.388
48.245 -92.387
48.244 -92.386
48.245 -92.384
48.243 -92.384
48.241 -92.384
48.238 -92.383
48.236 -92.379
48.233 -92.378
48.231 -92.378
48.23 -92.378
48.224 -92.373
48.22 -92.369
48.223 -92.362
48.23 -92.353
48.231 -92.349
48.232 -92.341
48.235 -92.339
48.235 -92.337
48.235 -92.335
48.234 -92.334
48.234 -92.332
48.237 -92.325
48.237 -92.322
48.241 -92.315
48.244 -92.281
48.248 -92.27
48.257 -92.274
48.266 -92.29
48.272 -92.295
48.276 -92.293
48.277 -92.295
48.278 -92.296
48.289 -92.301
48.306 -92.295
48.316 -92.306
48.323 -92.305
48.324 -92.295
48.343 -92.289
48.355 -92.262
48.349 -92.223
48.348 -92.22
48.345 -92.217
48.346 -92.207
48.347 -92.207
48.348 -92.208
48.352 -92.204
48.35 -92.195
48.349 -92.194
48.352 -92.178
48.355 -92.179
48.357 -92.177
48.363 -92.162
48.366 -92.145
48.356 -92.144
48.355 -92.092
48.354 -92.084
48.358 -92.078
48.36 -92.066
48.359 -92.055
48.349 -92.049
48.348 -92.046
48.346 -92.045
48.344 -92.048
48.335 -92.047
48.333 -92.038
48.326 -92.031
48.321 -92
48.297 -92.013
48.287 -92.012
48.28 -92.007
48.265 -92.007
48.26 -91.99
48.248 -91.981
48.247 -91.978
48.246 -91.977
48.246 -91.978
48.245 -91.977
48.245 -91.976
48.248 -91.971
48.249 -91.97
48.25 -91.973
48.253 -91.972
48.254 -91.97
48.254 -91.96
48.252 -91.954
48.251 -91.954
48.249 -91.954
48.249 -91.953
48.247 -91.952
48.244 -91.952
48.244 -91.953
48.243 -91.958
48.241 -91.958
48.239 -91.958
48.238 -91.958
48.236 -91.959
48.233 -91.958
48.233 -91.953
48.233 -91.951
48.23 -91.945
48.231 -91.942
48.232 -91.941
48.234 -91.937
48.236 -91.929
48.237 -91.921
48.238 -91.918
48.239 -91.917
48.239 -91.916
48.239 -91.915
48.238 -91.908
48.238 -91.907
48.237 -91.906
48.237 -91.904
48.238 -91.893
48.227 -91.885
48.219 -91.868
48.207 -91.864
48.209 -91.846
48.21 -91.839
48.21 -91.834
48.209 -91.832
48.212 -91.816
48.209 -91.814
48.206 -91.809
48.203 -91.798
48.203 -91.797
48.202 -91.792
48.197 -91.789
48.196 -91.786
48.2 -91.781
48.201 -91.765
48.201 -91.763
48.205 -91.761
48.205 -91.757
48.201 -91.754
48.199 -91.749
48.198 -91.745
48.199 -91.742
48.204 -91.742
48.204 -91.739
48.199 -91.715
48.194 -91.711
48.189 -91.712
48.188 -91.712
48.18 -91.721
48.178 -91.723
48.171 -91.725
48.169 -91.723
48.172 -91.718
48.173 -91.709
48.171 -91.705
48.16 -91.705
48.154 -91.707
48.153 -91.709
48.145 -91.704
48.145 -91.702
48.145 -91.699
48.144 -91.698
48.142 -91.698
48.132 -91.7
48.125 -91.704
48.123 -91.708
48.117 -91.712
48.116 -91.713
48.115 -91.712
48.114 -91.704
48.116 -91.693
48.118 -91.692
48.119 -91.692
48.122 -91.683
48.118 -91.684
48.112 -91.688
48.108 -91.681
48.107 -91.677
48.108 -91.672
48.108 -91.668
48.107 -91.665
48.109 -91.663
48.111 -91.663
48.114 -91.653
48.114 -91.652
48.113 -91.652
48.11 -91.654
48.097 -91.64
48.102 -91.615
48.102 -91.589
48.107 -91.576
48.108 -91.559
48.103 -91.553
48.093 -91.57
48.066 -91.575
48.057 -91.573
48.049 -91.576
48.044 -91.567
48.053 -91.543
48.068 -91.489
48.067 -91.465
48.069 -91.45
48.067 -91.447
48.063 -91.447
48.052 -91.438
48.05 -91.439
48.049 -91.438
48.049 -91.43
48.054 -91.414
48.057 -91.391
48.065 -91.379
48.069 -91.371
48.067 -91.365
48.072 -91.351
48.073 -91.34
48.071 -91.337
48.07 -91.337
48.069 -91.333
48.07 -91.33
48.071 -91.329
48.071 -91.328
48.073 -91.325
48.073 -91.315
48.073 -91.312
48.073 -91.303
48.074 -91.29
48.078 -91.276
48.079 -91.266
48.084 -91.25
48.096 -91.235
48.1 -91.226
48.103 -91.214
48.125 -91.19
48.122 -91.183
48.126 -91.176
48.14 -91.156
48.149 -91.138
48.151 -91.138
48.153 -91.139
48.155 -91.139
48.156 -91.139
48.16 -91.12
48.162 -91.118
48.166 -91.115
48.168 -91.109
48.171 -91.098
48.173 -91.092
48.177 -91.089
48.181 -91.083
48.18 -91.081
48.179 -91.08
48.179 -91.076
48.181 -91.066
48.185 -91.063
48.188 -91.057
48.189 -91.044
48.189 -91.036
48.189 -91.035
48.188 -91.032
48.19 -91.024
48.192 -91.023
48.198 -91.012
48.2 -91.003
48.203 -91.004
48.219 -90.977
48.23 -90.925
48.231 -90.915
48.237 -90.907
48.24 -90.899
48.246 -90.885
48.24 -90.881
48.238 -90.875
48.238 -90.867
48.244 -90.847
48.244 -90.844
48.24 -90.839
48.235 -90.838
48.228 -90.84
48.227 -90.838
48.226 -90.837
48.202 -90.835
48.189 -90.834
48.177 -90.836
48.174 -90.833
48.177 -90.826
48.181 -90.825
48.184 -90.826
48.185 -90.821
48.183 -90.819
48.18 -90.818
48.18 -90.811
48.178 -90.804
48.163 -90.801
48.159 -90.797
48.161 -90.786
48.164 -90.783
48.165 -90.781
48.164 -90.778
48.162 -90.776
48.157 -90.778
48.149 -90.778
48.146 -90.786
48.14 -90.797
48.137 -90.798
48.136 -90.795
48.136 -90.794
48.136 -90.79
48.135 -90.788
48.134 -90.787
48.133 -90.788
48.13 -90.79
48.128 -90.787
48.127 -90.783
48.124 -90.777
48.122 -90.776
48.119 -90.774
48.118 -90.773
48.117 -90.769
48.11 -90.768
48.1 -90.762
48.098 -90.762
48.091 -90.752
48.095 -90.742
48.096 -90.704
48.101 -90.687
48.104 -90.642
48.112 -90.627
48.112 -90.62
48.112 -90.616
48.116 -90.606
48.118 -90.591
48.12 -90.591
48.124 -90.582
48.124 -90.58
48.121 -90.577
48.121 -90.576
48.121 -90.57
48.123 -90.566
48.122 -90.559
48.117 -90.556
48.107 -90.57
48.101 -90.567
48.099 -90.564
48.096 -90.557
48.099 -90.517
48.097 -90.511
48.099 -90.508
48.1 -90.505
48.099 -90.496
48.1 -90.495
48.101 -90.494
48.099 -90.49
48.099 -90.487
48.1 -90.483
48.102 -90.48
48.105 -90.478
48.106 -90.471
48.109 -90.468
48.109 -90.465
48.107 -90.463
48.105 -90.452
48.103 -90.447
48.101 -90.443
48.099 -90.438
48.105 -90.41
48.105 -90.403
48.1 -90.393
48.1 -90.39
48.098 -90.386
48.096 -90.386
48.095 -90.385
48.093 -90.382
48.091 -90.375
48.091 -90.373
48.094 -90.372
48.095 -90.368
48.095 -90.354
48.094 -90.347
48.094 -90.344
48.095 -90.343
48.096 -90.343
48.096 -90.338
48.1 -90.337
48.102 -90.33
48.104 -90.317
48.105 -90.312
48.105 -90.306
48.103 -90.298
48.099 -90.293
48.099 -90.289
48.103 -90.275
48.103 -90.265
48.102 -90.254
48.107 -90.234
48.108 -90.225
48.107 -90.216
48.106 -90.211
48.108 -90.195
48.108 -90.189
48.112 -90.177
48.11 -90.164
48.11 -90.151
48.112 -90.145
48.113 -90.144
48.112 -90.136
48.112 -90.133
48.108 -90.129
48.108 -90.125
48.107 -90.124
48.106 -90.123
48.104 -90.116
48.105 -90.092
48.101 -90.074
48.096 -90.058
48.092 -90.049
48.091 -90.046
48.091 -90.044
48.09 -90.039
48.088 -90.03
48.085 -90.024
48.072 -90.019
48.067 -90.015
48.068 -90.011
48.069 -90.01
48.068 -90.008
48.058 -89.998
48.049 -89.994
48.042 -89.996
48.035 -89.997
48.031 -89.995
48.028 -89.993
48.026 -89.989
48.025 -89.987
48.026 -89.985
48.026 -89.984
48.024 -89.977
48.02 -89.973
48.014 -89.968
48.015 -89.963
48.012 -89.955
48.016 -89.951
48.016 -89.934
48.013 -89.933
48.01 -89.933
48.008 -89.931
48 -89.922
47.995 -89.915
47.993 -89.911
47.992 -89.905
47.992 -89.904
47.989 -89.9
47.988 -89.898
47.988 -89.897
47.987 -89.896
47.987 -89.895
47.986 -89.887
47.986 -89.881
47.985 -89.873
47.986 -89.873
47.986 -89.872
47.986 -89.871
47.987 -89.871
47.988 -89.87
47.99 -89.868
47.992 -89.848
47.993 -89.846
47.997 -89.843
48.001 -89.843
48.002 -89.843
48.003 -89.842
48.002 -89.839
48 -89.834
47.999 -89.832
48 -89.83
48.011 -89.823
48.015 -89.82
48.017 -89.807
48.014 -89.806
48.014 -89.805
48.015 -89.798
48.015 -89.796
48.017 -89.795
48.018 -89.794
48.018 -89.792
48.018 -89.783
48.018 -89.779
48.022 -89.774
48.023 -89.764
48.023 -89.749
48.022 -89.744
48.02 -89.743
48.02 -89.739
48.021 -89.737
48.02 -89.731
48.019 -89.731
48.019 -89.724
48.02 -89.724
48.02 -89.723
48.02 -89.722
48.018 -89.721
48.017 -89.722
48.018 -89.723
48.016 -89.724
48.014 -89.724
48.014 -89.721
48.016 -89.719
48.017 -89.717
48.016 -89.716
48.01 -89.716
48.009 -89.716
48.01 -89.713
48.01 -89.708
48.01 -89.707
48.008 -89.706
48.006 -89.703
48.006 -89.701
48.011 -89.689
48.011 -89.686
48.01 -89.686
48.01 -89.685
48.01 -89.68
48.011 -89.677
48.012 -89.674
48.011 -89.672
48.01 -89.672
48.008 -89.669
48.007 -89.667
48.008 -89.665
48.011 -89.663
48.01 -89.657
48.008 -89.656
48.005 -89.653
48.004 -89.651
48.004 -89.649
48.005 -89.648
48.006 -89.645
48.006 -89.641
48.004 -89.64
48.004 -89.638
48.004 -89.637
48.005 -89.637
48.007 -89.638
48.008 -89.639
48.009 -89.637
48.012 -89.625
48.011 -89.622
48.011 -89.62
48.011 -89.618
48.012 -89.616
48.015 -89.614
48.018 -89.612
48.018 -89.61
48.017 -89.609
48.012 -89.609
48.009 -89.61
48.007 -89.608
48.005 -89.602
48.004 -89.595
48.002 -89.589
48 -89.586
47.997 -89.583
47.997 -89.582
47.996 -89.582
47.996 -89.581
47.998 -89.571
48.003 -89.564
48.015 -89.489
48.005 -89.492
48.004 -89.493
48.002 -89.495
48 -89.507
47.993 -89.542
47.987 -89.552
47.981 -89.553
47.975 -89.555
47.972 -89.563
47.971 -89.564
47.967 -89.572
47.966 -89.588
47.971 -89.596
47.979 -89.609
47.98 -89.611
47.981 -89.611
47.981 -89.616
47.983 -89.625
47.98 -89.632
47.973 -89.637
47.968 -89.64
47.96 -89.64
47.954 -89.638
47.954 -89.64
47.952 -89.656
47.951 -89.661
47.946 -89.681
47.941 -89.698
47.934 -89.712
47.925 -89.73
47.918 -89.738
47.911 -89.752
47.907 -89.759
47.903 -89.768
47.891 -89.794
47.882 -89.824
47.882 -89.827
47.881 -89.828
47.878 -89.839
47.878 -89.84
47.877 -89.844
