segment Oklahoma
37.002 -100.188
37.002 -100.116
37.002 -100.006
37.002 -100.003
37.002 -100.001
37.002 -99.995
37.002 -99.875
37.001 -99.832
37.001 -99.786
37.001 -99.775
37.001 -99.774
37 -99.658
37 -99.649
37 -99.625
37 -99.575
37 -99.558
37 -99.509
37 -99.504
37 -99.503
37 -99.5
37 -99.484
36.999 -99.456
37 -99.407
37 -99.375
37 -99.278
37 -99.248
36.999 -99.129
36.999 -99.125
36.999 -99.05
37 -99.029
37 -99.014
37 -99.013
36.999 -98.994
36.999 -98.923
36.999 -98.881
36.999 -98.88
36.999 -98.871
36.999 -98.869
36.999 -98.797
36.999 -98.794
36.999 -98.792
36.999 -98.762
36.999 -98.718
36.999 -98.715
36.999 -98.652
36.999 -98.545
36.999 -98.42
36.999 -98.418
36.999 -98.409
36.998 -98.364
36.998 -98.354
36.998 -98.346
36.998 -98.238
36.998 -98.22
36.998 -98.208
36.998 -98.178
36.998 -98.147
36.998 -98.112
36.998 -98.045
36.998 -98.04
36.998 -98.039
36.998 -98.034
36.998 -98.03
36.998 -98
36.999 -97.895
36.999 -97.876
36.999 -97.802
36.999 -97.787
36.999 -97.783
36.999 -97.769
36.999 -97.697
36.999 -97.65
36.999 -97.637
36.999 -97.609
36.999 -97.607
36.999 -97.565
36.999 -97.547
36.999 -97.546
36.999 -97.527
36.999 -97.473
36.999 -97.462
36.999 -97.385
36.999 -97.372
36.999 -97.343
36.999 -97.301
36.999 -97.156
36.999 -97.148
36.999 -97.138
36.999 -97.123
36.999 -97.12
36.999 -97.104
36.999 -97.101
36.999 -97.04
36.999 -97.03
36.999 -96.976
36.999 -96.967
36.999 -96.935
36.999 -96.926
36.999 -96.925
36.999 -96.922
36.999 -96.917
36.999 -96.904
36.999 -96.902
36.999 -96.876
36.999 -96.868
36.999 -96.823
36.999 -96.795
36.999 -96.792
36.999 -96.75
36.999 -96.741
36.999 -96.737
36.999 -96.71
36.999 -96.705
36.999 -96.525
36.999 -96.5
36.999 -96.415
36.999 -96.394
36.999 -96.279
36.999 -96.276
36.999 -96.218
36.999 -96.2
36.999 -96.185
36.999 -96.154
36.999 -96.152
36.999 -96.15
36.999 -96.147
36.999 -96.143
36.999 -96.141
36.999 -96.001
36.999 -95.937
36.999 -95.928
36.999 -95.91
36.999 -95.877
36.999 -95.875
36.999 -95.874
36.999 -95.867
36.999 -95.808
36.999 -95.787
36.999 -95.769
36.999 -95.76
36.999 -95.742
36.999 -95.718
36.999 -95.715
36.999 -95.71
36.999 -95.697
36.999 -95.686
36.999 -95.664
36.999 -95.643
36.999 -95.63
36.999 -95.629
36.999 -95.624
36.999 -95.616
36.999 -95.612
36.999 -95.589
36.999 -95.574
36.999 -95.534
36.999 -95.512
36.999 -95.408
36.999 -95.331
36.999 -95.328
36.999 -95.323
36.999 -95.282
37 -95.195
37 -95.177
37 -95.155
37 -95.074
37 -95.049
36.999 -95.038
37 -95.03
37 -95.011
37 -95.008
37 -94.995
36.999 -94.905
36.999 -94.897
36.999 -94.89
36.999 -94.853
36.999 -94.85
36.999 -94.845
36.999 -94.844
36.999 -94.841
36.999 -94.831
36.999 -94.82
36.999 -94.809
36.999 -94.777
36.999 -94.739
36.999 -94.737
36.999 -94.713
36.999 -94.702
36.999 -94.7
36.999 -94.625
36.998 -94.618
36.996 -94.618
36.995 -94.618
36.95 -94.618
36.947 -94.618
36.938 -94.618
36.93 -94.618
36.926 -94.618
36.92 -94.618
36.911 -94.618
36.897 -94.618
36.88 -94.619
36.869 -94.619
36.847 -94.618
36.844 -94.618
36.843 -94.618
36.825 -94.618
36.822 -94.618
36.789 -94.618
36.771 -94.618
36.767 -94.618
36.757 -94.618
36.701 -94.618
36.669 -94.618
36.668 -94.618
36.653 -94.618
36.625 -94.618
36.613 -94.618
36.607 -94.618
36.599 -94.618
36.598 -94.618
36.578 -94.618
36.569 -94.618
36.553 -94.618
36.548 -94.618
36.537 -94.618
36.536 -94.618
36.534 -94.618
36.518 -94.618
36.515 -94.618
36.499 -94.618
36.485 -94.615
36.476 -94.614
36.469 -94.613
36.462 -94.612
36.422 -94.605
36.405 -94.603
36.402 -94.602
36.395 -94.601
36.388 -94.6
36.346 -94.593
36.344 -94.593
36.333 -94.591
36.3 -94.586
36.25 -94.578
36.24 -94.576
36.234 -94.575
36.233 -94.575
36.23 -94.574
36.214 -94.572
36.211 -94.571
36.187 -94.567
36.184 -94.567
36.178 -94.566
36.163 -94.563
36.162 -94.563
36.152 -94.561
36.143 -94.559
36.078 -94.548
36.077 -94.548
36.051 -94.543
36.041 -94.542
36.017 -94.537
36.008 -94.536
36.003 -94.535
35.997 -94.534
35.988 -94.532
35.966 -94.528
35.946 -94.525
35.944 -94.524
35.936 -94.523
35.935 -94.523
35.934 -94.523
35.911 -94.519
35.906 -94.518
35.902 -94.518
35.846 -94.508
35.834 -94.506
35.826 -94.504
35.817 -94.503
35.806 -94.501
35.804 -94.501
35.803 -94.501
35.797 -94.5
35.793 -94.499
35.792 -94.499
35.768 -94.495
35.762 -94.493
35.751 -94.492
35.729 -94.488
35.726 -94.488
35.707 -94.484
35.698 -94.483
35.639 -94.473
35.594 -94.465
35.589 -94.464
35.587 -94.464
35.583 -94.463
35.561 -94.46
35.543 -94.457
35.527 -94.454
35.497 -94.45
35.453 -94.442
35.451 -94.441
35.446 -94.441
35.421 -94.436
35.394 -94.431
35.392 -94.432
35.387 -94.434
35.381 -94.433
35.376 -94.433
35.37 -94.432
35.367 -94.432
35.363 -94.432
35.354 -94.432
35.352 -94.432
35.346 -94.433
35.317 -94.434
35.315 -94.434
35.306 -94.434
35.291 -94.435
35.287 -94.435
35.276 -94.435
35.274 -94.436
35.271 -94.436
35.258 -94.436
35.25 -94.437
35.242 -94.438
35.239 -94.438
35.231 -94.438
35.211 -94.438
35.209 -94.438
35.202 -94.439
35.197 -94.439
35.194 -94.439
35.187 -94.439
35.185 -94.439
35.172 -94.44
35.169 -94.44
35.164 -94.44
35.129 -94.441
35.12 -94.441
35.111 -94.442
35.019 -94.445
35.001 -94.445
34.978 -94.446
34.896 -94.449
34.894 -94.449
34.891 -94.449
34.885 -94.449
34.875 -94.45
34.861 -94.45
34.859 -94.45
34.855 -94.45
34.828 -94.451
34.743 -94.454
34.74 -94.454
34.737 -94.454
34.706 -94.455
34.694 -94.456
34.643 -94.458
34.635 -94.458
34.6 -94.459
34.548 -94.46
34.545 -94.46
34.507 -94.461
34.433 -94.463
34.42 -94.464
34.414 -94.464
34.403 -94.464
34.378 -94.465
34.36 -94.465
34.352 -94.466
34.238 -94.469
34.211 -94.47
34.159 -94.471
34.155 -94.471
34.074 -94.473
34.059 -94.474
34.022 -94.475
34.02 -94.475
33.957 -94.477
33.954 -94.477
33.941 -94.477
33.938 -94.477
33.881 -94.479
33.857 -94.48
33.851 -94.48
33.83 -94.481
33.803 -94.481
33.796 -94.482
33.789 -94.482
33.756 -94.483
33.754 -94.483
33.751 -94.483
33.717 -94.484
33.711 -94.484
33.692 -94.485
33.688 -94.485
33.663 -94.486
33.653 -94.486
33.638 -94.486
33.629 -94.488
