segment Vermont
44.58 -71.551
44.581 -71.553
44.58 -71.554
44.578 -71.554
44.577 -71.553
44.573 -71.549
44.572 -71.549
44.571 -71.55
44.57 -71.552
44.57 -71.553
44.571 -71.556
44.571 -71.557
44.571 -71.558
44.57 -71.558
44.569 -71.559
44.568 -71.559
44.566 -71.559
44.564 -71.56
44.564 -71.562
44.563 -71.563
44.563 -71.57
44.565 -71.576
44.566 -71.59
44.565 -71.592
44.565 -71.593
44.564 -71.593
44.564 -71.594
44.561 -71.596
44.557 -71.598
44.555 -71.598
44.553 -71.597
44.548 -71.588
44.541 -71.575
44.538 -71.573
44.536 -71.573
44.534 -71.574
44.53 -71.577
44.524 -71.583
44.523 -71.586
44.522 -71.587
44.523 -71.593
44.522 -71.594
44.52 -71.594
44.518 -71.592
44.515 -71.587
44.513 -71.586
44.51 -71.585
44.508 -71.583
44.505 -71.578
44.504 -71.577
44.503 -71.577
44.503 -71.578
44.502 -71.579
44.502 -71.58
44.502 -71.581
44.503 -71.584
44.503 -71.587
44.5 -71.586
44.499 -71.587
44.499 -71.588
44.499 -71.589
44.499 -71.59
44.5 -71.59
44.501 -71.592
44.501 -71.594
44.499 -71.595
44.494 -71.595
44.488 -71.598
44.487 -71.599
44.486 -71.599
44.486 -71.6
44.485 -71.606
44.484 -71.61
44.486 -71.616
44.486 -71.618
44.485 -71.618
44.485 -71.619
44.484 -71.62
44.481 -71.622
44.482 -71.625
44.483 -71.626
44.484 -71.628
44.484 -71.631
44.484 -71.632
44.484 -71.633
44.478 -71.639
44.477 -71.643
44.475 -71.646
44.473 -71.648
44.472 -71.648
44.47 -71.648
44.469 -71.647
44.466 -71.641
44.464 -71.64
44.462 -71.643
44.461 -71.645
44.461 -71.652
44.46 -71.653
44.454 -71.657
44.445 -71.659
44.44 -71.662
44.438 -71.664
44.437 -71.668
44.437 -71.669
44.436 -71.677
44.435 -71.679
44.434 -71.68
44.432 -71.679
44.428 -71.68
44.423 -71.686
44.421 -71.691
44.416 -71.699
44.412 -71.708
44.41 -71.715
44.411 -71.725
44.411 -71.726
44.411 -71.732
44.41 -71.736
44.409 -71.737
44.409 -71.738
44.408 -71.739
44.407 -71.74
44.406 -71.741
44.402 -71.742
44.402 -71.743
44.401 -71.745
44.402 -71.75
44.406 -71.754
44.406 -71.756
44.407 -71.762
44.407 -71.764
44.407 -71.765
44.405 -71.768
44.403 -71.773
44.401 -71.775
44.4 -71.779
44.4 -71.791
44.399 -71.794
44.393 -71.802
44.392 -71.803
44.391 -71.803
44.39 -71.803
44.386 -71.8
44.384 -71.8
44.383 -71.803
44.384 -71.809
44.383 -71.813
44.382 -71.814
44.375 -71.816
44.375 -71.815
44.373 -71.812
44.371 -71.812
44.37 -71.813
44.369 -71.815
44.368 -71.816
44.364 -71.815
44.358 -71.812
44.357 -71.812
44.356 -71.813
44.355 -71.814
44.353 -71.819
44.352 -71.826
44.35 -71.833
44.348 -71.838
44.344 -71.844
44.341 -71.853
44.34 -71.862
44.337 -71.87
44.337 -71.871
44.337 -71.872
44.337 -71.876
44.34 -71.882
44.347 -71.9
44.347 -71.902
44.348 -71.903
44.348 -71.907
44.347 -71.917
44.342 -71.925
44.338 -71.929
44.336 -71.935
44.336 -71.939
44.338 -71.945
44.338 -71.958
44.337 -71.963
44.337 -71.981
44.336 -71.985
44.331 -71.986
44.33 -71.988
44.325 -72.002
44.322 -72.01
44.321 -72.015
44.32 -72.019
44.321 -72.022
44.322 -72.026
44.322 -72.029
44.32 -72.033
44.317 -72.034
44.316 -72.032
44.307 -72.032
44.304 -72.033
44.302 -72.033
44.298 -72.037
44.296 -72.039
44.292 -72.046
44.291 -72.053
44.286 -72.059
44.277 -72.065
44.271 -72.068
44.268 -72.066
44.268 -72.065
44.27 -72.061
44.27 -72.059
44.268 -72.058
44.267 -72.059
44.266 -72.059
44.265 -72.06
44.263 -72.061
44.256 -72.06
44.247 -72.054
44.244 -72.051
44.244 -72.05
44.241 -72.048
44.238 -72.048
44.234 -72.051
44.226 -72.054
44.223 -72.054
44.219 -72.053
44.217 -72.053
44.208 -72.059
44.206 -72.058
44.202 -72.059
44.2 -72.06
44.198 -72.064
44.197 -72.065
44.19 -72.066
44.185 -72.061
44.179 -72.057
44.168 -72.053
