segment Texas
36.5 -103.002
36.5 -102.904
36.5 -102.84
36.5 -102.792
36.5 -102.643
36.5 -102.366
36.5 -102.25
36.501 -102.245
36.5 -102.162
36.5 -102.125
36.501 -102.122
36.501 -101.93
36.5 -101.925
36.5 -101.915
36.5 -101.827
36.5 -101.826
36.5 -101.814
36.5 -101.788
36.5 -101.783
36.5 -101.782
36.5 -101.781
36.5 -101.779
36.5 -101.773
36.5 -101.709
36.5 -101.699
36.5 -101.654
36.5 -101.65
36.5 -101.624
36.499 -101.415
36.499 -101.393
36.499 -101.34
36.499 -101.085
36.5 -101.052
36.5 -101.045
36.5 -100.977
36.5 -100.936
36.5 -100.919
36.5 -100.884
36.5 -100.86
36.5 -100.851
36.5 -100.824
36.5 -100.806
36.5 -100.803
36.5 -100.762
36.5 -100.724
36.5 -100.709
36.499 -100.658
36.5 -100.658
36.499 -100.648
36.499 -100.593
36.499 -100.584
36.499 -100.583
36.499 -100.578
36.499 -100.546
36.499 -100.531
36.499 -100.53
36.499 -100.522
36.499 -100.441
36.499 -100.434
36.499 -100.421
36.499 -100.414
36.5 -100.379
36.499 -100.379
36.499 -100.352
36.499 -100.334
36.5 -100.324
36.5 -100.311
36.5 -100.254
36.5 -100.181
36.5 -100.09
36.5 -100
36.499 -100
36.26 -100
36.056 -100
35.879 -100
35.745 -100
35.619 -100
35.519 -100
35.3 -100
35.298 -100
35.183 -100
34.853 -100
34.812 -100
34.746 -100
34.571 -100
34.561 -100
34.56 -99.998
34.56 -99.986
34.561 -99.975
34.562 -99.972
34.566 -99.966
34.571 -99.959
34.573 -99.958
34.574 -99.958
34.577 -99.957
34.578 -99.955
34.579 -99.946
34.577 -99.93
34.577 -99.929
34.575 -99.923
34.57 -99.922
34.566 -99.916
34.565 -99.914
34.556 -99.899
34.556 -99.896
34.554 -99.894
34.549 -99.887
34.547 -99.885
34.541 -99.878
34.539 -99.877
34.537 -99.874
34.535 -99.873
34.532 -99.872
34.528 -99.869
34.526 -99.867
34.512 -99.853
34.5 -99.833
34.498 -99.825
34.488 -99.818
34.485 -99.819
34.477 -99.815
34.476 -99.814
34.454 -99.794
34.445 -99.784
34.444 -99.783
34.444 -99.776
34.443 -99.774
34.437 -99.766
34.436 -99.765
34.435 -99.765
34.432 -99.768
34.431 -99.767
34.421 -99.754
34.415 -99.741
34.413 -99.736
34.411 -99.73
34.406 -99.72
34.403 -99.716
34.401 -99.715
34.398 -99.714
34.395 -99.715
34.391 -99.713
34.388 -99.708
34.381 -99.696
34.38 -99.678
34.378 -99.672
34.378 -99.671
34.375 -99.667
34.374 -99.666
34.374 -99.665
34.374 -99.663
34.374 -99.66
34.374 -99.659
34.377 -99.654
34.38 -99.65
34.376 -99.631
34.375 -99.629
34.374 -99.624
34.375 -99.6
34.377 -99.596
34.386 -99.588
34.386 -99.587
34.389 -99.586
34.389 -99.585
34.391 -99.585
34.398 -99.585
34.408 -99.584
34.417 -99.58
34.418 -99.574
34.418 -99.57
34.417 -99.563
34.417 -99.562
34.415 -99.556
34.413 -99.549
34.411 -99.53
34.412 -99.529
34.412 -99.524
34.414 -99.518
34.414 -99.514
34.41 -99.5
34.408 -99.497
34.405 -99.494
34.4 -99.49
34.398 -99.487
34.396 -99.478
34.396 -99.477
34.396 -99.475
34.396 -99.472
34.396 -99.471
34.393 -99.463
34.388 -99.453
34.38 -99.445
34.374 -99.441
34.373 -99.431
34.374 -99.431
34.38 -99.42
34.373 -99.409
34.373 -99.407
34.373 -99.406
34.373 -99.404
34.373 -99.403
34.375 -99.4
34.378 -99.397
34.383 -99.396
34.406 -99.391
34.415 -99.394
34.417 -99.396
34.419 -99.397
34.424 -99.397
34.435 -99.396
34.442 -99.395
34.457 -99.381
34.459 -99.376
34.459 -99.375
34.459 -99.37
34.456 -99.359
34.452 -99.355
34.45 -99.355
34.447 -99.357
34.445 -99.357
34.442 -99.357
34.437 -99.35
34.432 -99.342
34.431 -99.341
34.428 -99.334
34.425 -99.331
34.422 -99.329
34.416 -99.325
34.414 -99.324
34.411 -99.321
34.409 -99.32
34.408 -99.318
34.408 -99.316
34.41 -99.308
34.414 -99.299
34.415 -99.295
34.415 -99.29
34.414 -99.288
34.405 -99.264
34.403 -99.261
34.402 -99.261
34.392 -99.259
34.391 -99.259
34.39 -99.261
34.389 -99.263
34.388 -99.264
34.388 -99.265
34.388 -99.271
34.388 -99.272
34.388 -99.274
34.387 -99.275
34.385 -99.275
34.382 -99.272
34.382 -99.271
