segment Iowa
42.764 -91.063
42.762 -91.06
42.76 -91.06
42.758 -91.061
42.757 -91.063
42.757 -91.065
42.753 -91.066
42.751 -91.065
42.751 -91.064
42.75 -91.06
42.749 -91.058
42.747 -91.056
42.745 -91.055
42.741 -91.055
42.74 -91.055
42.738 -91.054
42.737 -91.052
42.737 -91.051
42.737 -91.05
42.737 -91.049
42.737 -91.047
42.739 -91.044
42.738 -91.039
42.738 -91.038
42.738 -91.037
42.737 -91.035
42.735 -91.033
42.734 -91.032
42.733 -91.031
42.732 -91.031
42.73 -91.031
42.727 -91.03
42.724 -91.027
42.72 -91.018
42.72 -91.017
42.719 -91.016
42.719 -91.015
42.72 -91.01
42.716 -91
42.714 -90.996
42.709 -90.989
42.699 -90.981
42.697 -90.978
42.695 -90.974
42.693 -90.965
42.687 -90.952
42.686 -90.949
42.684 -90.942
42.683 -90.937
42.684 -90.93
42.686 -90.924
42.685 -90.921
42.683 -90.913
42.677 -90.901
42.676 -90.9
42.676 -90.899
42.675 -90.897
42.674 -90.893
42.672 -90.887
42.672 -90.883
42.671 -90.881
42.669 -90.867
42.665 -90.853
42.663 -90.844
42.662 -90.833
42.657 -90.805
42.656 -90.797
42.654 -90.788
42.653 -90.779
42.651 -90.769
42.649 -90.76
42.647 -90.751
42.646 -90.744
42.644 -90.733
42.643 -90.731
42.641 -90.72
42.636 -90.71
42.636 -90.709
42.634 -90.706
42.631 -90.703
42.626 -90.701
42.622 -90.7
42.615 -90.694
42.61 -90.692
42.599 -90.688
42.595 -90.688
42.592 -90.687
42.59 -90.685
42.582 -90.679
42.579 -90.677
42.578 -90.676
42.578 -90.675
42.577 -90.673
42.568 -90.662
42.558 -90.659
42.55 -90.654
42.544 -90.646
42.54 -90.644
42.533 -90.642
42.531 -90.642
42.528 -90.641
42.526 -90.64
42.519 -90.637
42.513 -90.637
42.508 -90.641
42.498 -90.649
42.492 -90.656
42.489 -90.657
42.484 -90.656
42.479 -90.654
42.472 -90.647
42.471 -90.646
42.469 -90.642
42.468 -90.641
42.459 -90.624
42.452 -90.606
42.447 -90.59
42.444 -90.582
42.442 -90.571
42.44 -90.568
42.439 -90.565
42.433 -90.56
42.429 -90.559
42.421 -90.558
42.419 -90.558
42.416 -90.555
42.413 -90.548
42.403 -90.518
42.399 -90.507
42.396 -90.5
42.392 -90.496
42.387 -90.49
42.385 -90.487
42.385 -90.485
42.385 -90.48
42.384 -90.477
42.382 -90.474
42.381 -90.474
42.378 -90.47
42.369 -90.465
42.369 -90.464
42.368 -90.463
42.367 -90.463
42.359 -90.453
42.357 -90.446
42.356 -90.444
42.355 -90.444
42.354 -90.443
42.351 -90.441
42.337 -90.431
42.333 -90.425
42.33 -90.421
42.329 -90.419
42.325 -90.417
42.323 -90.416
42.321 -90.416
42.32 -90.417
42.318 -90.42
42.316 -90.421
42.312 -90.42
42.305 -90.42
42.3 -90.422
42.295 -90.424
42.293 -90.424
42.291 -90.426
42.291 -90.427
42.284 -90.431
42.278 -90.431
42.269 -90.426
42.269 -90.425
42.266 -90.424
42.261 -90.422
42.26 -90.422
42.254 -90.419
42.253 -90.418
42.252 -90.416
42.251 -90.415
42.248 -90.41
42.239 -90.401
42.233 -90.396
42.229 -90.395
42.228 -90.394
42.225 -90.391
42.215 -90.375
42.211 -90.365
42.208 -90.36
42.205 -90.357
42.203 -90.338
42.201 -90.328
42.194 -90.318
42.194 -90.317
42.193 -90.316
42.19 -90.307
42.189 -90.303
42.188 -90.298
42.186 -90.296
42.179 -90.282
42.174 -90.269
42.172 -90.255
42.171 -90.25
42.165 -90.235
42.16 -90.224
42.157 -90.216
42.153 -90.209
42.149 -90.207
42.146 -90.206
42.145 -90.206
42.139 -90.205
