segment Colorado
41.002 -107.918
41.002 -107.691
41.002 -107.626
41.003 -107.522
41.003 -107.367
41.003 -107.318
41.003 -107.305
41.003 -107.241
41.003 -107.001
41.003 -106.858
41.002 -106.454
41.002 -106.44
41.002 -106.437
41.002 -106.431
41.001 -106.392
41.001 -106.386
40.999 -106.321
40.998 -106.218
40.998 -106.195
40.998 -106.191
40.997 -106.061
40.997 -105.764
40.997 -105.73
40.997 -105.725
40.997 -105.554
40.998 -105.412
40.998 -105.277
40.998 -105.257
40.998 -105.255
40.998 -105.173
40.998 -104.943
40.998 -104.855
40.999 -104.83
41.001 -104.676
41.002 -104.497
41.001 -104.468
41.002 -104.215
41.002 -104.214
41.002 -104.211
41.002 -104.124
41.002 -104.105
41.002 -104.086
41.002 -104.067
41.001 -104.053
41.002 -104.039
41.002 -104.023
41.002 -104.018
41.002 -104.011
41.002 -103.973
41.002 -103.971
41.002 -103.954
41.001 -103.906
41.002 -103.896
41.002 -103.878
41.002 -103.858
41.002 -103.75
41.002 -103.575
41.002 -103.497
41.002 -103.487
41.002 -103.422
41.003 -103.397
41.002 -103.365
41.002 -103.363
41.002 -103.078
41.002 -103.077
41.002 -103.06
41.002 -103.058
41.002 -103.043
41.002 -103.039
41.002 -103.002
41.002 -103
41.002 -102.983
41.002 -102.981
41.002 -102.964
41.002 -102.963
41.002 -102.961
41.002 -102.96
41.002 -102.945
41.002 -102.943
41.002 -102.926
41.002 -102.924
41.002 -102.907
41.002 -102.905
41.002 -102.887
41.002 -102.886
41.002 -102.868
41.002 -102.866
41.002 -102.849
41.002 -102.846
41.002 -102.83
41.002 -102.827
41.002 -102.774
41.002 -102.767
41.002 -102.755
41.002 -102.74
41.002 -102.653
41.003 -102.621
41.002 -102.579
41.002 -102.576
41.002 -102.575
41.002 -102.566
41.002 -102.557
41.002 -102.518
41.002 -102.488
41.002 -102.471
41.002 -102.469
41.002 -102.46
41.002 -102.388
41.002 -102.38
41.002 -102.364
41.002 -102.293
41.002 -102.291
41.002 -102.278
41.002 -102.272
41.002 -102.268
41.002 -102.232
41.002 -102.212
41.002 -102.209
41.002 -102.208
41.002 -102.191
41.002 -102.125
41.002 -102.071
41.002 -102.052
40.75 -102.051
40.582 -102.052
40.538 -102.052
40.52 -102.052
40.44 -102.051
40.396 -102.052
40.393 -102.052
40.36 -102.052
40.351 -102.052
40.338 -102.051
40.235 -102.052
40.229 -102.052
40.163 -102.052
40.148 -102.052
40.064 -102.052
40.003 -102.052
39.978 -102.052
39.85 -102.052
39.843 -102.051
39.833 -102.051
39.819 -102.051
39.676 -102.051
39.654 -102.05
39.646 -102.05
39.592 -102.05
39.574 -102.05
39.539 -102.05
39.537 -102.05
39.506 -102.05
39.423 -102.049
39.418 -102.049
39.404 -102.049
39.374 -102.049
39.303 -102.048
39.137 -102.047
39.13 -102.047
39.047 -102.047
38.813 -102.045
38.799 -102.045
38.783 -102.045
38.77 -102.045
38.756 -102.045
38.754 -102.045
38.698 -102.045
38.689 -102.045
38.687 -102.045
38.675 -102.045
38.67 -102.045
38.615 -102.045
38.582 -102.045
38.559 -102.045
38.544 -102.045
38.524 -102.045
38.506 -102.045
38.505 -102.045
38.454 -102.045
38.42 -102.045
38.416 -102.044
38.384 -102.045
38.312 -102.045
38.269 -102.045
38.25 -102.044
38.142 -102.044
38.128 -102.045
38.125 -102.045
38.123 -102.045
38.113 -102.044
38.049 -102.045
38.048 -102.045
38.046 -102.045
38.042 -102.045
38.03 -102.045
37.928 -102.044
37.926 -102.044
37.868 -102.043
37.824 -102.043
37.804 -102.043
37.789 -102.043
37.76 -102.042
37.724 -102.042
37.68 -102.042
37.666 -102.042
37.654 -102.042
37.644 -102.042
37.608 -102.042
37.579 -102.042
37.558 -102.042
37.541 -102.042
37.535 -102.042
37.506 -102.042
37.469 -102.042
37.435 -102.042
37.41 -102.042
37.375 -102.042
37.353 -102.042
37.309 -102.042
37.298 -102.042
37.258 -102.042
37.142 -102.042
37.125 -102.042
37.112 -102.042
37.107 -102.042
37.035 -102.042
37.034 -102.042
37.032 -102.042
37.031 -102.042
37.025 -102.042
36.993 -102.042
36.993 -102.055
36.994 -102.184
36.994 -102.208
36.994 -102.261
36.994 -102.27
36.994 -102.308
36.995 -102.355
36.995 -102.698
36.998 -102.742
37 -102.76
36.999 -102.779
37 -102.807
37.001 -102.815
37 -102.842
36.999 -102.98
36.999 -102.986
36.999 -102.987
37 -103.002
37 -103.086
37 -103.105
37 -103.156
37 -103.201
37 -103.327
36.999 -103.426
36.998 -103.733
36.998 -103.734
36.996 -104.008
36.995 -104.215
36.995 -104.251
36.994 -104.298
36.994 -104.339
36.994 -104.356
36.994 -104.366
36.994 -104.399
36.994 -104.43
36.994 -104.481
36.994 -104.519
36.994 -104.625
36.994 -104.626
36.993 -104.645
36.993 -104.706
36.993 -104.732
36.993 -104.84
36.993 -105.001
36.993 -105.029
36.995 -105.121
36.995 -105.155
36.995 -105.221
36.996 -105.251
36.996 -105.419
36.996 -105.438
36.996 -105.442
36.996 -105.447
36.996 -105.465
36.996 -105.471
36.996 -105.509
36.996 -105.512
36.996 -105.534
36.996 -105.627
36.996 -105.665
36.996 -105.716
36.996 -105.718
36.995 -105.996
36.995 -105.997
36.995 -106.007
36.995 -106.1
36.994 -106.164
36.994 -106.201
36.994 -106.248
36.994 -106.249
36.994 -106.293
36.994 -106.325
36.994 -106.343
36.994 -106.476
36.994 -106.501
36.993 -106.617
36.993 -106.629
36.993 -106.661
36.993 -106.676
36.992 -106.751
36.992 -106.782
36.992 -106.87
37 -106.877
37 -106.919
37 -106.956
37 -107.107
37 -107.255
37 -107.421
37 -107.422
37 -107.442
37 -107.482
37 -107.524
37 -107.601
37 -107.712
37 -107.856
37 -107.866
37 -107.869
37 -108.001
36.999 -108.179
36.999 -108.187
36.999 -108.249
37 -108.251
37 -108.288
37 -108.32
37 -108.321
36.999 -108.379
36.999 -108.62
36.999 -108.749
36.999 -108.954
36.999 -108.959
36.999 -109.045
37.073 -109.045
37.075 -109.045
37.086 -109.045
37.096 -109.045
37.109 -109.045
37.112 -109.045
37.177 -109.046
37.202 -109.046
37.205 -109.046
37.211 -109.045
37.24 -109.046
37.249 -109.046
37.25 -109.046
37.327 -109.046
37.375 -109.046
37.469 -109.044
37.485 -109.043
37.487 -109.043
37.5 -109.043
37.531 -109.042
37.604 -109.042
37.618 -109.042
37.624 -109.042
37.666 -109.042
37.711 -109.042
37.713 -109.042
37.74 -109.042
37.75 -109.042
37.754 -109.042
37.8 -109.041
37.836 -109.042
37.842 -109.042
37.873 -109.042
37.881 -109.042
37.907 -109.041
37.974 -109.043
37.997 -109.043
37.999 -109.043
38.132 -109.042
38.153 -109.042
38.165 -109.042
38.245 -109.055
38.275 -109.06
38.5 -109.06
38.599 -109.06
38.72 -109.06
38.795 -109.057
38.8 -109.057
38.875 -109.054
38.904 -109.054
38.905 -109.054
38.942 -109.053
38.943 -109.053
39 -109.052
39.116 -109.052
39.117 -109.052
39.126 -109.052
39.367 -109.051
39.498 -109.051
39.66 -109.051
39.875 -109.051
40.059 -109.051
40.06 -109.051
40.181 -109.051
40.223 -109.051
40.444 -109.051
40.495 -109.05
40.5 -109.051
40.54 -109.05
40.619 -109.048
40.654 -109.048
40.715 -109.049
40.826 -109.048
41.001 -109.05
41 -108.884
41 -108.631
41 -108.527
41 -108.501
41 -108.251
41 -108.181
41.002 -108.089
41.002 -108.047
41.002 -107.923
41.002 -107.918
