segment California
34.795 -114.571
34.794 -114.571
34.793 -114.57
34.783 -114.564
34.779 -114.562
34.774 -114.559
34.767 -114.553
34.762 -114.547
34.757 -114.54
34.751 -114.53
34.747 -114.526
34.744 -114.523
34.741 -114.521
34.737 -114.517
34.734 -114.51
34.731 -114.503
34.728 -114.496
34.726 -114.492
34.725 -114.491
34.719 -114.487
34.716 -114.482
34.715 -114.477
34.714 -114.474
34.714 -114.473
34.713 -114.472
34.712 -114.471
34.711 -114.471
34.711 -114.47
34.708 -114.469
34.702 -114.468
34.691 -114.465
34.686 -114.462
34.678 -114.457
34.676 -114.455
34.673 -114.455
34.671 -114.454
34.669 -114.453
34.667 -114.452
34.665 -114.452
34.664 -114.452
34.66 -114.453
34.657 -114.452
34.654 -114.452
34.651 -114.45
34.647 -114.444
34.643 -114.441
34.638 -114.44
34.632 -114.442
34.63 -114.441
34.621 -114.439
34.615 -114.429
34.61 -114.424
34.602 -114.424
34.601 -114.425
34.599 -114.427
34.597 -114.43
34.596 -114.43
34.592 -114.43
34.581 -114.422
34.57 -114.405
34.543 -114.39
34.53 -114.381
34.517 -114.378
34.507 -114.378
34.499 -114.381
34.496 -114.382
34.489 -114.383
34.478 -114.382
34.476 -114.382
34.47 -114.384
34.462 -114.387
34.46 -114.387
34.458 -114.387
34.45 -114.379
34.448 -114.376
34.447 -114.374
34.448 -114.363
34.45 -114.356
34.451 -114.343
34.451 -114.34
34.45 -114.335
34.448 -114.333
34.445 -114.331
34.437 -114.326
34.436 -114.319
34.433 -114.312
34.427 -114.301
34.421 -114.295
34.418 -114.292
34.411 -114.292
34.408 -114.29
34.407 -114.289
34.405 -114.287
34.403 -114.28
34.402 -114.268
34.401 -114.264
34.39 -114.253
34.388 -114.249
34.386 -114.245
34.377 -114.234
34.369 -114.23
34.366 -114.226
34.362 -114.214
34.361 -114.199
34.356 -114.191
34.354 -114.186
34.352 -114.181
34.349 -114.177
34.345 -114.173
34.34 -114.169
34.318 -114.157
34.306 -114.141
34.303 -114.138
34.301 -114.138
34.296 -114.14
34.289 -114.138
34.281 -114.136
34.277 -114.137
34.274 -114.137
34.269 -114.135
34.266 -114.134
34.264 -114.135
34.261 -114.136
34.26 -114.139
34.26 -114.145
34.26 -114.147
34.258 -114.153
34.258 -114.157
34.258 -114.16
34.257 -114.162
34.255 -114.163
34.253 -114.164
34.252 -114.164
34.25 -114.166
34.25 -114.167
34.247 -114.173
34.245 -114.174
34.243 -114.176
34.242 -114.176
34.24 -114.178
34.231 -114.191
34.216 -114.208
34.212 -114.212
34.209 -114.215
34.205 -114.223
34.204 -114.225
34.202 -114.226
34.194 -114.225
34.189 -114.227
34.187 -114.229
34.187 -114.23
34.183 -114.241
34.18 -114.244
34.174 -114.254
34.174 -114.255
34.17 -114.268
34.172 -114.275
34.171 -114.287
34.167 -114.293
34.16 -114.299
34.157 -114.301
34.145 -114.312
34.139 -114.321
34.137 -114.325
34.134 -114.336
34.134 -114.348
34.133 -114.353
34.13 -114.356
34.124 -114.36
34.119 -114.367
34.118 -114.369
34.116 -114.379
34.11 -114.391
34.112 -114.401
34.112 -114.406
34.11 -114.41
34.11 -114.412
