Distance Bin Center (km),Mean Passthrough Rate,Median Passthrough Rate
0.5,0.2654999507866811,0.10343674193848683
1.5,0.24337811934121772,0.09880388012402382
2.5,0.23833069432790532,0.108302636054776
3.5,0.14970773494265185,0.043052923458764145
4.5,0.15232428651010715,0.048862776733908826
5.5,0.19494330646006242,0.10183675151655051
6.5,0.16266482585469663,0.05134224711612369
7.5,0.1551057445431062,0.05460047487774107
8.5,0.18316640063786935,0.06676474943829319
9.5,0.11035103467867623,0.03085586919631895
10.5,0.09285924735587528,0.01693428017222926
11.5,0.12631471672506098,0.03410821644100391
12.5,0.18616434272960564,0.09161430054400455
13.5,0.1924275297206188,0.05694468372638337
14.5,0.12730074224089388,0.04465634747225408
