Distance Bin Center (km),Mean Passthrough Rate,Median Passthrough Rate
0.5,0.26666608483725335,0.11132601007778349
1.5,0.24492487868801288,0.10019418268720418
2.5,0.24281264924049728,0.1271048747636322
3.5,0.1559181786957052,0.0392015849236813
4.5,0.1604174481769211,0.052525725833628585
5.5,0.21069623133054738,0.11354404750102443
6.5,0.14860126670352353,0.05415270992985885
7.5,0.15596160700320505,0.06072821700115202
8.5,0.19198488783469597,0.06942666467203601
9.5,0.12983521410586604,0.03976029912539114
10.5,0.10503435821440787,0.021078483555893836
11.5,0.0,0.0
12.5,0.0,0.0
13.5,0.0,0.0
14.5,0.0,0.0
