Distance Bin Center (km),Mean Passthrough Rate,Median Passthrough Rate
0.5,0.2662454498114838,0.10499014364697563
1.5,0.24995055359983945,0.11013265139224628
2.5,0.24298014927661007,0.1115748112480301
3.5,0.15173373260637163,0.04226582300948937
4.5,0.15439560265005678,0.043712525867246464
5.5,0.19854079041933245,0.10239708359275353
6.5,0.15760850483725264,0.053430794375897074
7.5,0.14883856560388095,0.05244894046523487
8.5,0.186472893411347,0.06511814937797004
9.5,0.12249873938743087,0.03629035394065153
10.5,0.09148598082343405,0.017054616568968804
11.5,0.13679374970733124,0.039153605746396536
12.5,0.20603140106835863,0.1344867854744688
13.5,0.0,0.0
14.5,0.0,0.0
